workflow,autonomyLevel,allowedAiRole,requiredInputs,principalFailure,mandatoryControl,accountableHuman,leadingMetric,killThreshold,sourceIds
obligation-discovery,assist,"Retrieve applicable guidance and present questions not conclusions","Jurisdiction premises use occupancy lease assets and planned changes","Wrong jurisdiction or false universal duty","Versioned source links explicit unknowns and professional escalation",compliance-manager,wrong-jurisdiction-rate,"Any wrong-jurisdiction answer in a high-consequence evaluation set","S20;S21;S22"
document-ingestion,assist,"Extract dates asset identifiers assessor details scope findings and actions","Original PDFs images registers and metadata","Invented fields OCR error or lost context","Field-level provenance confidence and raw-document link",compliance-manager,unsupported-field-rate,">0.5 percent unsupported critical fields","S20;S22;S23"
credential-verification,assist,"Match public register records expiry scope company and individual","Authoritative registers insurer evidence and engagement scope","Name collision expired credential or scope mismatch","Deterministic register check and human approval before routing",provider-operations-lead,critical-credential-error-rate,"Greater than zero critical errors before live provider routing","S09;S11;S19;S43"
inspection-template-generation,draft,"Convert authoritative requirements and operator procedures into a draft template","Versioned law guidance standards and premises class","Omission outdated reference or generic template applied to complex premises","Controlled template library expert approval version lock and change review",technical-authority,critical-control-coverage,"Less than 100 percent of mandatory controls represented","S20;S22;S33;S34"
site-note-structuring,assist,"Map voice text and photos to report fields without adding observations","Time-stamped assessor notes photos and location context","Fabricated observation or evidence attached to wrong location","No-source-no-claim rule assessor confirmation and immutable originals",competent-assessor,unsupported-observation-rate,"Any fabricated safety-critical observation","S29;S35"
image-triage,assist,"Flag possible visible defects for closer inspection","Original images asset identity capture conditions and model version","False reassurance hidden condition or spurious defect","Never mark compliant from image alone; require inspector disposition",competent-assessor,false-negative-rate,"Any missed critical defect in release evaluation",S21
report-drafting,draft,"Write narrative from accepted findings and controlled references","Signed site findings source library and report schema","Confabulated rule wrong priority or polished unsupported claim","Sentence-level evidence anchors rule version and competent review",competent-assessor,unsupported-sentence-rate,"Greater than 0.5 percent or any critical unsupported sentence","S21;S22;S35;S36"
remedial-action-drafting,draft,"Propose editable actions owners and timescales","Confirmed defect severity source and premises context","Unsafe remedy false deadline or commercial bias","Separate statutory requirement from recommendation and require assessor edit",competent-assessor,critical-action-error-rate,"Greater than zero critical errors","S20;S21;S36"
scheduling-and-renewals,bounded-agent,"Create reminders request evidence and open tasks","Verified cadence change triggers and asset status","Treating guidance as fixed law or closing work without evidence","Rules engine controls dates; AI may communicate but cannot invent closure",compliance-manager,overdue-critical-actions,"Greater than 2 percent overdue critical actions attributable to automation","S29;S30"
provider-routing,assist,"Shortlist providers by coverage scope credentials capacity and conflict","Verified provider graph current registers insurance service scope and availability","Unqualified provider concentration or undisclosed conflict","Human approval two-provider fallback and reason codes",provider-operations-lead,routing-reversal-rate,"Greater than 5 percent reversals or any credential breach","S09;S11;S19;S43"
anomaly-detection,assist,"Flag unusual readings missing checks repeat defects and stalled actions","Structured longitudinal asset and work-order data","Alert fatigue bad baselines or missed novel hazard","Site-specific thresholds human disposition and monitored precision recall",responsible-person,precision-and-recall,"Recall below 95 percent on defined critical anomaly set",S34
portfolio-prioritisation,recommend,"Rank open work by consequence deadline confidence and exposure","Approved risk model confirmed findings occupancy and deadlines","Low-risk optimisation hides high-consequence uncertainty","Risk owner approves queue; unknowns receive conservative escalation",responsible-person,critical-priority-agreement,"Below 95 percent agreement with blinded expert panel","S20;S21"
record-closure,prohibited,"AI may assemble the closure packet but may not attest that work is compliant","Completion evidence provider sign-off and dutyholder acceptance","Paper compliance without physical completion","Named human acceptance immutable audit event and reopen path",responsible-person,false-closure-rate,"Any confirmed false closure","S20;S21"
certificate-or-professional-sign-off,prohibited,"No autonomous certification accreditation claim or professional signature","Physical examination measurements competence and professional judgement","Fraud misrepresentation injury or invalid certificate","Only authorised competent person may sign; AI authorship and edits logged",competent-assessor,unauthorised-signoff-count,"Greater than zero","S09;S11;S14;S15;S16;S42"
