city,sampled_basket_searches,niches_with_reportable_volume,weighted_average_cpc_gbp,paid_search_value_proxy_gbp,top_five_niches_by_proxy,observed_at
London,40970,33,16.7652,686868.45,self_storage|emergency_locksmith|emergency_plumber|mortgage_broker|dental_implants,2026-09-03
Birmingham,20070,33,7.2831,146171.58,self_storage|skip_hire|dental_implants|removal_company|pest_control,2026-09-03
Manchester,18190,33,9.1845,167066.88,self_storage|mortgage_broker|dental_implants|emergency_plumber|fire_risk_assessment,2026-09-03
Glasgow,16970,32,7.8698,133550.41,self_storage|mortgage_broker|removal_company|funeral_directors|dental_implants,2026-09-03
Leeds,17100,33,8.6291,147558.45,self_storage|mortgage_broker|removal_company|emergency_locksmith|dental_implants,2026-09-03
Liverpool,13070,33,7.1395,93312.69,personal_injury_solicitor|self_storage|mortgage_broker|dental_implants|removal_company,2026-09-03
Bristol,16600,32,9.6298,159854.66,self_storage|mortgage_broker|loft_conversion|removal_company|drain_unblocking,2026-09-03
Sheffield,14570,31,7.0418,102599.51,self_storage|mortgage_broker|dental_implants|removal_company|skip_hire,2026-09-03
Edinburgh,19530,31,10.0709,196684.08,commercial_cleaning|self_storage|removal_company|boiler_installation|mortgage_broker,2026-09-03
Cardiff,10340,31,5.9041,61048.51,self_storage|mortgage_broker|removal_company|skip_hire|funeral_directors,2026-09-03
Nottingham,15720,34,7.5448,118604.95,self_storage|removal_company|mortgage_broker|skip_hire|commercial_cleaning,2026-09-03
Newcastle,7250,31,6.5668,47609.19,removal_company|mortgage_broker|personal_injury_solicitor|house_clearance|emergency_plumber,2026-09-03
Leicester,13210,32,6.4729,85507.26,self_storage|removal_company|mortgage_broker|skip_hire|dental_implants,2026-09-03
Southampton,9490,32,8.7984,83496.60,self_storage|removal_company|drain_unblocking|dental_implants|loft_conversion,2026-09-03
Brighton,7140,33,8.2767,59095.96,self_storage|emergency_locksmith|removal_company|emergency_plumber|mortgage_broker,2026-09-03
Coventry,8360,31,7.8745,65831.16,self_storage|mortgage_broker|drain_unblocking|skip_hire|emergency_locksmith,2026-09-03
Belfast,11780,28,3.6188,42629.03,self_storage|dental_implants|pest_control|removal_company|mortgage_broker,2026-09-03
Reading,6440,32,8.5343,54961.10,emergency_plumber|self_storage|emergency_locksmith|scaffolding|removal_company,2026-09-03
Oxford,6090,30,8.3825,51049.67,self_storage|mortgage_broker|removal_company|emergency_locksmith|solar_panel_installers,2026-09-03
Cambridge,5830,31,6.1430,35813.58,self_storage|scaffolding|loft_conversion|mortgage_broker|skip_hire,2026-09-03
Aberdeen,7420,30,4.8181,35750.47,mortgage_broker|funeral_directors|removal_company|self_storage|roof_repair,2026-09-03
Plymouth,7540,32,6.6430,50088.36,self_storage|removal_company|mortgage_broker|funeral_directors|resin_driveways,2026-09-03
Exeter,5540,30,7.8564,43524.67,self_storage|mortgage_broker|funeral_directors|removal_company|drain_unblocking,2026-09-03
Norwich,7570,31,5.5251,41824.92,self_storage|mortgage_broker|removal_company|emergency_plumber|skip_hire,2026-09-03
Swansea,5240,29,3.9040,20456.81,removal_company|mortgage_broker|self_storage|skip_hire|funeral_directors,2026-09-03
York,7320,31,6.2763,45942.62,self_storage|removal_company|mortgage_broker|funeral_directors|emergency_plumber,2026-09-03
