geography_method,city,category,returned_rows,zero_volume_rows,average_monthly_searches,weighted_average_cpc_gbp,interpretation,observed_at
explicit_city_query_under_uk_target,Birmingham,broad_discovery,2,0,31500,0.4915,Context only; excluded from the commercial opportunity score,2026-09-03
explicit_city_query_under_uk_target,Birmingham,dating,3,1,350,1.6247,Directional comparison basket; overlapping and mixed-intent terms are not a market-size total,2026-09-03
explicit_city_query_under_uk_target,Birmingham,friendship_discovery,5,1,150,1.0549,Directional comparison basket; overlapping and mixed-intent terms are not a market-size total,2026-09-03
explicit_city_query_under_uk_target,Birmingham,interest_led,8,2,6600,0.2131,Directional comparison basket; overlapping and mixed-intent terms are not a market-size total,2026-09-03
explicit_city_query_under_uk_target,Bristol,broad_discovery,2,0,31500,0.5946,Context only; excluded from the commercial opportunity score,2026-09-03
explicit_city_query_under_uk_target,Bristol,dating,3,1,440,1.2887,Directional comparison basket; overlapping and mixed-intent terms are not a market-size total,2026-09-03
explicit_city_query_under_uk_target,Bristol,friendship_discovery,5,2,170,0.5256,Directional comparison basket; overlapping and mixed-intent terms are not a market-size total,2026-09-03
explicit_city_query_under_uk_target,Bristol,interest_led,8,2,5370,0.5399,Directional comparison basket; overlapping and mixed-intent terms are not a market-size total,2026-09-03
explicit_city_query_under_uk_target,Edinburgh,broad_discovery,2,0,10200,0.9065,Context only; excluded from the commercial opportunity score,2026-09-03
explicit_city_query_under_uk_target,Edinburgh,dating,3,1,430,1.5162,Directional comparison basket; overlapping and mixed-intent terms are not a market-size total,2026-09-03
explicit_city_query_under_uk_target,Edinburgh,friendship_discovery,5,0,140,0.6172,Directional comparison basket; overlapping and mixed-intent terms are not a market-size total,2026-09-03
explicit_city_query_under_uk_target,Edinburgh,interest_led,8,2,4280,0.8420,Directional comparison basket; overlapping and mixed-intent terms are not a market-size total,2026-09-03
explicit_city_query_under_uk_target,Leeds,broad_discovery,2,0,21700,0.3813,Context only; excluded from the commercial opportunity score,2026-09-03
explicit_city_query_under_uk_target,Leeds,dating,3,1,260,1.2884,Directional comparison basket; overlapping and mixed-intent terms are not a market-size total,2026-09-03
explicit_city_query_under_uk_target,Leeds,friendship_discovery,5,1,130,0.8210,Directional comparison basket; overlapping and mixed-intent terms are not a market-size total,2026-09-03
explicit_city_query_under_uk_target,Leeds,interest_led,8,2,4010,0.3803,Directional comparison basket; overlapping and mixed-intent terms are not a market-size total,2026-09-03
explicit_city_query_under_uk_target,London,broad_discovery,2,0,37000,0.7048,Context only; excluded from the commercial opportunity score,2026-09-03
explicit_city_query_under_uk_target,London,dating,3,0,8000,1.2873,Directional comparison basket; overlapping and mixed-intent terms are not a market-size total,2026-09-03
explicit_city_query_under_uk_target,London,friendship_discovery,5,0,760,1.4635,Directional comparison basket; overlapping and mixed-intent terms are not a market-size total,2026-09-03
explicit_city_query_under_uk_target,London,interest_led,8,1,25190,0.9530,Directional comparison basket; overlapping and mixed-intent terms are not a market-size total,2026-09-03
explicit_city_query_under_uk_target,Manchester,broad_discovery,2,0,47100,0.4544,Context only; excluded from the commercial opportunity score,2026-09-03
explicit_city_query_under_uk_target,Manchester,dating,3,1,800,1.0501,Directional comparison basket; overlapping and mixed-intent terms are not a market-size total,2026-09-03
