geography_method,city,format,discovery_searches,event_booking_searches,repeat_programme_searches,beginner_or_adult_searches,group_or_corporate_searches,reportable_commercial_intent_rows_4,strongest_commercial_intent,strongest_commercial_average_monthly_searches,strongest_commercial_average_cpc_gbp,intent_depth,grouped_observation_warning,evidence_note,observed_at
explicit_city_query_under_uk_target,Birmingham,Board-game events,880,0,0,0,0,0,event_booking,0,0.0000,no_reportable_commercial_row,No cross-intent grouping detected,Intent columns are separate overlapping observations and must not be added,2026-09-03
explicit_city_query_under_uk_target,Birmingham,Darts,1600,10,0,30,0,2,beginner_or_adult,30,0.9251,thin_reportable_intent,No cross-intent grouping detected,Intent columns are separate overlapping observations and must not be added,2026-09-03
explicit_city_query_under_uk_target,Birmingham,Line dancing,260,0,20,0,0,1,repeat_programme,20,0.0000,thin_reportable_intent,No cross-intent grouping detected,Intent columns are separate overlapping observations and must not be added,2026-09-03
explicit_city_query_under_uk_target,Birmingham,Pottery painting,4400,0,0,0,0,0,event_booking,0,0.0000,no_reportable_commercial_row,No cross-intent grouping detected,Intent columns are separate overlapping observations and must not be added,2026-09-03
explicit_city_query_under_uk_target,Birmingham,Salsa,320,10,320,0,0,2,repeat_programme,320,0.6260,thin_reportable_intent,No cross-intent grouping detected,Intent columns are separate overlapping observations and must not be added,2026-09-03
explicit_city_query_under_uk_target,Birmingham,Sip and paint,880,0,0,0,0,0,event_booking,0,0.0000,no_reportable_commercial_row,No cross-intent grouping detected,Intent columns are separate overlapping observations and must not be added,2026-09-03
explicit_city_query_under_uk_target,Birmingham,Spa retreats,70,0,0,0,0,0,event_booking,0,0.0000,no_reportable_commercial_row,No cross-intent grouping detected,Intent columns are separate overlapping observations and must not be added,2026-09-03
explicit_city_query_under_uk_target,Birmingham,Wine tasting,880,10,0,10,0,2,event_booking,10,2.1061,thin_reportable_intent,No cross-intent grouping detected,Intent columns are separate overlapping observations and must not be added,2026-09-03
explicit_city_query_under_uk_target,Bristol,Board-game events,880,0,0,0,0,0,event_booking,0,0.0000,no_reportable_commercial_row,No cross-intent grouping detected,Intent columns are separate overlapping observations and must not be added,2026-09-03
explicit_city_query_under_uk_target,Bristol,Darts,590,0,50,10,0,2,repeat_programme,50,0.0000,thin_reportable_intent,No cross-intent grouping detected,Intent columns are separate overlapping observations and must not be added,2026-09-03
explicit_city_query_under_uk_target,Bristol,Line dancing,260,0,30,0,0,1,repeat_programme,30,4.0444,thin_reportable_intent,No cross-intent grouping detected,Intent columns are separate overlapping observations and must not be added,2026-09-03
explicit_city_query_under_uk_target,Bristol,Pottery painting,2900,0,0,0,0,0,event_booking,0,0.0000,no_reportable_commercial_row,No cross-intent grouping detected,Intent columns are separate overlapping observations and must not be added,2026-09-03
explicit_city_query_under_uk_target,Bristol,Salsa,480,0,320,0,0,1,repeat_programme,320,0.6627,thin_reportable_intent,No cross-intent grouping detected,Intent columns are separate overlapping observations and must not be added,2026-09-03
explicit_city_query_under_uk_target,Bristol,Sip and paint,590,0,0,0,0,0,event_booking,0,0.0000,no_reportable_commercial_row,No cross-intent grouping detected,Intent columns are separate overlapping observations and must not be added,2026-09-03
explicit_city_query_under_uk_target,Bristol,Spa retreats,0,0,0,0,0,0,event_booking,0,0.0000,no_reportable_commercial_row,No cross-intent grouping detected,Intent columns are separate overlapping observations and must not be added,2026-09-03
explicit_city_query_under_uk_target,Bristol,Wine tasting,880,20,0,10,0,2,event_booking,20,0.3301,thin_reportable_intent,No cross-intent grouping detected,Intent columns are separate overlapping observations and must not be added,2026-09-03
explicit_city_query_under_uk_target,Manchester,Board-game events,720,0,0,0,0,0,event_booking,0,0.0000,no_reportable_commercial_row,No cross-intent grouping detected,Intent columns are separate overlapping observations and must not be added,2026-09-03
explicit_city_query_under_uk_target,Manchester,Darts,2900,20,20,70,0,3,beginner_or_adult,70,0.9884,broad_reportable_intent,No cross-intent grouping detected,Intent columns are separate overlapping observations and must not be added,2026-09-03
explicit_city_query_under_uk_target,Manchester,Line dancing,320,0,30,0,0,1,repeat_programme,30,0.0000,thin_reportable_intent,No cross-intent grouping detected,Intent columns are separate overlapping observations and must not be added,2026-09-03
