scenarioId,model,case,inputOrOutput,value,unit,evidenceClass,formulaOrBasis,sourceIds,limitations
E01,paid-fire-lead,conservative,local-weighted-cpc,9.10,GBP-per-click,observed,"Manchester local-geo fire-risk basket",S37,"Historical CPC is not present price or organic difficulty"
E02,paid-fire-lead,conservative,click-to-accepted-lead,3,percent,assumed,"Weak funnel stress case",,"No live cohort"
E03,paid-fire-lead,conservative,cost-per-accepted-lead,303.33,GBP,derived,"E01 / E02",,"Excludes call handling credits overhead and profit"
E04,paid-fire-lead,base,click-to-accepted-lead,7,percent,assumed,"10 percent click-to-enquiry multiplied by 70 percent accepted",,"No live cohort"
E05,paid-fire-lead,base,cost-per-accepted-lead,130.00,GBP,derived,"E01 / E04",,"Rounded; excludes call handling credits overhead and profit"
E06,paid-fire-lead,upside,click-to-accepted-lead,16,percent,assumed,"Strong funnel stress case",,"No live cohort"
E07,paid-fire-lead,upside,cost-per-accepted-lead,56.88,GBP,derived,"E01 / E06",,"Excludes call handling credits overhead and profit"
E08,provider-ai-leverage,conservative,baseline-field-time,4,hours-per-assessment,assumed,"Illustrative simple-premises case",,"Actual site time travel and complexity vary"
E09,provider-ai-leverage,conservative,baseline-report-time,4,hours-per-assessment,assumed,"Illustrative simple-premises case",,"No provider time study"
E10,provider-ai-leverage,conservative,report-time-reduction,20,percent,assumed,"Lower than the vendor claim",,"Requires safe review quality"
E11,provider-ai-leverage,conservative,total-time-after-ai,7.20,hours-per-assessment,derived,"E08 + E09 x (1 - E10)",,"Does not include sales travel or scheduling gaps"
E12,provider-ai-leverage,conservative,theoretical-capacity-uplift,11.1,percent,derived,"(8 / E11) - 1",,"Only realised if report writing is the bottleneck and demand exists"
E13,provider-ai-leverage,base,report-time-reduction,40,percent,assumed,"Bounded drafting and structuring case",,"Requires safe review quality"
E14,provider-ai-leverage,base,total-time-after-ai,6.40,hours-per-assessment,derived,"E08 + E09 x (1 - E13)",,"Does not include sales travel or scheduling gaps"
E15,provider-ai-leverage,base,theoretical-capacity-uplift,25.0,percent,derived,"(8 / E14) - 1",,"Only realised if demand and field scheduling support it"
E16,provider-ai-leverage,upside,report-time-reduction,62,percent,observed,"FireCheckr stated reduction in report-writing time",S35,"Unverified vendor claim; not total-job time"
E17,provider-ai-leverage,upside,total-time-after-ai,5.52,hours-per-assessment,derived,"E08 + E09 x (1 - E16)",,"Illustrative ceiling before quality review travel and demand"
E18,provider-ai-leverage,upside,theoretical-capacity-uplift,44.9,percent,derived,"(8 / E17) - 1",,"Should not be treated as achievable revenue growth"
E19,managed-compliance-service,conservative,managed-sites,50,sites,assumed,"Pilot-to-small-portfolio case",,"Willingness to pay untested"
E20,managed-compliance-service,conservative,monthly-fee-per-site,49,GBP,assumed,"Calendar evidence and provider coordination bundle",,"Excludes third-party assessment fees"
E21,managed-compliance-service,conservative,annual-platform-revenue,29400,GBP,derived,"E19 x E20 x 12",,"Not a forecast"
E22,managed-compliance-service,base,managed-sites,150,sites,assumed,"Several small portfolios",,"Sales cycle and retention unknown"
E23,managed-compliance-service,base,monthly-fee-per-site,79,GBP,assumed,"Adds evidence ingestion and human exception handling",,"Willingness to pay untested"
E24,managed-compliance-service,base,annual-platform-revenue,142200,GBP,derived,"E22 x E23 x 12",,"Excludes referral or assessment revenue"
E25,managed-compliance-service,upside,managed-sites,500,sites,assumed,"Multi-portfolio operating case",,"Requires integrations support and provider coverage"
E26,managed-compliance-service,upside,monthly-fee-per-site,99,GBP,assumed,"Multi-lane management with service coordination",,"Willingness to pay untested"
E27,managed-compliance-service,upside,annual-platform-revenue,594000,GBP,derived,"E25 x E26 x 12",,"Not a forecast"
E28,vertical-saas,conservative,paid-users,20,users,assumed,"Early assessor cohort",,"Churn support and acquisition cost unknown"
E29,vertical-saas,conservative,monthly-price,125,GBP-per-user,observed,"Assura Safety public starting price used as an analogue",S36,"Analogue price is not willingness to pay for a new product"
E30,vertical-saas,conservative,annual-recurring-revenue,30000,GBP,derived,"E28 x E29 x 12",,"Gross revenue not contribution or profit"
E31,vertical-saas,base,paid-users,75,users,assumed,"Small vertical customer base",,"Churn support and acquisition cost unknown"
E32,vertical-saas,base,annual-recurring-revenue,112500,GBP,derived,"E31 x E29 x 12",,"Gross revenue not contribution or profit"
E33,vertical-saas,upside,paid-users,250,users,assumed,"Scaled niche software case",,"Incumbent response and sales cost omitted"
E34,vertical-saas,upside,annual-recurring-revenue,375000,GBP,derived,"E33 x E29 x 12",,"Gross revenue not contribution or profit"
