cluster,city,submitted_keyword,grouped_submitted_keywords,returned_keyword,close_variants,average_monthly_searches,competition,competition_index,average_cpc_gbp,low_top_of_page_gbp,high_top_of_page_gbp,monthly_search_volumes,geography_method,observed_at
lead_purchase,United Kingdom,buy leads,buy leads,buy leads,,110,HIGH,89,12.2969,5.1641,18.7121,2025-august:170|2025-september:320|2025-october:90|2025-november:110|2025-december:110|2026-january:110|2026-february:110|2026-march:140|2026-april:110|2026-may:70|2026-june:70|2026-july:70,buyer_intent_query_under_uk_target,2026-09-03
lead_purchase,United Kingdom,buy business leads,buy business leads,buy business leads,,20,MEDIUM,42,15.3526,9.4718,38.6939,2025-august:20|2025-september:110|2025-october:10|2025-november:10|2025-december:10|2026-january:30|2026-february:10|2026-march:10|2026-april:20|2026-may:10|2026-june:10|2026-july:20,buyer_intent_query_under_uk_target,2026-09-03
lead_purchase,United Kingdom,exclusive leads,exclusive leads,exclusive leads,,10,MEDIUM,50,33.6972,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,buyer_intent_query_under_uk_target,2026-09-03
lead_purchase,United Kingdom,pay per lead,pay per lead,pay per lead,,110,MEDIUM,66,17.9802,5.0570,25.8646,2025-august:90|2025-september:320|2025-october:140|2025-november:110|2025-december:90|2026-january:90|2026-february:110|2026-march:90|2026-april:70|2026-may:90|2026-june:90|2026-july:50,buyer_intent_query_under_uk_target,2026-09-03
lead_purchase,United Kingdom,pay per call leads,pay per call leads,pay per call leads,,10,UNSPECIFIED,0,0.0000,0.0000,0.0000,2025-august:10|2025-september:20|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:0|2026-may:0|2026-june:0|2026-july:0,buyer_intent_query_under_uk_target,2026-09-03
lead_purchase,United Kingdom,local service leads,local service leads,local service leads,,20,MEDIUM,42,5.3702,11.7017,77.5018,2025-august:0|2025-september:10|2025-october:30|2025-november:20|2025-december:20|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:20|2026-june:30|2026-july:30,buyer_intent_query_under_uk_target,2026-09-03
lead_purchase,United Kingdom,home improvement leads,home improvement leads,home improvement leads,,40,MEDIUM,38,27.7797,6.5654,18.4963,2025-august:40|2025-september:210|2025-october:50|2025-november:20|2025-december:40|2026-january:40|2026-february:40|2026-march:50|2026-april:20|2026-may:10|2026-june:20|2026-july:10,buyer_intent_query_under_uk_target,2026-09-03
lead_purchase,United Kingdom,contractor leads,contractor leads,contractor leads,,20,MEDIUM,51,0.0000,0.0000,0.0000,2025-august:40|2025-september:30|2025-october:30|2025-november:20|2025-december:10|2026-january:40|2026-february:40|2026-march:40|2026-april:10|2026-may:20|2026-june:10|2026-july:10,buyer_intent_query_under_uk_target,2026-09-03
lead_purchase,United Kingdom,tradesman leads,tradesman leads,tradesman leads,,40,MEDIUM,64,24.8015,5.4688,32.0977,2025-august:40|2025-september:70|2025-october:40|2025-november:20|2025-december:20|2026-january:40|2026-february:40|2026-march:70|2026-april:20|2026-may:40|2026-june:30|2026-july:30,buyer_intent_query_under_uk_target,2026-09-03
lead_purchase,United Kingdom,trade leads,trade leads,trade leads,,140,MEDIUM,57,35.1465,6.4483,23.6542,2025-august:210|2025-september:170|2025-october:210|2025-november:110|2025-december:90|2026-january:170|2026-february:110|2026-march:140|2026-april:140|2026-may:210|2026-june:110|2026-july:70,buyer_intent_query_under_uk_target,2026-09-03
vertical_leads,United Kingdom,plumber leads,plumber leads|plumbing leads,plumber leads,plumbing leads,70,MEDIUM,35,0.1870,4.7099,13.0361,2025-august:50|2025-september:140|2025-october:40|2025-november:40|2025-december:40|2026-january:40|2026-february:40|2026-march:70|2026-april:50|2026-may:50|2026-june:70|2026-july:70,buyer_intent_query_under_uk_target,2026-09-03
vertical_leads,United Kingdom,boiler leads,boiler leads,boiler leads,,140,HIGH,76,22.4816,12.2114,25.4138,2025-august:110|2025-september:480|2025-october:140|2025-november:90|2025-december:70|2026-january:140|2026-february:90|2026-march:110|2026-april:90|2026-may:70|2026-june:70|2026-july:50,buyer_intent_query_under_uk_target,2026-09-03
vertical_leads,United Kingdom,heating leads,heating leads,heating leads,,10,HIGH,71,18.4393,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,buyer_intent_query_under_uk_target,2026-09-03
vertical_leads,United Kingdom,roofing leads,roofing leads,roofing leads,,320,MEDIUM,63,29.4470,8.3374,35.1145,2025-august:260|2025-september:480|2025-october:390|2025-november:390|2025-december:170|2026-january:390|2026-february:320|2026-march:320|2026-april:260|2026-may:390|2026-june:320|2026-july:320,buyer_intent_query_under_uk_target,2026-09-03
