operator,system_type,primary_market,buyer_job,scarce_asset,revenue_layers,observed_evidence,evidence_class,source_ids,what_works,pressure_or_limit,founder_read
idealo,horizontal price comparison,Europe including UK,Compare current retailer offers and wait for a target price,"merchant coverage; product matching; offer history",merchant CPC; advertising adjacency,"claimed 500m-plus offers and about 50000 retailers; twelve-month history; alerts; payment-independent organic ranking",observed first-party,S49;S50;S69;S70;S71,"fresh offer graph plus a recurrence loop","offer accuracy; platform competition; low published CPC","Price alone becomes more useful when history and alerts turn a one-off visit into retained intent"
PriceRunner,horizontal price comparison,Nordics and UK,Compare products prices reviews tests payment and delivery,"comparison brand; structured catalogue; high-intent traffic",merchant traffic; strategic value inside Klarna,"acquired by Klarna for SEK 4.617bn consideration; Klarna reports 13 Search and Compare markets plus 100m-plus products and 500m-plus listings; court later awarded damages over search self-preferencing",regulatory filing plus court and company announcements,S72;S73;S74,"rich comparison embedded into a larger shopping and payments system","search gatekeeper dependence; award not final","Distribution power is valuable but cannot be treated as neutral or permanent"
PriceSpy and Prisjakt,horizontal price comparison,Europe and selected international markets,Compare transparent prices and product information,"price history; merchant breadth; recognised local brands",merchant traffic; advertising adjacency,"multiple country brands including PriceSpy in the UK",observed first-party,S75,"local brand plus price transparency","no public segment economics; horizontal platform pressure","A mature price engine is an operating system for data freshness rather than a catalogue launch"
Kelkoo Group,commerce traffic network,Europe,Find products and send high-intent traffic to merchants,"feed infrastructure; publisher distribution; campaign operation",merchant CPC; performance marketing,"owned comparison sites plus Google Shopping ads and a publisher network across 29 claimed markets",observed first-party,S51;S76;S77,"evolved from destination into multi-surface merchant distribution","merchant value is tied to measurable traffic quality","A comparison engine can survive by becoming infrastructure but that is a different company from an editorial brand"
Google Shopping,search-native product aggregation,Global,Compare product offers inside search and shopping surfaces,"default search distribution; merchant feeds; product graph",advertising; merchant ecosystem value,"product and merchant-listing surfaces plus direct structured-data and feed routes",observed first-party,S24;S25;S31;S58,"distribution and merchant data at global scale","sets the baseline that a startup cannot beat on breadth","Do not build a weaker Google Shopping; own evidence or constraints Google lacks"
Keepa,platform-specific price intelligence,Amazon marketplaces,Inspect price and offer history and trigger alerts,"longitudinal Amazon data; API; seller graph",API subscription; consumer product,"API exposes histories offers deals sellers tracking and product-finder queries",observed first-party,S103,"turns volatile marketplace data into queryable infrastructure","concentrated Amazon dependency and paid-token economics","Historical data can be sold as infrastructure when its time series is costly to recreate"
camelcamelcamel,platform-specific price tracker,Amazon marketplaces,See Amazon price history and receive a price-drop alert,"long-lived history; simple alert utility",affiliate commission,"free price tracker with history alerts and Amazon affiliate links",observed first-party,S104,"one legible recurring job executed simply","Amazon content and affiliate dependency are explicit","A narrow retained utility can outlast generic editorial but platform concentration remains existential"
Kimovil,vertical specification and price comparison,Global smartphones,Match a phone variant to budget specifications local stores and radio bands,"variant-aware phone graph; dense filters; compatibility data",merchant referral; advertising unknown,"62 visible filters and prices from more than 100 claimed stores",observed first-party,S108,"category-specific identity and compatibility rules","cross-border variants and store suitability require verification","The category schema is the product; price comparison is an attached transaction layer"
PCPartPicker,project bill-of-materials aggregator,International PC building,Assemble a compatible PC and buy each component well,"compatibility graph; complete bill of materials; community builds; price history",affiliate commission,"automatic compatibility guidance multi-retailer prices histories alerts completed builds and forums",observed first-party,S100;S101,"solves a whole project whose parts must work together","compatibility errors and retailer dependence are undisclosed","Closest analogue to the recommended decision company because the saved project is more valuable than any product page"
Which,member-funded independent testing,UK,Choose products using independent comparative evidence,"brand trust; test methods; member base; endorsement mark",membership; affiliate commission; endorsement licensing,"500063 memberships at June 2025 down 4.1 percent; 3390 products tested in the year",annual report plus first-party policy,S64;S65;S66,"independence funded by several aligned layers and disciplined test selection","membership pressure and the cost of more than 100 categories","Testing is a portfolio allocation problem; stopping weak categories is part of quality"
