cluster,geography_method,returned_rows,average_monthly_searches,volume_weighted_cpc_gbp,monthly_paid_search_value_proxy_gbp,evidence_class,limitation
manchester_fire_risk_assessment,explicit_city_query_under_uk_target,12,550,26.0246,14313.54,derived,"Close variants are deduplicated within this returned cluster. Search volume and CPC are auction observations, not traffic, lead demand, price or profit."
manchester_asbestos_survey,explicit_city_query_under_uk_target,11,290,19.5011,5655.31,derived,"Close variants are deduplicated within this returned cluster. Search volume and CPC are auction observations, not traffic, lead demand, price or profit."
bristol_drainage,explicit_city_query_under_uk_target,13,1600,14.8548,23767.62,derived,"Close variants are deduplicated within this returned cluster. Search volume and CPC are auction observations, not traffic, lead demand, price or profit."
edinburgh_boiler_installation,explicit_city_query_under_uk_target,13,1920,19.3894,37227.64,derived,"Close variants are deduplicated within this returned cluster. Search volume and CPC are auction observations, not traffic, lead demand, price or profit."
manchester_fire_risk_assessment,generic_query_inside_local_geo_target,12,280,9.0961,2546.90,derived,"Close variants are deduplicated within this returned cluster. Search volume and CPC are auction observations, not traffic, lead demand, price or profit."
manchester_asbestos_survey,generic_query_inside_local_geo_target,11,290,13.3112,3860.24,derived,"Close variants are deduplicated within this returned cluster. Search volume and CPC are auction observations, not traffic, lead demand, price or profit."
bristol_drainage,generic_query_inside_local_geo_target,14,690,6.6553,4592.18,derived,"Close variants are deduplicated within this returned cluster. Search volume and CPC are auction observations, not traffic, lead demand, price or profit."
edinburgh_boiler_installation,generic_query_inside_local_geo_target,13,420,13.6743,5743.19,derived,"Close variants are deduplicated within this returned cluster. Search volume and CPC are auction observations, not traffic, lead demand, price or profit."
lead_purchase,buyer_intent_query_under_uk_target,10,520,21.3571,11105.67,derived,"Close variants are deduplicated within this returned cluster. Search volume and CPC are auction observations, not traffic, lead demand, price or profit."
vertical_leads,buyer_intent_query_under_uk_target,11,680,25.1058,17071.94,derived,"Close variants are deduplicated within this returned cluster. Search volume and CPC are auction observations, not traffic, lead demand, price or profit."
trade_marketing,buyer_intent_query_under_uk_target,12,1030,11.5346,11880.62,derived,"Close variants are deduplicated within this returned cluster. Search volume and CPC are auction observations, not traffic, lead demand, price or profit."
trade_directories,platform_brand_query_under_uk_target,8,190180,1.8869,358847.58,derived,"Close variants are deduplicated within this returned cluster. Search volume and CPC are auction observations, not traffic, lead demand, price or profit."
broad_marketplaces,platform_brand_query_under_uk_target,5,48160,0.8984,43265.93,derived,"Close variants are deduplicated within this returned cluster. Search volume and CPC are auction observations, not traffic, lead demand, price or profit."
search_and_agency,platform_brand_query_under_uk_target,4,7220,6.6716,48168.80,derived,"Close variants are deduplicated within this returned cluster. Search volume and CPC are auction observations, not traffic, lead demand, price or profit."
