cluster,city,submitted_keyword,grouped_submitted_keywords,returned_keyword,close_variants,average_monthly_searches,competition,competition_index,average_cpc_gbp,low_top_of_page_gbp,high_top_of_page_gbp,monthly_search_volumes,geography_method,observed_at
manchester_fire_risk_assessment,Manchester,fire risk assessment,fire risk assessment,fire risk assessment,,140,HIGH,74,14.4296,4.7935,19.4299,2025-august:140|2025-september:320|2025-october:110|2025-november:170|2025-december:140|2026-january:170|2026-february:170|2026-march:110|2026-april:110|2026-may:110|2026-june:140|2026-july:110,generic_query_inside_local_geo_target,2026-09-03
manchester_fire_risk_assessment,Manchester,fire risk assessor,fire risk assessor,fire risk assessor,,20,HIGH,75,0.0000,3.9534,14.0074,2025-august:10|2025-september:10|2025-october:10|2025-november:30|2025-december:10|2026-january:30|2026-february:10|2026-march:10|2026-april:10|2026-may:20|2026-june:10|2026-july:20,generic_query_inside_local_geo_target,2026-09-03
manchester_fire_risk_assessment,Manchester,commercial fire risk assessment,commercial fire risk assessment,commercial fire risk assessment,,10,LOW,0,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:0|2025-november:0|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:0|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
manchester_fire_risk_assessment,Manchester,landlord fire risk assessment,landlord fire risk assessment,landlord fire risk assessment,,10,UNSPECIFIED,0,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:0|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:0,generic_query_inside_local_geo_target,2026-09-03
manchester_fire_risk_assessment,Manchester,hmo fire risk assessment,hmo fire risk assessment,hmo fire risk assessment,,10,HIGH,69,8.9085,4.3434,18.2296,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
manchester_fire_risk_assessment,Manchester,fire risk assessment cost,fire risk assessment cost,fire risk assessment cost,,10,MEDIUM,63,16.1901,5.0439,12.9385,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:30|2026-april:20|2026-may:30|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
manchester_fire_risk_assessment,Manchester,fire risk assessment company,fire risk assessment company,fire risk assessment company,,10,HIGH,93,23.2941,6.0567,20.1638,2025-august:10|2025-september:0|2025-october:20|2025-november:70|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
manchester_fire_risk_assessment,Manchester,fire safety risk assessment,fire safety risk assessment,fire safety risk assessment,,20,HIGH,86,0.7342,8.1988,12.8953,2025-august:10|2025-september:70|2025-october:10|2025-november:20|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:30|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
manchester_fire_risk_assessment,Manchester,workplace fire risk assessment,workplace fire risk assessment,workplace fire risk assessment,,20,UNSPECIFIED,0,0.0000,0.0000,0.0000,2025-august:10|2025-september:110|2025-october:20|2025-november:70|2025-december:20|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:0|2026-june:10|2026-july:0,generic_query_inside_local_geo_target,2026-09-03
manchester_fire_risk_assessment,Manchester,office fire risk assessment,office fire risk assessment,office fire risk assessment,,10,UNSPECIFIED,0,0.0000,0.0000,0.0000,2025-august:10|2025-september:90|2025-october:10|2025-november:20|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:0,generic_query_inside_local_geo_target,2026-09-03
manchester_fire_risk_assessment,Manchester,fire risk assessment quote,fire risk assessment quote,fire risk assessment quote,,10,UNSPECIFIED,0,0.0000,0.0000,0.0000,2025-august:10|2025-september:0|2025-october:0|2025-november:0|2025-december:0|2026-january:0|2026-february:0|2026-march:0|2026-april:0|2026-may:0|2026-june:10|2026-july:0,generic_query_inside_local_geo_target,2026-09-03
manchester_fire_risk_assessment,Manchester,fire safety consultant,fire safety consultant,fire safety consultant,,10,MEDIUM,62,2.8148,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:0|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
