city,category,submitted_keyword,grouped_submitted_keywords,returned_keyword,close_variants,average_monthly_searches,competition,competition_index,average_cpc_gbp,low_top_of_page_gbp,high_top_of_page_gbp,monthly_search_volumes,geography_method,observed_at
London,friendship_discovery,social events,social events,social events,,110,LOW,3,0.8787,0.0000,0.0000,2025-august:70|2025-september:260|2025-october:140|2025-november:110|2025-december:70|2026-january:90|2026-february:90|2026-march:140|2026-april:90|2026-may:70|2026-june:70|2026-july:90,generic_query_inside_local_geo_target,2026-09-03
London,friendship_discovery,social events near me,social events near me,social events near me,,40,LOW,18,7.5999,0.4947,2.7569,2025-august:50|2025-september:70|2025-october:40|2025-november:40|2025-december:30|2026-january:40|2026-february:30|2026-march:50|2026-april:40|2026-may:50|2026-june:40|2026-july:40,generic_query_inside_local_geo_target,2026-09-03
London,friendship_discovery,meet new people,meet new people,meet new people,,90,MEDIUM,36,1.2287,0.5709,1.6515,2025-august:90|2025-september:170|2025-october:110|2025-november:70|2025-december:70|2026-january:90|2026-february:70|2026-march:90|2026-april:50|2026-may:70|2026-june:70|2026-july:70,generic_query_inside_local_geo_target,2026-09-03
London,friendship_discovery,make new friends,make new friends,make new friends,,90,LOW,13,1.4632,0.6450,2.6406,2025-august:110|2025-september:140|2025-october:90|2025-november:70|2025-december:70|2026-january:110|2026-february:50|2026-march:90|2026-april:70|2026-may:70|2026-june:90|2026-july:50,generic_query_inside_local_geo_target,2026-09-03
London,friendship_discovery,social groups near me,social groups near me,social groups near me,,50,LOW,25,0.7606,0.2871,1.5690,2025-august:90|2025-september:90|2025-october:90|2025-november:50|2025-december:40|2026-january:40|2026-february:50|2026-march:50|2026-april:50|2026-may:20|2026-june:30|2026-july:40,generic_query_inside_local_geo_target,2026-09-03
London,friendship_discovery,dinner with strangers,dinner with strangers,dinner with strangers,,50,LOW,10,3.1144,1.1792,3.8623,2025-august:110|2025-september:90|2025-october:70|2025-november:70|2025-december:40|2026-january:70|2026-february:50|2026-march:50|2026-april:40|2026-may:40|2026-june:40|2026-july:40,generic_query_inside_local_geo_target,2026-09-03
London,interest_led,public lectures,public lectures,public lectures,,70,LOW,4,1.8058,0.4850,3.1673,2025-august:50|2025-september:70|2025-october:70|2025-november:50|2025-december:50|2026-january:110|2026-february:70|2026-march:70|2026-april:70|2026-may:70|2026-june:110|2026-july:70,generic_query_inside_local_geo_target,2026-09-03
London,interest_led,live talks,live talks,live talks,,50,LOW,25,0.9888,0.4382,0.8967,2025-august:40|2025-september:40|2025-october:50|2025-november:40|2025-december:30|2026-january:40|2026-february:50|2026-march:50|2026-april:50|2026-may:50|2026-june:70|2026-july:50,generic_query_inside_local_geo_target,2026-09-03
London,interest_led,book club,book club,book club,,1600,LOW,9,1.6527,0.3497,1.7812,2025-august:1600|2025-september:1900|2025-october:4400|2025-november:1900|2025-december:1600|2026-january:1900|2026-february:1600|2026-march:1300|2026-april:1000|2026-may:1000|2026-june:1000|2026-july:1000,generic_query_inside_local_geo_target,2026-09-03
London,interest_led,reading club,reading club,reading club,,140,LOW,7,0.8292,0.0000,0.0000,2025-august:210|2025-september:210|2025-october:170|2025-november:140|2025-december:170|2026-january:110|2026-february:140|2026-march:110|2026-april:110|2026-may:90|2026-june:70|2026-july:90,generic_query_inside_local_geo_target,2026-09-03
London,interest_led,board game cafe,board game cafe,board game cafe,,2900,LOW,14,0.7531,0.3750,1.3315,2025-august:3600|2025-september:3600|2025-october:3600|2025-november:3600|2025-december:2900|2026-january:4400|2026-february:2900|2026-march:2900|2026-april:2400|2026-may:1900|2026-june:1900|2026-july:1600,generic_query_inside_local_geo_target,2026-09-03
London,interest_led,chess club,chess club,chess club,,480,LOW,5,0.4393,0.7051,3.5040,2025-august:480|2025-september:720|2025-october:590|2025-november:590|2025-december:480|2026-january:590|2026-february:390|2026-march:590|2026-april:480|2026-may:390|2026-june:390|2026-july:390,generic_query_inside_local_geo_target,2026-09-03
London,interest_led,pottery classes,pottery classes,pottery classes,,1900,HIGH,98,1.0165,0.4497,1.0593,2025-august:1900|2025-september:2400|2025-october:2400|2025-november:2400|2025-december:1900|2026-january:2900|2026-february:2900|2026-march:2400|2026-april:1900|2026-may:1600|2026-june:1300|2026-july:1300,generic_query_inside_local_geo_target,2026-09-03
London,interest_led,pottery painting,pottery painting,pottery painting,,4400,LOW,31,0.7354,0.3975,1.0040,2025-august:5400|2025-september:4400|2025-october:5400|2025-november:4400|2025-december:3600|2026-january:5400|2026-february:5400|2026-march:5400|2026-april:3600|2026-may:2900|2026-june:2900|2026-july:3600,generic_query_inside_local_geo_target,2026-09-03
London,interest_led,social sports,social sports,social sports,,70,LOW,7,2.7314,0.6647,0.9938,2025-august:90|2025-september:110|2025-october:70|2025-november:70|2025-december:50|2026-january:70|2026-february:70|2026-march:70|2026-april:50|2026-may:70|2026-june:70|2026-july:70,generic_query_inside_local_geo_target,2026-09-03
London,dating,speed dating,speed dating,speed dating,,1000,MEDIUM,54,1.5427,0.4684,1.4012,2025-august:1300|2025-september:1300|2025-october:1300|2025-november:1300|2025-december:880|2026-january:1300|2026-february:1000|2026-march:1000|2026-april:880|2026-may:880|2026-june:880|2026-july:720,generic_query_inside_local_geo_target,2026-09-03
London,dating,singles events,singles events,singles events,,110,MEDIUM,49,1.4612,0.3664,1.3902,2025-august:110|2025-september:140|2025-october:110|2025-november:90|2025-december:70|2026-january:90|2026-february:110|2026-march:110|2026-april:140|2026-may:90|2026-june:90|2026-july:90,generic_query_inside_local_geo_target,2026-09-03
London,dating,singles nights,singles nights,singles nights,,40,MEDIUM,44,0.6601,0.2732,1.6961,2025-august:20|2025-september:40|2025-october:40|2025-november:110|2025-december:20|2026-january:50|2026-february:50|2026-march:30|2026-april:20|2026-may:20|2026-june:30|2026-july:30,generic_query_inside_local_geo_target,2026-09-03
London,broad_discovery,things to do,things to do,things to do,,90500,LOW,12,0.2785,0.5303,2.1056,2025-august:135000|2025-september:110000|2025-october:90500|2025-november:74000|2025-december:60500|2026-january:90500|2026-february:90500|2026-march:90500|2026-april:90500|2026-may:90500|2026-june:90500|2026-july:90500,generic_query_inside_local_geo_target,2026-09-03
London,broad_discovery,events near me,events near me,events near me,,1600,HIGH,100,1.0222,0.2663,1.1407,2025-august:2900|2025-september:1600|2025-october:1600|2025-november:1300|2025-december:1000|2026-january:1000|2026-february:880|2026-march:1000|2026-april:1000|2026-may:1600|2026-june:1600|2026-july:1600,generic_query_inside_local_geo_target,2026-09-03
