revenue_play,buyer,observed_examples,launch_stage,margin_potential,cash_character,strategic_value,primary_risk,source_ids,recommendation
Single-event ticket,attendee,Dinners With Friends; Seed Talks; Thursday,day one,medium,recognised after delivery,Tests willingness to pay with bounded liability,thin margin and reacquisition,S03;S32;S82,launch
Credit pack,attendee,Dinners With Friends; Ocio,after repeat signal,medium,prepaid liability,Reduces checkout friction and encourages return,breakage accounting and redemption spikes,S03;S104,test early with liability ledger
Capped membership,member,proposed model; DEIGHT,after stable event contribution,medium-high,recurring with bounded fulfilment,Creates habit without unlimited variable cost,underuse churn or overuse margin,S106,recommended after proof
Unlimited membership,member,Timeleft; Reading Rhythms,only after dense inventory,variable,recurring fulfilment obligation,Strong retention promise and category lock-in,adverse utilisation and empty calendar,S12;S93,delay
Access-only membership,member,Lectures on Tap,after sold-out demand,high,recurring low fulfilment,Monetises priority status without bundling the core ticket,perks feel cosmetic if events do not sell,S77,strong for scarce formats
Annual patron tier,member or donor,Intelligence Squared; nonprofit memberships,later,high,prepaid relationship capital,Funds programming and identifies superfans,benefit liability and elitism,S97,later
Lifetime membership,patron,Intelligence Squared,late and sparingly,high upfront,large long-term obligation,Working capital and prestige,underpricing decades of fulfilment,S97,avoid until institution is durable
Cohort programme,member,Adventure Solos; courses,after operational proof,medium-high,contracted future delivery,High customer value and repeated exposure create relationship depth,refunds attrition and long liability,S105,strong niche product
Course or term,learner,Social Pottery; Ceramic Studio; Seed Talks,after one-off demand,medium-high,prepaid scheduled delivery,Turns curiosity into progression and predictable cohorts,tutor capacity and attendance,S83;S125,high priority
VIP seating or priority,attendee,Seed Talks; Lectures on Tap,with constrained venues,high,transactional upsell,Price discrimination without much extra delivery,weak value or visible hierarchy,S77;S86,test
Bring-a-friend entitlement,member,Reading Rhythms First Class,after retention,medium,embedded acquisition cost,Transforms membership into referral inventory,guest displaces paid seat,S93,test with capacity control
Two-person bundle,attendee,Seed Talks,at launch,medium,transactional,Reduces anxiety and acquisition cost per attendee,discount leakage,S86,use selectively
Deposit or late-cancel fee,attendee,Timeleft; pottery studios,day one,high protection,liability and behavioural commitment,Improves show-up and recovers perishable capacity,punitive customer experience,S13;S125,use transparently
Gift card,gifter,Seed Talks; Social Pottery; ClassBento,after reliable fulfilment,high,prepaid liability,Acquires through a different buyer and works seasonally,redemption spikes and dormant balances,S81;S123;S125,early secondary layer
Private group booking,group organiser,Pottery Cafe; Fever; Social Pottery,once format is repeatable,medium-high,deposit and invoice,Converts consumer format into larger guaranteed blocks,customisation destroys repeatability,S119;S125;S127,high priority
Corporate team experience,employer,Social Pottery; Brush Party; Fever,once service is professionalised,high,invoice with sales cycle,Higher order value and weekday demand,procurement and bespoke scope,S119;S125;S128,high priority
Employer benefit,employer and employee,Urban Sports Club; Wellhub; Fever Pass,network stage,high at scale,recurring contract,Employer subsidy lowers consumer CAC and churn,long sales cycle and partner payout exposure,S115;S116;S119,venture or scaled route
Institutional cohort,university; housing; public buyer,proposed extension,later,medium,contracted programme,Defined audience and funded access,procurement safeguarding and unsupported outcome claims,S57,later controlled pilot
Venue cover fee,venue,Dinners With Friends inference; Timeleft proposition,after incrementality proof,high,per attendee or event,Monetises proven off-peak demand on both sides,double charging and disputed incrementality,S06;S14,only with counterfactual data
Venue minimum or revenue share,attendee and venue,lecture and hospitality formats,day one,medium,event settlement,Aligns venue with attendance and food or beverage spend,minimum guarantees can erase margin,S75;S80,negotiate by slot
Food and beverage margin,visitor,Otter Chaos; Pottery Cafe,asset-backed only,medium-high,direct retail,Adds spend per visit and extends dwell time,waste staffing licences and lease,S127;S137,only if owning or operating venue
Materials or object sale,participant,Pottery Cafe; Social Pottery,activity-specific,medium,recognised with event,Raises revenue per attendee and leaves a physical memory,inventory firing breakage and waste,S125;S127,strong for craft
Studio access membership,maker,Social Pottery,after asset utilisation proof,medium-high,recurring access obligation,Monetises off-peak fixed capacity and creates regulars,peak congestion and fixed lease,S126,asset-backed only
Equipment or room rental,group,Otter Chaos; Pottery Cafe,with controlled space,high,reservation,Monetises scarce tables rooms wheels or equipment,capacity blocks core higher-yield use,S127;S137,use off peak
Retreat or expedition,member,Adventure Solos; SweatPals,after trust,medium-high,large deposit and working-capital exposure,High AOV and deeper bonds,safety travel refunds and vendor liability,S105;S113,later
Live digital ticket,viewer,Seed Talks; 5x15,once content exists,high after setup,event-linked,Extends geography without venue capacity,production quality and cannibalisation,S83;S95,selective
On-demand recording,viewer,Seed Talks; Intelligence Squared,after rights secured,high,low marginal cost,Creates catalogue revenue and long-tail acquisition,speaker rights editing and low completion,S83;S97,secure rights from first event
CPD add-on,professional,Seed Talks,after credible expert and process,high,transactional or bundled,Adds professional value to existing content,accreditation claims and admin,S84;S85,strong for suitable topics
Podcast or media sponsorship,advertiser,5x15; Intelligence Squared; The Moth,later,high,campaign,Turns programming into a persistent audience asset,media audience may not convert to attendance,S95;S98;S99,later
Content licensing,brand or platform,Reading Rhythms; 5x15; proposed lecture archive,later,high,contracted IP,Separates reach from event-seat capacity,rights chain and brand fit,S92;S96,later
Brand event sponsorship,brand,Reading Rhythms; Daybreaker; Timeleft,after audience proof,high,campaign-funded,Cross-subsidises access and pays for cultural relevance,trust erosion and sponsor dependency,S15;S92;S103,after clear audience evidence
Product sampling or gifting,brand,Reading Rhythms; Daybreaker,after attendance scale,high,campaign-funded,Simple entry product for sponsors and measurable distribution,waste consent and poor category fit,S92;S103,selective
Paid placement or promotion,organiser,Liiiv; Fever,marketplace stage,high,prepaid media,Monetises organiser competition for local attention,ranking trust and low conversion,S109;S120,only with material consumer demand
Marketplace commission,host or organiser,Airbnb Experiences; Eatwith; StartPlaying,after two-sided liquidity,high at scale,transactional take rate,Scales with third-party supply without full delivery payroll,quality disputes disintermediation and cold start,S121;S122;S129,not a launch wedge
Discovery commission,host,SweatPals,platform stage,high,incremental transaction,Charges more only when platform supplies demand,attribution disputes and host bypass,S113,strong later mechanism
Organizer SaaS subscription,venue or host,Liiiv; Playtomic; Meetup,after internal tools prove value,high,recurring B2B,Monetises workflow independent of attendance GMV,support load and premature product split,S40;S109;S111,later separate product
Chapter licence or revenue share,local lead,Pint of View; Reading Rhythms; The Offline Club,after playbook standardisation,high central margin,royalty or ticket share,Capital-light geographic expansion,quality drift and weak local economics,S88;S91;S139,later controlled
Franchise or city licence,local operator,Social Pottery expansion invitation; The Offline Club,late,high central margin,upfront plus royalty,Transfers capex and local ownership,brand control and franchise regulation,S125;S139,only after audited unit
Artist or facilitator services,supply side,Sofar; StartPlaying,after supply network,high,transactional or SaaS,Monetises creators beyond a single booking,conflicts with marketplace neutrality,S101;S129,later
Group-booking desk,business or school,Fever,after inventory breadth,medium-high,service margin,Aggregates demand and earns on coordination,manual sales and custom support,S119,scaled platform layer
Affiliate or external-booking referral,venue or ticket provider,Liiiv,early discovery stage,high if paid,attributed referral,Allows breadth without owning transaction,weak economics and loss of customer data,S107;S109,use while testing marketplace
Merchandise,member,Adventure Solos; event brands,later,medium,inventory or preorder,Identity signal and incremental AOV,stock distraction and low demand,S105,only preorder or proven audience
Pay-what-you-can allocation,attendee; sponsor,Seed Talks,once core economics work,negative to neutral,subsidised access,Access and goodwill without repricing the full event,abuse and unclear subsidy,S87,cap and measure
