submitted_keyword,returned_keyword,grouped_submitted_keywords,close_variants,niche,niche_phrase,lane,city,average_monthly_searches,competition,competition_index,average_cpc_gbp,low_top_of_page_gbp,high_top_of_page_gbp,geography_method,observed_at
emergency plumber London,emergency plumber london,emergency plumber London,emergency plumber London,emergency_plumber,emergency plumber,urgent_trade,London,1600,HIGH,76,40.3343,12.1673,60.1944,explicit_city_query_under_uk_target,2026-09-03
emergency plumber Birmingham,emergency plumber birmingham,emergency plumber Birmingham,emergency plumber Birmingham,emergency_plumber,emergency plumber,urgent_trade,Birmingham,480,HIGH,75,8.8996,3.4294,14.3096,explicit_city_query_under_uk_target,2026-09-03
emergency plumber Manchester,emergency plumber manchester,emergency plumber Manchester,emergency plumber Manchester,emergency_plumber,emergency plumber,urgent_trade,Manchester,720,HIGH,76,10.3986,2.9817,21.3240,explicit_city_query_under_uk_target,2026-09-03
emergency plumber Glasgow,emergency plumber glasgow,emergency plumber Glasgow,emergency plumber Glasgow,emergency_plumber,emergency plumber,urgent_trade,Glasgow,590,HIGH,88,11.2101,3.5106,18.2869,explicit_city_query_under_uk_target,2026-09-03
emergency plumber Leeds,emergency plumber leeds,emergency plumber Leeds,emergency plumber Leeds,emergency_plumber,emergency plumber,urgent_trade,Leeds,590,HIGH,82,10.6262,5.6464,24.9214,explicit_city_query_under_uk_target,2026-09-03
emergency plumber Liverpool,emergency plumber liverpool,emergency plumber Liverpool,emergency plumber Liverpool,emergency_plumber,emergency plumber,urgent_trade,Liverpool,480,MEDIUM,64,10.8656,3.5447,12.2172,explicit_city_query_under_uk_target,2026-09-03
emergency plumber Bristol,emergency plumber bristol,emergency plumber Bristol,emergency plumber Bristol,emergency_plumber,emergency plumber,urgent_trade,Bristol,480,MEDIUM,61,18.1311,9.6798,37.1710,explicit_city_query_under_uk_target,2026-09-03
emergency plumber Sheffield,emergency plumber sheffield,emergency plumber Sheffield,emergency plumber Sheffield,emergency_plumber,emergency plumber,urgent_trade,Sheffield,480,HIGH,85,6.3702,3.9979,10.9517,explicit_city_query_under_uk_target,2026-09-03
emergency plumber Edinburgh,emergency plumber edinburgh,emergency plumber Edinburgh,emergency plumber Edinburgh,emergency_plumber,emergency plumber,urgent_trade,Edinburgh,1000,HIGH,86,10.4146,5.1115,17.8285,explicit_city_query_under_uk_target,2026-09-03
emergency plumber Cardiff,emergency plumber cardiff,emergency plumber Cardiff,emergency plumber Cardiff,emergency_plumber,emergency plumber,urgent_trade,Cardiff,320,HIGH,88,7.4618,2.9769,15.3807,explicit_city_query_under_uk_target,2026-09-03
emergency plumber Nottingham,emergency plumber nottingham,emergency plumber Nottingham,emergency plumber Nottingham,emergency_plumber,emergency plumber,urgent_trade,Nottingham,390,HIGH,88,9.5964,4.8073,18.5895,explicit_city_query_under_uk_target,2026-09-03
