city,category,submitted_keyword,grouped_submitted_keywords,returned_keyword,close_variants,average_monthly_searches,competition,competition_index,average_cpc_gbp,low_top_of_page_gbp,high_top_of_page_gbp,monthly_search_volumes,geography_method,observed_at
London,friendship_discovery,social events London,social events London,social events london,social events London,320,LOW,17,1.0697,0.4082,1.5216,2025-august:390|2025-september:390|2025-october:320|2025-november:320|2025-december:260|2026-january:390|2026-february:320|2026-march:390|2026-april:390|2026-may:390|2026-june:320|2026-july:320,explicit_city_query_under_uk_target,2026-09-03
London,friendship_discovery,meet new people London,meet new people London,meet new people london,meet new people London,110,MEDIUM,42,1.6748,0.6411,2.0682,2025-august:140|2025-september:140|2025-october:140|2025-november:140|2025-december:70|2026-january:140|2026-february:110|2026-march:110|2026-april:140|2026-may:110|2026-june:90|2026-july:140,explicit_city_query_under_uk_target,2026-09-03
London,friendship_discovery,make new friends London,make new friends London,make new friends london,make new friends London,70,LOW,24,1.6929,0.3709,1.5280,2025-august:70|2025-september:90|2025-october:70|2025-november:70|2025-december:50|2026-january:90|2026-february:70|2026-march:70|2026-april:50|2026-may:70|2026-june:50|2026-july:70,explicit_city_query_under_uk_target,2026-09-03
London,friendship_discovery,social groups London,social groups London,social groups london,social groups London,170,LOW,16,1.2146,0.2844,2.2496,2025-august:170|2025-september:260|2025-october:170|2025-november:140|2025-december:140|2026-january:170|2026-february:140|2026-march:170|2026-april:170|2026-may:140|2026-june:110|2026-july:110,explicit_city_query_under_uk_target,2026-09-03
London,interest_led,public lectures London,public lectures London,public lectures london,public lectures London,320,LOW,8,8.1297,0.7556,6.7294,2025-august:210|2025-september:320|2025-october:260|2025-november:260|2025-december:170|2026-january:480|2026-february:390|2026-march:390|2026-april:260|2026-may:210|2026-june:260|2026-july:210,explicit_city_query_under_uk_target,2026-09-03
London,interest_led,book club London,book club London,book club london,book club London,1600,LOW,9,1.0126,0.3248,0.9771,2025-august:1900|2025-september:1900|2025-october:1900|2025-november:1900|2025-december:1600|2026-january:2400|2026-february:1600|2026-march:1600|2026-april:1300|2026-may:1300|2026-june:1300|2026-july:1300,explicit_city_query_under_uk_target,2026-09-03
London,interest_led,board game cafe London,board game cafe London,board game cafe london,board game cafe London,3600,LOW,25,0.4711,0.2084,0.5987,2025-august:3600|2025-september:3600|2025-october:4400|2025-november:4400|2025-december:2900|2026-january:5400|2026-february:4400|2026-march:3600|2026-april:2400|2026-may:2400|2026-june:2400|2026-july:1900,explicit_city_query_under_uk_target,2026-09-03
London,interest_led,chess club London,chess club London,chess club london,chess club London,1600,LOW,5,1.0599,0.5580,1.4816,2025-august:1900|2025-september:1600|2025-october:1600|2025-november:1900|2025-december:1600|2026-january:1900|2026-february:1900|2026-march:1600|2026-april:1600|2026-may:1600|2026-june:1300|2026-july:1300,explicit_city_query_under_uk_target,2026-09-03
London,interest_led,pottery classes London,pottery classes London,pottery classes london,pottery classes London,8100,HIGH,100,1.2098,0.4250,1.2086,2025-august:6600|2025-september:8100|2025-october:8100|2025-november:8100|2025-december:8100|2026-january:9900|2026-february:9900|2026-march:8100|2026-april:6600|2026-may:5400|2026-june:5400|2026-july:5400,explicit_city_query_under_uk_target,2026-09-03
London,interest_led,pottery painting London,pottery painting London,pottery painting london,pottery painting London,9900,HIGH,99,0.6394,0.3090,0.6747,2025-august:9900|2025-september:8100|2025-october:9900|2025-november:9900|2025-december:8100|2026-january:12100|2026-february:12100|2026-march:9900|2026-april:8100|2026-may:6600|2026-june:6600|2026-july:8100,explicit_city_query_under_uk_target,2026-09-03
