claimId,subjectType,subjectName,field,value,unit,evidenceClass,sourceType,sourceName,sourceUrl,observedAt,geography,method,limitations
C001,market,England-and-Wales-non-domestic-property-stock,rateable-properties,2140000,hereditaments,observed,official-statistics,Non-domestic rating stock March 2026,https://www.gov.uk/government/statistics/non-domestic-rating-stock-of-properties-march-2026/non-domestic-rating-stock-of-properties-statistical-commentary,2026-09-03,England-and-Wales,direct,"Rating units are not unique buildings businesses or buyers"
C002,market,England-and-Wales-non-domestic-property-stock,properties-with-rateable-value-at-or-below-GBP12000,63,percent,observed,official-statistics,Non-domestic rating stock March 2026,https://www.gov.uk/government/statistics/non-domestic-rating-stock-of-properties-march-2026/non-domestic-rating-stock-of-properties-statistical-commentary,2026-09-03,England-and-Wales,direct,"Rateable value is not turnover budget or willingness to pay"
C003,market,England-and-Wales-non-domestic-property-stock,retail-properties,512500,hereditaments,observed,official-statistics,Non-domestic rating stock March 2026,https://www.gov.uk/government/statistics/non-domestic-rating-stock-of-properties-march-2026/non-domestic-rating-stock-of-properties-statistical-commentary,2026-09-03,England-and-Wales,direct,"One property may be occupied or managed within a wider portfolio"
C004,market,England-and-Wales-non-domestic-property-stock,office-properties,428270,hereditaments,observed,official-statistics,Non-domestic rating stock March 2026,https://www.gov.uk/government/statistics/non-domestic-rating-stock-of-properties-march-2026/non-domestic-rating-stock-of-properties-statistical-commentary,2026-09-03,England-and-Wales,direct,"Does not establish compliance-service demand"
C005,market,England-and-Wales-non-domestic-property-stock,industrial-properties,566240,hereditaments,observed,official-statistics,Non-domestic rating stock March 2026,https://www.gov.uk/government/statistics/non-domestic-rating-stock-of-properties-march-2026/non-domestic-rating-stock-of-properties-statistical-commentary,2026-09-03,England-and-Wales,direct,"Does not establish asset complexity"
C006,regulation,fire-risk-assessment-England,required-outcome,"Responsible person must carry out and regularly review a recorded fire risk assessment",requirement,observed,government-guidance,Workplace fire risk assessments,https://www.gov.uk/workplace-fire-safety-your-responsibilities/fire-risk-assessments,2026-09-03,England,direct,"Not legal advice; premises-specific duties vary"
C007,regulation,fire-risk-assessment-England,third-party-purchase,"Competent self-assessment can be possible for simple premises; professional help is conditional",purchase-condition,observed,government-guidance,Fire safety for small businesses,https://www.gov.uk/government/collections/fire-safety-for-small-businesses-operating-from-commercial-premises,2026-09-03,England,direct,"Complexity vulnerability and expertise change the answer"
C008,regulation,fire-risk-assessment-UK,jurisdiction,"England and Wales Scotland and Northern Ireland use distinct fire-safety statutes and guidance",jurisdictions,observed,government-guidance,Fire guidance by jurisdiction,https://www.gov.scot/policies/fire-and-rescue/non-domestic-fire-safety/,2026-09-03,United-Kingdom,"S02;S04;S05;S06","A UK product must preserve jurisdiction and premises type"
C009,enforcement,England-fire-safety-audits,total-audits,50195,audits,observed,official-statistics,Fire prevention and protection statistics 2026,https://www.gov.uk/government/statistics/fire-prevention-and-protection-england-year-ending-march-2026/fire-prevention-and-protection-statistics-england-april-2025-to-march-2026,2026-09-03,England,direct,"Risk-targeted audits are not a random sample"
C010,enforcement,England-fire-safety-audits,unsatisfactory-audits,20286,audits,observed,official-statistics,Fire prevention and protection statistics 2026,https://www.gov.uk/government/statistics/fire-prevention-and-protection-england-year-ending-march-2026/fire-prevention-and-protection-statistics-england-april-2025-to-march-2026,2026-09-03,England,direct,"Unsatisfactory means further action was necessary"
C011,enforcement,England-fire-safety-audits,unsatisfactory-share,40.4,percent,derived,official-statistics,Fire prevention and protection statistics 2026,https://www.gov.uk/government/statistics/fire-prevention-and-protection-england-year-ending-march-2026/fire-prevention-and-protection-statistics-england-april-2025-to-march-2026,2026-09-03,England,"C010 / C009 x 100","Risk targeting prevents population inference"
C012,enforcement,England-fire-safety-audits,formal-notifications,3355,notifications,observed,official-statistics,Fire prevention and protection statistics 2026,https://www.gov.uk/government/statistics/fire-prevention-and-protection-england-year-ending-march-2026/fire-prevention-and-protection-statistics-england-april-2025-to-march-2026,2026-09-03,England,direct,"Formal notifications were 6.7 percent of audits; categories overlap with specific notices"
C013,regulation,asbestos-duty-to-manage,scope,"All non-domestic premises in Great Britain plus common parts of multi-occupied domestic premises",premises-scope,observed,HSE-guidance,Asbestos dutyholder check,https://www.hse.gov.uk/asbestos/duty/check.htm,2026-09-03,Great-Britain,direct,"Allocation depends on lease and maintenance responsibility"
C014,regulation,asbestos-surveying,competence,"HSE strongly recommends UKAS-accredited survey organisations; sample analysis must be accredited",competence,observed,HSE-guidance,Arrange an asbestos survey,https://www.hse.gov.uk/asbestos/duty/arrange-asbestos-survey.htm,2026-09-03,Great-Britain,direct,"Strong recommendation is not identical to a universal legal accreditation requirement for surveyors"
C015,regulation,portable-electrical-equipment,annual-PAT,"The law does not require every portable appliance in a low-risk office to receive an annual PAT",requirement,observed,HSE-guidance,Maintaining portable electric equipment,https://www.hse.gov.uk/pubns/indg236.htm,2026-09-03,Great-Britain,direct,"Maintenance remains required and risk changes frequency"
C016,regulation,workplace-gas-work,provider-requirement,"Covered gas work in shops restaurants schools and hospitals must be carried out by a qualified Gas Safe registered engineer",requirement,observed,HSE-guidance,Gas safety for employers,https://www.hse.gov.uk/gas/employers.htm,2026-09-03,Great-Britain,direct,"Industrial and lease contexts vary"
C017,regulation,legionella-control,responsible-person,"Employer or person in control must appoint a competent person and remains responsible when contractors are used",requirement,observed,HSE-guidance,Managing legionella risk,https://www.hse.gov.uk/legionnaires/what-you-must-do/manage-the-risk.htm,2026-09-03,United-Kingdom,direct,"Controls depend on the system and risk"
C018,regulation,legionella-landlord-context,certificate-and-frequency,"No statutory legionella test certificate or fixed annual or biennial assessment interval",requirement,observed,HSE-guidance,Legionella landlord responsibilities,https://www.hse.gov.uk/legionnaires/legionella-landlords-responsibilities.htm,2026-09-03,United-Kingdom,direct,"Statement is for the described landlord context; complex systems need specialist treatment"
C019,regulation,lifting-equipment,examination-cadence,"Normally six months for lifting people and accessories and twelve months for other lifting equipment unless an examination scheme sets another interval",months,observed,HSE-guidance,Thorough examination of lifting equipment,https://www.hse.gov.uk/work-equipment-machinery/thorough-examinations-lifting-equipment.htm,2026-09-03,Great-Britain,direct,"Covered equipment and exceptional events must be assessed"
C020,regulation,pressure-systems,written-scheme,"Qualifying pressure equipment requires a suitable written scheme and examination by a competent person before operation",requirement,observed,HSE-guidance,Pressure Systems Safety Regulations 2000,https://www.hse.gov.uk/pressure-systems/pssr.htm,2026-09-03,Great-Britain,direct,"Applies only to qualifying equipment and relevant fluids"
C021,regulation,non-domestic-EPC,assessor,"A business-premises EPC requires an accredited non-domestic energy assessor",requirement,observed,government-guidance,Energy Performance Certificates for business premises,https://www.gov.uk/energy-performance-certificate-commercial-property,2026-09-03,England-and-Wales,direct,"Triggers and exemptions vary"
C022,regulation,non-domestic-MEES,current-minimum,"Covered privately rented non-domestic properties generally require EPC E or a valid exemption",EPC-band,observed,government-guidance,Non-domestic MEES landlord guidance,https://www.gov.uk/guidance/non-domestic-private-rented-property-minimum-energy-efficiency-standard-landlord-guidance,2026-09-03,England-and-Wales,direct,"Not every tenancy or property is covered"
C023,policy,non-domestic-MEES-2031,proposed-minimum,"Government intends EPC B from 2031 for rented buildings over 1000 square metres and no 2027 EPC C milestone",proposal,observed,government-policy,Non-domestic MEES interim response 2026,https://www.gov.uk/government/consultations/non-domestic-private-rented-sector-minimum-energy-efficiency-standards-epc-b-implementation/outcome/minimum-energy-efficiency-standards-mees-in-the-non-domestic-private-rented-sector-interim-response,2026-09-03,England-and-Wales,direct,"Depends on secondary legislation and is not current law"
C024,regulation,non-domestic-EPC,remote-lodgement,"Remote lodgement from data not collected or verified under the accredited assessor's direction is not acceptable",requirement,observed,government-guidance,Energy performance certificates for non-dwellings,https://www.gov.uk/government/publications/energy-performance-certificates-for-the-construction-sale-and-let-of-non-dwellings--2/a-guide-to-energy-performance-certificates-for-the-construction-sale-and-let-of-non-dwellings,2026-09-03,England-and-Wales,direct,"Team data collection can occur under assessor direction"
C025,demand,UK-fire-risk-search,generic-query,8100,average-monthly-searches,observed,retained-research,Rank-and-rent UK historical keyword evidence,https://github.com/dougwithseismic/research-library/blob/main/publications/rank-and-rent-uk-2026/evidence/google-ads-national-intent-screen.csv,2026-09-03,United-Kingdom,read-only-Google-Ads-historical-metrics,"Close variants and historical periods apply; not leads or market size"
C026,demand,UK-fire-risk-search,near-me-query,1300,average-monthly-searches,observed,retained-research,Rank-and-rent UK historical keyword evidence,https://github.com/dougwithseismic/research-library/blob/main/publications/rank-and-rent-uk-2026/evidence/google-ads-national-intent-screen.csv,2026-09-03,United-Kingdom,read-only-Google-Ads-historical-metrics,"Not additive to generic due possible overlap"
C027,demand,UK-asbestos-survey-search,generic-query,6600,average-monthly-searches,observed,retained-research,Rank-and-rent UK historical keyword evidence,https://github.com/dougwithseismic/research-library/blob/main/publications/rank-and-rent-uk-2026/evidence/google-ads-national-intent-screen.csv,2026-09-03,United-Kingdom,read-only-Google-Ads-historical-metrics,"Not leads revenue or market size"
C028,demand,UK-asbestos-survey-search,near-me-query,1000,average-monthly-searches,observed,retained-research,Rank-and-rent UK historical keyword evidence,https://github.com/dougwithseismic/research-library/blob/main/publications/rank-and-rent-uk-2026/evidence/google-ads-national-intent-screen.csv,2026-09-03,United-Kingdom,read-only-Google-Ads-historical-metrics,"Not additive to generic due possible overlap"
C029,demand,Manchester-fire-risk,explicit-city-basket,550,average-monthly-searches,derived,retained-research,Rank-and-rent UK priority cluster,https://github.com/dougwithseismic/research-library/blob/main/publications/rank-and-rent-uk-2026/evidence/google-ads-priority-cluster-summary.csv,2026-09-03,Manchester,deduplicated-returned-cluster,"Basket is for comparison rather than unique market size"
C030,demand,Manchester-fire-risk,local-geo-weighted-CPC,9.10,GBP,derived,retained-research,Rank-and-rent UK priority cluster,https://github.com/dougwithseismic/research-library/blob/main/publications/rank-and-rent-uk-2026/evidence/google-ads-priority-cluster-summary.csv,2026-09-03,Manchester,volume-weighted-CPC,"CPC is not lead value or provider margin"
C031,supply,Manchester-fire-provider-sample,employee-range,"1 to 76",employees,observed,Companies-House-filings,Rank-and-rent provider filing evidence,https://github.com/dougwithseismic/research-library/blob/main/publications/rank-and-rent-uk-2026/evidence/companies-house-organisations.csv,2026-09-03,Manchester,selected-entity-resolution,"Purposive sample; turnover mostly undisclosed; does not prove buyer intent"
C032,pricing,commercial-fire-risk-assessment,indicative-small-medium-range,"200 to 700",GBP-per-assessment,observed,secondary-cost-guide,Commercial fire-risk price guide,https://www.fire-risk-assessment-quotes.co.uk/how-much-does-a-fire-risk-assessment-cost/,2026-09-03,United-Kingdom,direct,"Comparison-site guide and not transaction microdata"
C033,pricing,commercial-asbestos-survey,indicative-average,400,GBP-per-survey,observed,secondary-cost-guide,Asbestos survey cost guide,https://www.checkatrade.com/blog/cost-guides/asbestos-survey-cost/,2026-09-03,United-Kingdom,direct,"Marketplace estimate; survey scope varies"
C034,pricing,commercial-legionella-risk-assessment,indicative-range,"200 to 500",GBP-per-assessment,observed,secondary-cost-guide,Legionella cost guide,https://www.checkatrade.com/blog/cost-guides/legionella-risk-assessment-cost/,2026-09-03,United-Kingdom,direct,"Marketplace estimate; risk-system complexity varies"
C035,software,PlanRadar,current-AI,"Forms voice tickets search summaries recommendations and configurable agents",capabilities,observed,software-product,PlanRadar AI,https://www.planradar.ai/,2026-09-03,International,direct,"Vendor-authored capability claims"
C036,software,PlanRadar,UK-list-price,"23 Basic; 80 Starter; 119 Pro",GBP-per-user-month,observed,software-pricing,PlanRadar pricing,https://www.planradar.com/gb/pricing/,2026-09-03,United-Kingdom,direct,"Billing cycle tax contract and add-ons can change price"
C037,software,SafetyCulture,current-AI-and-price,"AI template builder; USD24 Premium full seat per month",product-and-price,observed,software-pricing,SafetyCulture pricing,https://safetyculture.com/pricing/,2026-09-03,International,direct,"USD price and no UK certification claim"
C038,software,MaintainX,current-AI,"Procedure generation document retrieval anomaly detection and time estimates with human review",capabilities,observed,software-documentation,Artificial intelligence in MaintainX,https://help.getmaintainx.com/ai-basics,2026-09-03,International,direct,"Vendor documentation; performance not independently verified"
C039,software,FireCheckr,report-time-claim,62,percent-reduction,observed,software-product,FireCheckr,https://firecheckr.co.uk/,2026-09-03,United-Kingdom,direct,"Vendor-authored and unverified; applies to report writing not total job time"
C040,software,Assura-Safety,starting-list-price,125,GBP-plus-VAT-per-user-month,observed,software-product,Assura Safety,https://assurasafety.com/,2026-09-03,United-Kingdom,direct,"Vendor-authored; product maturity and retention unknown"
C041,ai-risk,generative-models,confabulation,"Models can produce confidently stated false content",risk,observed,technical-standard,NIST Generative AI Profile,https://tsapps.nist.gov/publication/get_pdf.cfm?pub_id=958388,2026-09-03,International,direct,"Framework does not provide a task-specific error rate"
C042,ai-governance,human-oversight,high-impact-output,"Name accountable oversight and verify LLM outputs",control,observed,government-guidance,Data and AI Ethics Framework,https://www.gov.uk/government/publications/data-ethics-framework/data-and-ai-ethics-framework,2026-09-03,United-Kingdom,direct,"Government framework rather than sector law"
C043,ai-governance,assurance,mechanisms,"Risk assessment impact assessment compliance audit performance testing governance and escalation",controls,observed,government-guidance,Introduction to AI assurance,https://www.gov.uk/government/publications/introduction-to-ai-assurance/introduction-to-ai-assurance,2026-09-03,United-Kingdom,direct,"Introductory and cross-sector"
C044,ai-security,AI-system-lifecycle,controls,"Threat modelling documented limitations supply-chain controls secure deployment and monitoring",controls,observed,cybersecurity-guidance,Guidelines for secure AI development,https://www.ncsc.gov.uk/collection/guidelines-secure-ai-system-development,2026-09-03,International,direct,"Security controls do not prove output correctness"
C045,ai-content,generated-compliance-content,supply,"Commodity obligation pages templates and checklists become cheaper to produce",effect,inference,platform-and-software-evidence,Generated content and template evidence,https://developers.google.com/search/docs/fundamentals/using-gen-ai-content?hl=en,2026-09-03,United-Kingdom,"C035;C037;C038;S26","Supply increase size and quality distribution are unmeasured"
C046,discovery,AI-search-summaries,traditional-result-click-rate,"8 with AI summary versus 15 without",percent-of-visits,observed,independent-research,Pew click study,https://www.pewresearch.org/short-reads/2025/07/22/google-users-are-less-likely-to-click-on-links-when-an-ai-summary-appears-in-the-results/,2026-09-03,United-States,direct,"March 2025 US panel and not a UK compliance conversion cohort"
C047,commercial-decision,external-compliance-spend,structural-necessity,"External spend is lane and circumstance specific rather than universal",conclusion,inference,multi-source,Obligation procurement matrix,https://github.com/dougwithseismic/research-library/blob/main/publications/commercial-premises-compliance-ai-2026/evidence/obligation-procurement-matrix.csv,2026-09-03,United-Kingdom,"C007;C014;C015;C016;C017;C019;C020;C021","Professional legal interpretation remains a seam"
C048,commercial-decision,partner-led-managed-compliance,recommendation,"Test a narrow managed evidence and provider-coordination service before building generic SaaS or acquiring delivery",decision,inference,multi-source,Research synthesis,https://github.com/dougwithseismic/research-library/tree/main/publications/commercial-premises-compliance-ai-2026,2026-09-03,United-Kingdom,"C025-C044; AI and entry scorecards","Willingness to pay provider terms and liability are untested"
C049,commercial-decision,accredited-operator-acquisition,status,"Defer until confidential normalized earnings liability claims insurance and staff-retention evidence exists",decision,inference,registry-and-market-evidence,Provider evidence,https://github.com/dougwithseismic/research-library/blob/main/publications/rank-and-rent-uk-2026/evidence/companies-house-organisations.csv,2026-09-03,United-Kingdom,"C031; human validation plan H09","Selected public filings do not establish a target valuation or margin"
C050,unknown,managed-compliance-service,willingness-to-pay,"Not established",GBP-per-site-month,unknown,human-evidence-seam,Human validation plan,https://github.com/dougwithseismic/research-library/blob/main/publications/commercial-premises-compliance-ai-2026/evidence/human-validation-plan.csv,2026-09-03,United-Kingdom,"H01;H02;H07","No buyer interview or paid design partner"
C051,unknown,AI-assisted-compliance,operating-reliability,"Not established",quality,unknown,human-evidence-seam,AI evaluation plan,https://github.com/dougwithseismic/research-library/blob/main/publications/commercial-premises-compliance-ai-2026/evidence/ai-evaluation-plan.csv,2026-09-03,United-Kingdom,"H06 and frozen benchmark","No authorised historical reports or shadow deployment"
C052,policy,fire-risk-assessor-regulation,central-register,"Government consulted on mandatory competence requirements and a central register",proposal,observed,government-consultation,Fire risk assessors profession consultation,https://www.gov.uk/government/consultations/fire-risk-assessors-profession/fire-risk-assessors-profession,2026-09-03,United-Kingdom,direct,"Proposal is not enacted law and final design is unknown"
C053,ai-operations,PlanRadar-agents,action-boundary,"Agents create labelled records and do not change or delete existing records",control,observed,software-documentation,Recognise PlanRadar AI-agent work,https://helpcenter-prd.planradar.com/en/recognise-work-done-by-ai-agents/,2026-09-03,International,direct,"Vendor product control and not an independent safety validation"
C054,economics,provider-AI-leverage,base-capacity-uplift,25,percent,derived,scenario,Economics scenarios,https://github.com/dougwithseismic/research-library/blob/main/publications/commercial-premises-compliance-ai-2026/evidence/economics-scenarios.csv,2026-09-03,United-Kingdom,"Eight-hour job split evenly between field and report; report time reduced 40 percent","Illustrative capacity ceiling before travel demand review and scheduling"
C055,economics,managed-compliance-service,base-annual-platform-revenue,142200,GBP,derived,scenario,Economics scenarios,https://github.com/dougwithseismic/research-library/blob/main/publications/commercial-premises-compliance-ai-2026/evidence/economics-scenarios.csv,2026-09-03,United-Kingdom,"150 sites x GBP79 x 12","Gross scenario revenue; not contribution or forecast"
