impactId,workstreamId,actor,valueChainStep,aiDimension,mechanism,timeHorizon,impactDirection,claim,evidenceClass,supportingClaimIds,countervailingForce,leadingIndicator,commercialImplication,confidence,limitations
EAI01,events-economy-ai-retrofit,organiser,event-content,generated-content-supply,supply-expansion,current,headwind,"AI-assisted listings images emails and ads lower the cost of launching plausible event marketing",observed,"S158","Delivery quality and trusted brands remain scarce","New listing volume and registration-to-attendance by source","Polished event content is no longer a meaningful moat",high,"Eventbrite product claims do not prove operator profit"
EAI02,events-economy-ai-retrofit,organiser,planning-and-promotion,operating-leverage,augmentation,current,tailwind,"AI can reduce bounded drafting scheduling and support work",observed,"S158;S159","Competitors receive similar tools and errors require review","Minutes corrections and support outcomes per event","Savings matter only when measured net of review and rework",high,"Independent productivity cohorts are unavailable"
EAI03,events-economy-ai-retrofit,attendee,leisure-and-socialisation,substitution-risk,replacement,2028,mixed,"Conversational companions can substitute for some low-friction attention and social interaction",inference,"S161","Embodied reciprocal group participation offers a different outcome","Non-attender reasons chatbot use and paid-event substitution","Do not assume either demand destruction or a loneliness tailwind",medium,"The study is US based lacks a no-chatbot control and is not an event-demand study"
EAI04,events-economy-ai-retrofit,attendee,event-discovery,discovery-disruption,interface-shift,2028,mixed,"Personal assistants can recommend and coordinate events without a marketplace browsing session",inference,"S159","Operators can distribute accurate inventory and earn direct return after attendance","Agent-referred bookings and direct sixty-day repeat","Structured distribution helps but the agent may own discovery",medium,"Current UK booking adoption is unknown"
EAI05,events-economy-ai-retrofit,attendee,booking,agent-bypass-risk,interface-shift,2030,headwind,"Agents may route bookings directly to venues or organisers and bypass discovery aggregators",inference,"S159","Owned programmes and direct attendee relationships remain valuable","Share of bookings transacted without marketplace visits","Do not build a business whose sole asset is event aggregation",low,"No retained source proves mature autonomous event purchasing"
EAI06,events-economy-ai-retrofit,operator,participation-system,proprietary-data-potential,new-demand,2028,tailwind,"Permissioned attendance repeat and format-outcome data can improve programming beyond public listings",inference,"EAI02;EAI04","Data may remain sparse biased or too sensitive to use","Cohort depth correction rate and uplift from tested interventions","Own consent-aware outcomes rather than generated compatibility prose",medium,"No first-party cohort has been collected"
EAI07,events-economy-ai-retrofit,operator,event-delivery,physical-world-moat,no-material-impact,2028,tailwind,"Hosts venues travel and shared attendance remain physical constraints",inference,"S158;S161","The same constraints create cost incidents and capacity risk","Show-up fill contribution and host or venue concentration","Physical delivery resists replacement but must earn its burden",high,"Durability does not prove attractive margin"
EAI08,events-economy-ai-retrofit,attendee,trust-and-safety,trust-liability-moat,new-demand,current,tailwind,"Synthetic promotional media and derivative speaker content increase provenance rights and misrepresentation risk",observed,"S160","Clear disclosure consent and retained provenance can preserve trust","Complaints rights incidents and synthetic-media disclosures","Treat provenance and speaker permission as operating controls",high,"The UK report is not event-specific legal advice"
EAI09,events-economy-ai-retrofit,operator,local-supply,relationship-moat,no-material-impact,2028,tailwind,"Reliable hosts venues speakers and returning attendees remain relationship assets",inference,"EAI07","Incumbents may use scale to secure supply","Repeat venue terms host retention and direct attendee return","Invest in the operating network rather than a model wrapper",high,"No live fieldwork has verified retention"
EAI10,events-economy-ai-retrofit,operator,distribution,platform-dependency,interface-shift,2028,headwind,"Dependence on marketplaces social platforms or one recommendation agent leaves demand exposed",inference,"S159","Multi-channel distribution and direct return reduce concentration","Registration and repeat concentration by source","Use marketplaces to start but build direct demand",medium,"Future channel shares are unknown"
EAI11,events-economy-ai-retrofit,operator,strategy,defensibility-2028,no-material-impact,2028,tailwind,"A locally dense repeatable programme can remain defensible when content tools commoditise",inference,"EAI06;EAI07;EAI09","Physical operations can destroy value if density and contribution fail","Sixty-day repeat contribution and concentration gates","Proceed with a physical programme and reject AI-tool differentiation",medium,"The proposed moat has not been tested in a live cohort"
