submitted_keyword,returned_keyword,grouped_submitted_keywords,close_variants,niche,niche_phrase,lane,intent_variant,average_monthly_searches,competition,competition_index,average_cpc_gbp,low_top_of_page_gbp,high_top_of_page_gbp,geography_method,observed_at
emergency plumber,emergency plumber,emergency plumber,,emergency_plumber,emergency plumber,urgent_trade,generic_uk,12100,MEDIUM,62,17.4814,4.1387,26.2653,generic_query_under_uk_target,2026-09-03
emergency plumber near me,emergency plumber near me,emergency plumber near me,,emergency_plumber,emergency plumber,urgent_trade,near_me_uk,9900,HIGH,79,14.9028,3.4794,25.2693,near_me_query_under_uk_target,2026-09-03
drain unblocking,drain unblocking,drain unblocking,,drain_unblocking,drain unblocking,urgent_trade,generic_uk,27100,HIGH,100,5.1900,2.6446,14.6754,generic_query_under_uk_target,2026-09-03
drain unblocking near me,drain unblocking near me,drain unblocking near me,,drain_unblocking,drain unblocking,urgent_trade,near_me_uk,6600,HIGH,85,11.3046,3.6033,22.8964,near_me_query_under_uk_target,2026-09-03
emergency locksmith,emergency locksmith,emergency locksmith,,emergency_locksmith,emergency locksmith,urgent_trade,generic_uk,4400,MEDIUM,66,26.2953,4.4624,20.1454,generic_query_under_uk_target,2026-09-03
emergency locksmith near me,emergency locksmith near me,emergency locksmith near me,,emergency_locksmith,emergency locksmith,urgent_trade,near_me_uk,4400,MEDIUM,61,27.1310,5.7274,25.1717,near_me_query_under_uk_target,2026-09-03
roof repair,roof repair,roof repair,,roof_repair,roof repair,planned_trade,generic_uk,6600,MEDIUM,58,5.2651,4.2847,15.8985,generic_query_under_uk_target,2026-09-03
roof repair near me,roof repair near me,roof repair near me,,roof_repair,roof repair,planned_trade,near_me_uk,9900,HIGH,85,5.5687,3.8935,14.6187,near_me_query_under_uk_target,2026-09-03
tree surgeon,tree surgeon,tree surgeon,,tree_surgeon,tree surgeon,planned_trade,generic_uk,9900,MEDIUM,50,2.5661,1.8122,6.2956,generic_query_under_uk_target,2026-09-03
tree surgeon near me,tree surgeon near me,tree surgeon near me,,tree_surgeon,tree surgeon,planned_trade,near_me_uk,14800,HIGH,76,2.7990,1.3779,5.3505,near_me_query_under_uk_target,2026-09-03
pest control,pest control,pest control,,pest_control,pest control,urgent_trade,generic_uk,22200,HIGH,75,3.5241,1.7492,5.9507,generic_query_under_uk_target,2026-09-03
pest control near me,pest control near me,pest control near me,,pest_control,pest control,urgent_trade,near_me_uk,18100,HIGH,79,3.7425,1.5198,5.8609,near_me_query_under_uk_target,2026-09-03
house clearance,house clearance,house clearance,,house_clearance,house clearance,planned_trade,generic_uk,5400,MEDIUM,60,3.9442,0.9593,3.8091,generic_query_under_uk_target,2026-09-03
house clearance near me,house clearance near me,house clearance near me,,house_clearance,house clearance,planned_trade,near_me_uk,5400,HIGH,70,3.5838,0.9538,3.7685,near_me_query_under_uk_target,2026-09-03
removal company,removal company,removal company,,removal_company,removal company,planned_trade,generic_uk,2400,HIGH,72,7.1862,5.1741,9.2800,generic_query_under_uk_target,2026-09-03
removal company near me,removal company near me,removal company near me,,removal_company,removal company,planned_trade,near_me_uk,2400,MEDIUM,67,7.5238,4.6753,8.9649,near_me_query_under_uk_target,2026-09-03
skip hire,skip hire,skip hire,,skip_hire,skip hire,planned_trade,generic_uk,60500,MEDIUM,66,1.8830,0.4448,2.3934,generic_query_under_uk_target,2026-09-03
skip hire near me,skip hire near me,skip hire near me,,skip_hire,skip hire,planned_trade,near_me_uk,40500,HIGH,71,2.0864,0.4546,2.4871,near_me_query_under_uk_target,2026-09-03
solar panel installers,solar panel installers,solar panel installers,,solar_panel_installers,solar panel installers,high_ticket_home,generic_uk,1000,MEDIUM,54,8.8512,5.6512,18.2591,generic_query_under_uk_target,2026-09-03
solar panel installers near me,solar panel installers near me,solar panel installers near me,,solar_panel_installers,solar panel installers,high_ticket_home,near_me_uk,2900,HIGH,70,9.0958,5.7553,19.0880,near_me_query_under_uk_target,2026-09-03
ev charger installation,ev charger installation,ev charger installation,,ev_charger_installation,ev charger installation,high_ticket_home,generic_uk,18100,HIGH,91,3.9125,1.3930,4.1457,generic_query_under_uk_target,2026-09-03
ev charger installation near me,ev charger installation near me,ev charger installation near me,,ev_charger_installation,ev charger installation,high_ticket_home,near_me_uk,3600,HIGH,71,3.4304,1.5212,4.7397,near_me_query_under_uk_target,2026-09-03
air conditioning installation,air conditioning installation,air conditioning installation,,air_conditioning_installation,air conditioning installation,high_ticket_home,generic_uk,14800,HIGH,77,1.4316,0.3850,1.8721,generic_query_under_uk_target,2026-09-03
air conditioning installation near me,air conditioning installation near me,air conditioning installation near me,,air_conditioning_installation,air conditioning installation,high_ticket_home,near_me_uk,8100,HIGH,75,1.4681,0.5200,2.4538,near_me_query_under_uk_target,2026-09-03
asbestos survey,asbestos survey,asbestos survey,,asbestos_survey,asbestos survey,specialist_compliance,generic_uk,6600,MEDIUM,65,17.8560,3.7021,25.8080,generic_query_under_uk_target,2026-09-03
asbestos survey near me,asbestos survey near me,asbestos survey near me,,asbestos_survey,asbestos survey,specialist_compliance,near_me_uk,1000,MEDIUM,63,17.3241,3.5965,18.3992,near_me_query_under_uk_target,2026-09-03
fire risk assessment,fire risk assessment,fire risk assessment,,fire_risk_assessment,fire risk assessment,specialist_compliance,generic_uk,8100,HIGH,69,17.4413,4.2473,17.4000,generic_query_under_uk_target,2026-09-03
fire risk assessment near me,fire risk assessment near me,fire risk assessment near me,,fire_risk_assessment,fire risk assessment,specialist_compliance,near_me_uk,1300,HIGH,72,20.3279,5.9518,21.3648,near_me_query_under_uk_target,2026-09-03
commercial cleaning,commercial cleaning,commercial cleaning,,commercial_cleaning,commercial cleaning,b2b_recurring,generic_uk,2900,MEDIUM,45,5.6250,2.4519,12.6437,generic_query_under_uk_target,2026-09-03
commercial cleaning near me,commercial cleaning near me,commercial cleaning near me,,commercial_cleaning,commercial cleaning,b2b_recurring,near_me_uk,1000,MEDIUM,61,6.0452,3.1094,14.9785,near_me_query_under_uk_target,2026-09-03
garage door repair,garage door repair,garage door repair,,garage_door_repair,garage door repair,planned_trade,generic_uk,6600,MEDIUM,55,7.0877,1.5886,8.8163,generic_query_under_uk_target,2026-09-03
garage door repair near me,garage door repair near me,garage door repair near me,,garage_door_repair,garage door repair,planned_trade,near_me_uk,6600,HIGH,70,7.0167,1.3859,8.6742,near_me_query_under_uk_target,2026-09-03
emergency glazier,emergency glazier,emergency glazier,,emergency_glazier,emergency glazier,urgent_trade,generic_uk,390,MEDIUM,66,15.4027,2.1614,19.8847,generic_query_under_uk_target,2026-09-03
emergency glazier near me,emergency glazier near me,emergency glazier near me,,emergency_glazier,emergency glazier,urgent_trade,near_me_uk,320,HIGH,74,15.8743,2.1991,19.7906,near_me_query_under_uk_target,2026-09-03
