archetype,demand_legibility_20,repeat_potential_20,contribution_potential_15,geographic_portability_15,differentiation_10,operating_ease_10,trust_compliance_10,weighted_score_100,decision,rationale,evidence_coverage,confidence,first_test,largest_unknown
Interest-led regional event house with depth formats,5,4,5,4,4,3,4,85,recommended,Activity gives the event standalone purchase value while smaller related formats create relationship depth and repeat,demand_and_mechanism_only,medium,One six-event public-and-depth season in one city,Whether public-event customers buy a related smaller repeated format
Recurring activity cohort or season,4,5,4,4,4,3,4,82,strong_launch,Course league campaign or programme creates repeated exposure with bounded commitment and legible value,demand_and_mechanism_only,medium,One paid three-to-six-session cohort with attendance tracked,Whether customers value repeat contact enough to commit before the first session
Vertical activity network plus supplier tools,4,5,4,5,4,2,3,81,later_or_funded,Powerful workflow and network effects after one activity has enough venue host and participant density,mechanism_only,low,Run the workflow manually with five active suppliers in one vertical,Whether supplier pain and local participant density coexist in the same market
Touring intellectual events and media,4,4,4,5,3,3,4,79,strong_launch,One programme can serve larger rooms tour and become digital IP but speaker and editorial quality are concentrated risks,demand_operator_and_scenario,medium,Repeat one programme in two regional rooms with rights agreed,Whether demand belongs to the programme brand or an individual speaker
Regional hosted friendship dining 35-65,4,4,4,4,4,3,4,78,depth_format,Clear underserved life-stage need and good relationship production but dinner should not carry every acquisition and margin job,demand_and_operator_terms,medium,Four paid tables with a stated life-stage promise,Whether repeat and contribution survive small room capacity and host cost
Metro algorithmic friendship subscription,4,5,4,4,3,2,3,76,later,Strong habit and scale potential but needs density inventory and substantial operations before unlimited access,demand_and_operator_mechanism,low_medium,Concierge assignment and capped paid access before software,Whether one city can sustain reliable inventory and upper-utilisation economics
Large singles mixer brand,5,3,4,4,3,2,2,70,selective,Legible paid intent and event revenue with balance conduct and one-off acquisition risk,demand_and_operator_mechanism,medium,Two repeated events with balance no-show and rebooking measured,Whether repeated acquisition and participant balance remain economical
Multi-category local discovery app,5,3,3,5,2,1,3,68,funded_or_distribution,Large consumer job and several organiser revenue lines but two-sided inventory attribution and frequency are demanding,demand_and_mechanism_only,low,Concierge one narrow category and measure incremental attended bookings,Whether the product creates incremental demand rather than redistributing platform traffic
Dating app plus IRL events,5,4,4,2,2,1,2,64,incumbent_fit,Powerful when attached to an existing identity and payments graph but two cold starts for a new company,incumbent_mechanism_only,low,Reject as launch unless an existing identity graph is available,Whether a new entrant can fund both identity liquidity and physical operations
Open social-event marketplace,4,2,3,5,1,2,2,58,reject_as_launch,Portable user-generated supply but weak differentiation and limited control of connection quality,demand_and_mechanism_only,low,Do not build before one owned format proves organiser workflow,Whether any controlled quality or defensible demand asset exists
