priority_band,opportunity,scope,query,average_monthly_searches,average_cpc_gbp,high_top_of_page_gbp,demand_score_1_to_5,cpc_signal_1_to_5,buyer_value_1_to_5,organic_fit_1_to_5,platform_safety_1_to_5,operating_simplicity_1_to_5,durability_1_to_5,rank_and_rent_fit_1_to_5,total_out_of_40,recommended_model,decision,principal_caveat,evidence_class
3,Commercial cleaning,Edinburgh,commercial cleaning Edinburgh,2900,14.3222,20.0880,2,1,5,4,4,3,5,5,29,Hybrid base plus qualified appointment,Pause for query-quality verification,The explicit phrase is dominated by an April 2026 spike while the local-geo priority basket returns only 90 searches and no average CPC; the supplier thesis survives but the search-demand thesis does not yet,inference
1,Fire risk assessment,Manchester,fire risk assessment Manchester,260,27.1084,19.3003,3,5,4,4,4,3,5,5,33,Qualified appointment or territory hybrid,Validate first,Only competent assessors should fulfil work; some responsible persons can assess themselves,inference
1,Boiler installation,Edinburgh,boiler installation Edinburgh,880,16.0379,38.7994,4,4,5,3,3,2,4,5,30,Accepted lead plus later tenant floor,Validate first,Gas work requires a suitably qualified Gas Safe registered engineer and local reputation matters,inference
1,Drain unblocking,Bristol,drain unblocking Bristol,590,16.0945,22.7364,4,4,3,3,3,2,5,5,29,Pay per qualified call with caps,Validate first,Response speed and call handling are part of the product; local pack competition is material,inference
2,Loft conversion,Bristol,loft conversion Bristol,590,24.0637,34.7078,4,5,5,3,4,2,4,4,31,Accepted design consultation or hybrid,Buyer validation before build,Long consideration cycle and planning complexity; attribution needs a long window,inference
2,Self storage,Manchester,self storage Manchester,3600,16.9008,16.1245,5,4,5,2,4,4,5,2,31,Availability affiliate or booking revenue share,Build only with inventory access,Powerful demand but the natural product is availability and price comparison rather than rented lead pages,inference
2,Spray foam removal,United Kingdom,spray foam removal,1600,26.0610,25.2470,5,5,4,4,4,2,2,4,30,Regional accepted lead or booked survey,Monitor then test,High national demand and CPC may reflect a time-bounded remediation wave; city-modified volume is sparse,inference
2,Asbestos survey,Manchester,asbestos survey Manchester,170,24.6552,58.2068,2,5,3,4,4,2,5,4,29,Verified-assessor quote or appointment,Partner first,HSE recommends technically competent surveyors and strongly recommends accredited organisations; survey and removal conflicts need care,inference
2,Garage door repair,Nottingham,garage door repair Nottingham,210,7.5167,8.4757,3,3,3,4,4,4,4,5,30,Qualified call or territory hybrid,Lean test,Smaller revenue per job and established local operators cap lead value,inference
2,House clearance,Newcastle,house clearance Newcastle,590,5.1031,4.4982,4,2,3,4,4,3,4,5,29,Photo-qualified accepted lead,Lean test,Waste-carrier status and disposal route must be checked; values vary sharply with volume and resale,inference
2,Resin driveways,Southampton,resin driveways Southampton,170,21.4423,21.2582,2,5,5,3,4,2,3,4,28,Booked survey or accepted lead,Buyer validation before build,High ticket but project frequency and seasonality can create lumpy cohorts,inference
2,Roof repair,Bristol,roof repair Bristol,590,8.6181,15.3348,4,3,4,3,3,2,4,5,28,Qualified call or survey,Secondary test,Urgency mix and inspection requirements make lead disputes likely without strong qualification,inference
3,Emergency plumber,Reading,emergency plumber Reading,320,24.3616,34.6589,3,5,3,2,3,1,5,5,27,Pay per connected qualified call,Only with live buyer,High CPC and urgency punish missed calls; Google Business Profile and review signals are central,inference
3,Tree surgeon,Bristol,tree surgeon Bristol,720,3.4197,7.2538,4,2,4,3,3,2,4,5,27,Photo-qualified survey lead,Secondary test,CPC signal is modest and work can be seasonal or permission-sensitive,inference
3,Skip hire,Birmingham,skip hire Birmingham,5400,2.4222,2.3772,5,1,3,2,4,4,5,2,26,Booking affiliate or inventory revenue share,Do not use classic tenancy,Large demand but low auction value and live inventory logistics favour marketplaces and operators,inference
