city,family,format,submitted_keyword,grouped_submitted_keywords,returned_keyword,close_variants,average_monthly_searches,competition,competition_index,average_cpc_gbp,low_top_of_page_gbp,high_top_of_page_gbp,monthly_search_volumes,geography_method,observed_at
London,Competitive experiences,Darts,darts near me,darts near me,darts near me,,3600,MEDIUM,43,0.3051,0.2898,1.0524,2025-august:3600|2025-september:2900|2025-october:4400|2025-november:4400|2025-december:4400|2026-january:6600|2026-february:4400|2026-march:4400|2026-april:3600|2026-may:2900|2026-june:2400|2026-july:2400,generic_query_inside_local_geo_target,2026-09-03
London,Performance and dance,Line dancing,line dancing near me,line dancing near me,line dancing near me,,590,LOW,20,2.9928,0.4273,3.9733,2025-august:720|2025-september:1000|2025-october:720|2025-november:480|2025-december:390|2026-january:590|2026-february:480|2026-march:720|2026-april:480|2026-may:480|2026-june:390|2026-july:480,generic_query_inside_local_geo_target,2026-09-03
London,Performance and dance,Salsa classes,salsa classes near me,salsa classes near me,salsa classes near me,,590,MEDIUM,44,0.7677,0.2881,0.9912,2025-august:720|2025-september:590|2025-october:590|2025-november:480|2025-december:480|2026-january:720|2026-february:720|2026-march:590|2026-april:480|2026-may:390|2026-june:390|2026-july:480,generic_query_inside_local_geo_target,2026-09-03
London,Tabletop and games,Board-game cafes,board game cafe near me,board game cafe near me,board game cafe near me,,2400,MEDIUM,35,0.2151,0.3677,1.6213,2025-august:2400|2025-september:2400|2025-october:2900|2025-november:2400|2025-december:1900|2026-january:3600|2026-february:2400|2026-march:2400|2026-april:1900|2026-may:1900|2026-june:1600|2026-july:1600,generic_query_inside_local_geo_target,2026-09-03
London,Craft and making,Pottery painting,pottery painting near me,pottery painting near me,pottery painting near me,,4400,MEDIUM,34,0.5730,0.3740,1.3921,2025-august:5400|2025-september:4400|2025-october:5400|2025-november:4400|2025-december:2900|2026-january:5400|2026-february:6600|2026-march:5400|2026-april:3600|2026-may:2900|2026-june:2900|2026-july:4400,generic_query_inside_local_geo_target,2026-09-03
London,Craft and making,Pottery classes,pottery classes near me,pottery classes near me,pottery classes near me,,1600,HIGH,100,0.7953,0.4020,0.8782,2025-august:1900|2025-september:1900|2025-october:1900|2025-november:1600|2025-december:1600|2026-january:2400|2026-february:1900|2026-march:1900|2026-april:1600|2026-may:1300|2026-june:1300|2026-july:1000,generic_query_inside_local_geo_target,2026-09-03
London,Tabletop and games,Dungeons & Dragons,dungeons and dragons near me,dungeons and dragons near me,dungeons and dragons near me,,260,LOW,19,0.1706,0.0000,0.0000,2025-august:210|2025-september:260|2025-october:260|2025-november:260|2025-december:260|2026-january:320|2026-february:260|2026-march:210|2026-april:210|2026-may:210|2026-june:170|2026-july:210,generic_query_inside_local_geo_target,2026-09-03
London,Craft and making,Sewing classes,sewing classes near me,sewing classes near me,sewing classes near me,,720,HIGH,99,0.5498,0.2136,0.7814,2025-august:880|2025-september:1000|2025-october:720|2025-november:590|2025-december:590|2026-january:880|2026-february:590|2026-march:590|2026-april:590|2026-may:590|2026-june:590|2026-july:720,generic_query_inside_local_geo_target,2026-09-03
London,Food and drink,Wine tasting,wine tasting near me,wine tasting near me,wine tasting near me,,720,HIGH,100,0.7771,0.4266,1.1383,2025-august:1300|2025-september:1000|2025-october:880|2025-november:720|2025-december:590|2026-january:720|2026-february:720|2026-march:880|2026-april:590|2026-may:590|2026-june:720|2026-july:720,generic_query_inside_local_geo_target,2026-09-03
London,Performance and dance,Acting classes,acting classes near me,acting classes near me,acting classes near me,,390,MEDIUM,65,2.4008,0.8554,2.4779,2025-august:480|2025-september:590|2025-october:480|2025-november:390|2025-december:390|2026-january:590|2026-february:390|2026-march:390|2026-april:320|2026-may:260|2026-june:260|2026-july:320,generic_query_inside_local_geo_target,2026-09-03
London,Tabletop and games,Quiz nights,quiz night near me,quiz night near me,quiz night near me,,210,LOW,7,0.9391,0.0000,0.0000,2025-august:320|2025-september:260|2025-october:320|2025-november:210|2025-december:170|2026-january:210|2026-february:260|2026-march:210|2026-april:260|2026-may:170|2026-june:140|2026-july:110,generic_query_inside_local_geo_target,2026-09-03
London,Racket and team sport,Volleyball,volleyball clubs near me,volleyball clubs near me,volleyball clubs near me,,590,LOW,9,0.4558,0.1432,0.9902,2025-august:590|2025-september:880|2025-october:720|2025-november:720|2025-december:480|2026-january:880|2026-february:590|2026-march:720|2026-april:590|2026-may:480|2026-june:480|2026-july:480,generic_query_inside_local_geo_target,2026-09-03
London,Racket and team sport,Netball,netball clubs near me,netball clubs near me,netball clubs near me,,390,MEDIUM,34,1.7744,0.4577,1.1203,2025-august:320|2025-september:720|2025-october:720|2025-november:480|2025-december:260|2026-january:880|2026-february:320|2026-march:480|2026-april:320|2026-may:260|2026-june:260|2026-july:260,generic_query_inside_local_geo_target,2026-09-03
London,Outdoor and endurance,Running clubs,running clubs near me,running clubs near me,running clubs near me,,590,LOW,22,1.8143,0.5228,1.5100,2025-august:720|2025-september:720|2025-october:590|2025-november:480|2025-december:390|2026-january:590|2026-february:480|2026-march:480|2026-april:590|2026-may:590|2026-june:390|2026-july:480,generic_query_inside_local_geo_target,2026-09-03
London,Tabletop and games,Chess clubs,chess club near me,chess club near me,chess club near me,,480,LOW,11,0.5296,0.5767,1.7240,2025-august:590|2025-september:720|2025-october:590|2025-november:480|2025-december:480|2026-january:590|2026-february:480|2026-march:390|2026-april:480|2026-may:480|2026-june:390|2026-july:390,generic_query_inside_local_geo_target,2026-09-03
London,"Wellness, spa and retreats",Yoga retreats,yoga retreat near me,yoga retreat near me,yoga retreat near me,,70,MEDIUM,49,1.0298,0.3476,1.7611,2025-august:90|2025-september:90|2025-october:70|2025-november:110|2025-december:50|2026-january:70|2026-february:70|2026-march:70|2026-april:70|2026-may:70|2026-june:50|2026-july:50,generic_query_inside_local_geo_target,2026-09-03
London,Racket and team sport,Padel,padel near me,padel near me,padel near me,,12100,LOW,27,0.2758,0.2666,0.8278,2025-august:14800|2025-september:12100|2025-october:9900|2025-november:8100|2025-december:6600|2026-january:12100|2026-february:9900|2026-march:12100|2026-april:14800|2026-may:14800|2026-june:12100|2026-july:12100,generic_query_inside_local_geo_target,2026-09-03
