claim_id,subject_type,subject_name,field,value,unit,evidence_class,source_type,source_name,source_url,observed_at,geography,method,limitations
PE01,market,UK affiliate market,annual investment,1.8,GBP billion,observed,industry report,APMA State of the Affiliate Nation 2026,https://theapma.co.uk/download/9188/?tmstv=1777836706,2026-09-03,United Kingdom,network and platform submissions with modelling,Direct deals and several lead generation programmes are mostly excluded
PE02,market,UK affiliate market,tracked advertiser revenue,20.7,GBP billion,observed,industry report,APMA State of the Affiliate Nation 2026,https://theapma.co.uk/download/9188/?tmstv=1777836706,2026-09-03,United Kingdom,network and platform submissions with modelling,Tracked advertiser revenue is not publisher income
PE03,market,UK affiliate market,transactions,357,million,observed,industry report,APMA State of the Affiliate Nation 2026,https://theapma.co.uk/download/9188/?tmstv=1777836706,2026-09-03,United Kingdom,network and platform submissions with modelling,Includes mature programmes across many verticals
PE04,market,UK affiliate market,clicks,14.8,billion,observed,industry report,APMA State of the Affiliate Nation 2026,https://theapma.co.uk/download/9188/?tmstv=1777836706,2026-09-03,United Kingdom,network and platform submissions with modelling,Click definition may vary across contributors
PE05,payment model,CPA,share of affiliate investment,81,percent,observed,industry report,APMA State of the Affiliate Nation 2026,https://theapma.co.uk/download/9188/?tmstv=1777836706,2026-09-03,United Kingdom,reported 2025 investment mix,Rounding applies and excluded programmes limit census coverage
PE06,payment model,tenancy,share of affiliate investment,13,percent,observed,industry report,APMA State of the Affiliate Nation 2026,https://theapma.co.uk/download/9188/?tmstv=1777836706,2026-09-03,United Kingdom,reported 2025 investment mix,Does not reveal rates available to a new publisher
PE07,payment model,CPL,share of affiliate investment,3,percent,observed,industry report,APMA State of the Affiliate Nation 2026,https://theapma.co.uk/download/9188/?tmstv=1777836706,2026-09-03,United Kingdom,reported 2025 investment mix,Some lead generation programmes are excluded from market measurement
PE08,payment model,other,share of affiliate investment,2,percent,observed,industry report,APMA State of the Affiliate Nation 2026,https://theapma.co.uk/download/9188/?tmstv=1777836706,2026-09-03,United Kingdom,reported 2025 investment mix,Combines assisted commissions CPC and service or technology fees
PE09,payment model,tenancy,year on year investment growth,18,percent,observed,industry report,APMA State of the Affiliate Nation 2026,https://theapma.co.uk/download/9188/?tmstv=1777836706,2026-09-03,United Kingdom,reported 2025 change,Market growth does not predict a new publisher rate
PE10,publisher type,content publishers,share of affiliate investment,21,percent,observed,industry report,APMA State of the Affiliate Nation 2026,https://theapma.co.uk/download/9188/?tmstv=1777836706,2026-09-03,United Kingdom,reported 2025 spend distribution,Category spans many publisher sizes and verticals
PE11,publisher type,price comparison websites,share of affiliate investment,10,percent,observed,industry report,APMA State of the Affiliate Nation 2026,https://theapma.co.uk/download/9188/?tmstv=1777836706,2026-09-03,United Kingdom,reported 2025 spend distribution,Does not isolate physical product comparison
PE12,publisher type,subnetworks and aggregators,share of affiliate investment,7,percent,observed,industry report,APMA State of the Affiliate Nation 2026,https://theapma.co.uk/download/9188/?tmstv=1777836706,2026-09-03,United Kingdom,reported 2025 spend distribution,Category definition is broader than the proposed product aggregator
PE13,publisher preference,CPC,current and preferred prevalence,28 current; 42 preferred,percent,observed,survey report,impact.com State of Affiliate Marketing 2025,https://impact.com/downloads/research-reports/state-of-affiliate-marketing-report-1125.pdf,2026-09-03,International including United Kingdom,survey of 284 publishers with multiple selections,Not a UK only sample and stated preference is not contracted revenue
PE14,publisher preference,fixed fee,current and preferred prevalence,30 current; 36 preferred,percent,observed,survey report,impact.com State of Affiliate Marketing 2025,https://impact.com/downloads/research-reports/state-of-affiliate-marketing-report-1125.pdf,2026-09-03,International including United Kingdom,survey of 284 publishers with multiple selections,Not a UK only sample and categories may overlap
PE15,publisher preference,CPS,current and preferred prevalence,44 current; 35 preferred,percent,observed,survey report,impact.com State of Affiliate Marketing 2025,https://impact.com/downloads/research-reports/state-of-affiliate-marketing-report-1125.pdf,2026-09-03,International including United Kingdom,survey of 284 publishers with multiple selections,Not a UK only sample and categories may overlap
PE16,publisher trend,fixed fees and paid placements,publishers reporting growth,44,percent,observed,survey report,impact.com State of Affiliate Marketing 2025,https://impact.com/research-reports/state-of-affiliate-marketing/,2026-09-03,International including United Kingdom,publisher survey,Self reported and not a measure of revenue share
PE17,comparison platform,idealo Home and Garden,merchant outbound CPC,0.35,GBP per valid outbound click,observed,platform pricing,idealo UK merchant pricing,https://partner.idealo.com/partner-idealo-com/uk/pricing,2026-09-03,United Kingdom,published current rate,Established platform pricing is not a rate available to a startup
PE18,public company,MONY Group,provider services revenue growth,13,percent,observed,annual report,MONY Group Annual Report 2025,https://www.monygroup.com/application/files/3417/7304/3833/MONY-Group-plc-Annual-Report-2025.pdf,2026-09-03,United Kingdom,company reporting,Mature regulated comparison economics are not directly transferable
PE19,public company,Auto Trader,average revenue per retailer,2995,GBP per month,observed,annual results,Auto Trader FY26 results,https://plc.autotrader.co.uk/media/etud5vca/full-year-press-release-fy26.pdf,2026-09-03,United Kingdom,company reported average across 13942 forecourts,Automotive network density and scale are not startup benchmarks
PE20,practitioner case,StackCommerce and electronics retailer,assisted value identified,more than 20,percent,observed,public interview and case writeup,Awin content value analysis,https://www.awin.com/us/sector-insights/content-value-affiliate,2026-09-03,United States,partner case analysis,Single commercially selected case and not a general benchmark
PE21,practitioner statement,Genie Shopping,payment time outside travel,around 100,days,observed,public panel summary,APMA affiliate payments webinar,https://theapma.co.uk/apma-webinar-summary-fixing-affiliate-payments-to-unlock-growth/,2026-09-03,United Kingdom,practitioner panel statement,Not an audited industry average
PE22,revenue architecture,launch recommendation,retail products,CPA or CPS,model,inference,synthesis,Product aggregator research series,../../../docs/product-aggregator-2026/13-revenue-architecture-cpa-cpc-cpl-tenancy-and-beyond.md,2026-09-03,United Kingdom,derived from purchase path and market evidence,Requires merchant interviews terms and live conversion data
PE23,revenue architecture,launch recommendation,installed projects,CPL or outcome fee,model,inference,synthesis,Product aggregator research series,../../../docs/product-aggregator-2026/13-revenue-architecture-cpa-cpc-cpl-tenancy-and-beyond.md,2026-09-03,United Kingdom,derived from project purchase path,Requires installer interviews lead acceptance rules and live funnel data
