cluster_id,city,local_geo_weighted_average_cpc_gbp,scenario,assumed_click_to_enquiry_rate,assumed_enquiry_acceptance_rate,derived_click_to_accepted_lead_rate,derived_paid_cost_per_accepted_lead_gbp,assumed_buyer_close_rate_from_accepted_lead,derived_paid_media_cost_per_won_job_gbp,interpretation,evidence_class,observed_at
edinburgh_commercial_cleaning,Edinburgh,0,weak funnel,0.05,0.6,0.03,,0.2,,not calculable because Google Ads reported no average CPC for this sparse local-geo basket; bid ranges still show some auction activity,scenario arithmetic using observed CPC and explicit assumptions,2026-09-03
edinburgh_commercial_cleaning,Edinburgh,0,base funnel,0.1,0.7,0.07,,0.2,,not calculable because Google Ads reported no average CPC for this sparse local-geo basket; bid ranges still show some auction activity,scenario arithmetic using observed CPC and explicit assumptions,2026-09-03
edinburgh_commercial_cleaning,Edinburgh,0,strong funnel,0.2,0.8,0.16,,0.2,,not calculable because Google Ads reported no average CPC for this sparse local-geo basket; bid ranges still show some auction activity,scenario arithmetic using observed CPC and explicit assumptions,2026-09-03
manchester_fire_risk_assessment,Manchester,11.5699,weak funnel,0.05,0.6,0.03,385.66,0.2,1928.32,"break-even acquisition sensitivity before staff, call handling, credits, overhead, tax and profit; not a forecast",scenario arithmetic using observed CPC and explicit assumptions,2026-09-03
manchester_fire_risk_assessment,Manchester,11.5699,base funnel,0.1,0.7,0.07,165.28,0.2,826.42,"break-even acquisition sensitivity before staff, call handling, credits, overhead, tax and profit; not a forecast",scenario arithmetic using observed CPC and explicit assumptions,2026-09-03
manchester_fire_risk_assessment,Manchester,11.5699,strong funnel,0.2,0.8,0.16,72.31,0.2,361.56,"break-even acquisition sensitivity before staff, call handling, credits, overhead, tax and profit; not a forecast",scenario arithmetic using observed CPC and explicit assumptions,2026-09-03
manchester_asbestos_survey,Manchester,16.2303,weak funnel,0.05,0.6,0.03,541.01,0.2,2705.05,"break-even acquisition sensitivity before staff, call handling, credits, overhead, tax and profit; not a forecast",scenario arithmetic using observed CPC and explicit assumptions,2026-09-03
manchester_asbestos_survey,Manchester,16.2303,base funnel,0.1,0.7,0.07,231.86,0.2,1159.31,"break-even acquisition sensitivity before staff, call handling, credits, overhead, tax and profit; not a forecast",scenario arithmetic using observed CPC and explicit assumptions,2026-09-03
manchester_asbestos_survey,Manchester,16.2303,strong funnel,0.2,0.8,0.16,101.44,0.2,507.2,"break-even acquisition sensitivity before staff, call handling, credits, overhead, tax and profit; not a forecast",scenario arithmetic using observed CPC and explicit assumptions,2026-09-03
bristol_drain_unblocking,Bristol,8.3359,weak funnel,0.05,0.6,0.03,277.86,0.2,1389.32,"break-even acquisition sensitivity before staff, call handling, credits, overhead, tax and profit; not a forecast",scenario arithmetic using observed CPC and explicit assumptions,2026-09-03
bristol_drain_unblocking,Bristol,8.3359,base funnel,0.1,0.7,0.07,119.08,0.2,595.42,"break-even acquisition sensitivity before staff, call handling, credits, overhead, tax and profit; not a forecast",scenario arithmetic using observed CPC and explicit assumptions,2026-09-03
bristol_drain_unblocking,Bristol,8.3359,strong funnel,0.2,0.8,0.16,52.1,0.2,260.5,"break-even acquisition sensitivity before staff, call handling, credits, overhead, tax and profit; not a forecast",scenario arithmetic using observed CPC and explicit assumptions,2026-09-03
bristol_loft_conversion,Bristol,7.2096,weak funnel,0.05,0.6,0.03,240.32,0.2,1201.6,"break-even acquisition sensitivity before staff, call handling, credits, overhead, tax and profit; not a forecast",scenario arithmetic using observed CPC and explicit assumptions,2026-09-03
bristol_loft_conversion,Bristol,7.2096,base funnel,0.1,0.7,0.07,102.99,0.2,514.97,"break-even acquisition sensitivity before staff, call handling, credits, overhead, tax and profit; not a forecast",scenario arithmetic using observed CPC and explicit assumptions,2026-09-03
bristol_loft_conversion,Bristol,7.2096,strong funnel,0.2,0.8,0.16,45.06,0.2,225.3,"break-even acquisition sensitivity before staff, call handling, credits, overhead, tax and profit; not a forecast",scenario arithmetic using observed CPC and explicit assumptions,2026-09-03
edinburgh_boiler_installation,Edinburgh,16.8885,weak funnel,0.05,0.6,0.03,562.95,0.2,2814.75,"break-even acquisition sensitivity before staff, call handling, credits, overhead, tax and profit; not a forecast",scenario arithmetic using observed CPC and explicit assumptions,2026-09-03
edinburgh_boiler_installation,Edinburgh,16.8885,base funnel,0.1,0.7,0.07,241.26,0.2,1206.32,"break-even acquisition sensitivity before staff, call handling, credits, overhead, tax and profit; not a forecast",scenario arithmetic using observed CPC and explicit assumptions,2026-09-03
edinburgh_boiler_installation,Edinburgh,16.8885,strong funnel,0.2,0.8,0.16,105.55,0.2,527.77,"break-even acquisition sensitivity before staff, call handling, credits, overhead, tax and profit; not a forecast",scenario arithmetic using observed CPC and explicit assumptions,2026-09-03
nottingham_garage_door_repair,Nottingham,5.944,weak funnel,0.05,0.6,0.03,198.13,0.2,990.67,"break-even acquisition sensitivity before staff, call handling, credits, overhead, tax and profit; not a forecast",scenario arithmetic using observed CPC and explicit assumptions,2026-09-03
nottingham_garage_door_repair,Nottingham,5.944,base funnel,0.1,0.7,0.07,84.91,0.2,424.57,"break-even acquisition sensitivity before staff, call handling, credits, overhead, tax and profit; not a forecast",scenario arithmetic using observed CPC and explicit assumptions,2026-09-03
nottingham_garage_door_repair,Nottingham,5.944,strong funnel,0.2,0.8,0.16,37.15,0.2,185.75,"break-even acquisition sensitivity before staff, call handling, credits, overhead, tax and profit; not a forecast",scenario arithmetic using observed CPC and explicit assumptions,2026-09-03
