source_id,source_name,source_type,url,observed_at,status,supports,limitations
S01,Google Ads Generate Historical Metrics,official-documentation,https://developers.google.com/google-ads/api/docs/keyword-planning/generate-historical-metrics,2026-09-03,live-primary,Meaning and method of historical keyword metrics,Does not publish this project's account-specific results
S02,Navimow UK affiliate programme,merchant-programme,https://uk.navimow.com/pages/affiliate-program,2026-09-03,live-primary,5 percent plus commission 1000 GBP plus AOV and 30-day cookie,Programme acceptance and detailed PPC terms require confirmation
S03,Pro-Line Direct Awin profile,merchant-programme,https://ui.awin.com/merchant-profile/122698,2026-09-03,live-primary,High-ticket wellness range and 2000 to 5000 GBP average order,Commission rate not disclosed on accessible profile
S04,Steam and Oak Awin profile,merchant-programme,https://ui.awin.com/merchant-profile/124894,2026-09-03,live-primary,Outdoor wellness categories 5 percent commission and 30-day cookie,AOV not disclosed
S05,Tuin Awin profile,merchant-programme,https://ui.awin.com/merchant-profile/114092,2026-09-03,live-primary,Log cabins and garden buildings with minimum 1 percent commission and 30-day cookie,AOV and feed access not established
S06,Aura Awnings 2026 price guide,merchant-pricing,https://auraawnings.com/knowledge-hub/how-much-does-a-garden-awning-cost,2026-09-03,live-primary,Installed made-to-measure awning price bands,Single supplier's own prices not a market average
S07,One Garden Awin profile,merchant-programme,https://ui.awin.com/merchant-profile/109432,2026-09-03,live-primary,2025 AOV 314 GBP and commission terms,Shows general garden AOV can be below the target
S08,Waltons Awin terms,merchant-programme,https://ui.awin.com/merchant-profile-terms/3314,2026-09-03,live-primary,Garden building range 1.5 percent commission and 30-day cookie,Orders placed through finance excluded
S09,Home Leisure Direct Awin profile,merchant-programme,https://ui.awin.com/merchant-profile/22809,2026-09-03,live-primary,1400 GBP AOV 5 percent commission 30-day cookie and range,Merchant-reported figures; programme acceptance required
S10,Home Leisure Direct Awin terms,merchant-terms,https://ui.awin.com/merchant-profile-terms/22809,2026-09-03,live-primary,PPC restrictions validation and content conditions,Terms can change and require review before acquisition spend
S11,Liberty Games Awin profile,merchant-programme,https://ui.awin.com/merchant-profile/7567,2026-09-03,live-primary,Second games-room merchant programme and category breadth,Commission and AOV not disclosed on accessible profile
S12,Games Room Company,competitor-retailer,https://www.gamesroomcompany.com/,2026-09-03,live-primary,Premium games-room product and service breadth,No affiliate economics established
S13,Kiln Crafts Awin profile,merchant-programme,https://ui.awin.com/merchant-profile/117821?setLocale=en_US,2026-09-03,live-primary,Specialist maker programme and creator audience,Commission rate not publicly disclosed
S14,Kiln Crafts pottery wheels,merchant-pricing,https://www.kilncrafts.co.uk/collections/pottery-wheels,2026-09-03,live-primary,1199 GBP entry package and higher studio-wheel prices,Retailer prices can change
S15,Kiln Crafts complete studio bundle,merchant-pricing,https://www.kilncrafts.co.uk/products/nabertherm-top-45-kiln-and-gladstone-bailey-pottery-wheel,2026-09-03,live-primary,4833 GBP kiln and wheel bundle,Retailer price can change
S16,Hot Clay pottery kilns,merchant-pricing,https://www.hot-clay.com/collections/pottery-kilns,2026-09-03,live-primary,Multiple kiln brands and high-ticket category pricing,One retailer's live assortment
S17,Machine Mart affiliate programme,merchant-programme,https://www.machinemart.co.uk/affiliates/,2026-09-03,live-primary,21000 products AOV above 100 GBP 2 percent commission and 30-day cookie,Whole-site AOV does not prove high AOV for every target machine
S18,The Pottery People wheel guide,competitor-content,https://thepotterypeople.co.uk/blogs/pottery-guides/best-pottery-wheels-2026-guide-uk,2026-09-03,live-primary,Existing retailer comparison tool in pottery wheels,Retailer-owned comparison may favour its assortment
S19,Mini Diggers listing plans,competitor-marketplace,https://www.mini-diggers.co.uk/select-your-plan/,2026-09-03,live-primary,Private and dealer listing monetisation in machinery,Does not disclose marketplace transaction volume
S20,Awin product-feed publisher guide,platform-documentation,https://help.awin.com/developers/docs/product-feed-publisher-guide-intro,2026-09-03,live-primary,Available feed fields update timestamps and price-comparison use,Feed access depends on advertiser relationship and permissions
S21,Awin publisher API index,platform-documentation,https://help.awin.com/apidocs/for-publishers,2026-09-03,live-primary,Programme transaction offer and enhanced-feed API surfaces,Authentication and programme membership required
S22,Awin feed management guidance,platform-documentation,https://help.awin.com/developers/docs/en/managing-your-feed,2026-09-03,live-primary,At-least-daily feed refresh recommendation and product identity behaviour,Written for advertisers but operational lesson applies to publishers
S23,Google Search spam policies,official-documentation,https://developers.google.com/search/docs/essentials/spam-policies,2026-09-03,live-primary,Thin-affiliate definition and examples of added value,Search guidance can change
S24,Google Product structured data,official-documentation,https://developers.google.com/search/docs/appearance/structured-data/product,2026-09-03,live-primary,Product snippet versus merchant listing distinction,Eligibility does not guarantee display
S25,Google Product snippet structured data,official-documentation,https://developers.google.com/search/docs/appearance/structured-data/product-snippet,2026-09-03,live-primary,AggregateOffer and editorial review markup,Eligibility does not guarantee display
S26,ASA CAP affiliate-marketing guidance,regulator-guidance,https://www.asa.org.uk/advice-online/affiliate-marketing.html,2026-09-03,live-primary,Upfront identification of affiliate advertising,Guidance is not a substitute for legal advice
S27,CMA fake-review publisher guide,regulator-guidance,https://www.gov.uk/government/publications/fake-reviews/short-guide-for-businesses-publishing-consumer-reviews-and-complying-with-consumer-protection-law,2026-09-03,live-primary,Responsibilities of publishers of reviews and aggregate review information,Proportionate controls depend on platform design and volume
S28,CMA unfair-commercial-practices guidance,regulator-guidance,https://www.gov.uk/government/publications/unfair-commercial-practices-cma207/unfair-commercial-practices,2026-09-03,live-primary,DMCC Act application from 6 April 2025 fake-review and drip-pricing rules,Guidance is not a substitute for legal advice
S29,ICO storage and access technologies guidance announcement,regulator-guidance,https://ico.org.uk/about-the-ico/media-centre/news-and-blogs/2026/04/final-storage-and-access-technologies-guidance-published/,2026-09-03,live-primary,Current PECR and UK GDPR tracking scope and final 2026 guidance,Implementation needs review against the full guidance and actual tracker stack
S30,Google affiliate-link tagging guidance,official-documentation,https://developers.google.com/search/blog/2021/07/link-tagging-and-link-spam-update,2026-09-03,live-primary,Use of rel sponsored for affiliate and paid links,Search guidance can change
S31,Google merchant-listing structured data,official-documentation,https://developers.google.com/search/docs/appearance/structured-data/merchant-listing,2026-09-03,live-primary,Merchant listing eligibility and seller-page requirements,Eligibility does not guarantee display and publisher pages may not qualify
S32,Selections affiliate programme,merchant-programme,https://ui.awin.com/merchant-profile/5868,2026-09-03,live-primary,Low whole-site AOV evidence for generic garden retail,Merchant-authored and subject to programme changes
S33,Kiln Crafts kiln buying guide,retailer-guide,https://www.kilncrafts.co.uk/pages/the-complete-kiln-buying-guide,2026-09-03,live-primary,Electrical capacity placement ventilation and firing considerations,Retailer-authored advice is commercially interested
S34,Kiln Crafts Aurora kiln listing,retailer-product,https://www.kilncrafts.co.uk/products/potterycrafts-aurora-40l-top-loading-kiln,2026-09-03,live-primary,Representative live kiln price and specifications,Single observed listing is not category AOV
S35,APMA State of the Affiliate Nation 2026 report,industry-report,https://theapma.co.uk/download/9188/?tmstv=1777836706,2026-09-03,live-primary,UK affiliate market size publisher mix payment mix and survey findings,Trade body research uses modelling and excludes some direct and lead generation activity
S36,APMA State of the Affiliate Nation 2026 findings,industry-report-summary,https://theapma.co.uk/uk-affiliate-and-partner-marketing-spend-surges-to-1-8bn-as-brands-invest-in-tried-and-tested-performance-channels/,2026-09-03,live-primary,Headline UK investment revenue transactions clicks and growth,Summary cannot replace the report methodology
S37,APMA State of the Affiliate Nation hub,industry-report-hub,https://theapma.co.uk/state-of-the-affiliate-nation-hub-non-member/,2026-09-03,live-primary,Public report access and related resources,Trade body funded by industry participants
S38,impact.com State of Affiliate Marketing 2025,industry-report,https://impact.com/downloads/research-reports/state-of-affiliate-marketing-report-1125.pdf,2026-09-03,live-primary,Publisher current and preferred compensation models,International sample is not UK only and permits multiple selections
S39,impact.com State of Affiliate Marketing landing page,industry-report-summary,https://impact.com/research-reports/state-of-affiliate-marketing/,2026-09-03,live-primary,Survey sample and income diversification findings,Platform-authored interpretation of its research
S40,APMA State of Affiliate Nation webinar,public-video-panel,https://watch.getcontrast.io/register/theapma-state-of-affiliate-nation-research-2026-what-you-need-to-know,2026-09-03,live-primary,Named publisher advertiser platform and trade-body discussion,Industry panel is not original research for this project
S41,APMA Erosion of the Link webinar,public-video-panel,https://watch.getcontrast.io/register/theapma-erosion-of-the-link-affiliate-marketing-s-last-click-survival-guide,2026-09-03,live-primary,Publisher advertiser and platform views on clickless discovery,Emerging attribution ideas are not settled standards
S42,APMA affiliate payments webinar,public-video-panel,https://theapma.co.uk/apma-webinar-summary-fixing-affiliate-payments-to-unlock-growth/,2026-09-03,live-primary,Publisher network technology and finance views on validation and payment,Practitioner statements are not audited market averages
S43,Awin StackCommerce and Penske interview,public-podcast-transcript,https://www.awin.com/gb/awin-win-marketing-podcast/episode/stackcommerce-penske-media,2026-09-03,live-primary,Publisher evidence on content valuation and last click,Produced by an affiliate network
