niche,niche_phrase,lane,sampled_city_searches,cities_with_reportable_volume,weighted_average_cpc_gbp,weighted_high_top_of_page_gbp,paid_search_value_proxy_gbp,top_city_by_proxy,top_city_volume,top_city_average_cpc_gbp,top_five_cities_by_proxy,observed_at
emergency_plumber,emergency plumber,urgent_trade,10770,26,14.8992,25.5942,160464.28,London,1600,40.3343,London|Edinburgh|Bristol|Reading|Manchester,2026-09-03
drain_unblocking,drain unblocking,urgent_trade,4820,26,10.9828,21.7464,52936.97,Bristol,590,16.0945,Bristol|London|Southampton|Coventry|Manchester,2026-09-03
emergency_locksmith,emergency locksmith,urgent_trade,6510,26,32.0632,27.7194,208731.74,London,1900,61.9351,London|Edinburgh|Bristol|Leeds|Brighton,2026-09-03
roof_repair,roof repair,planned_trade,8780,26,5.7654,15.0394,50619.78,London,880,13.5288,London|Bristol|Edinburgh|Manchester|Aberdeen,2026-09-03
tree_surgeon,tree surgeon,planned_trade,10700,26,2.9975,5.7440,32073.07,London,1300,3.9030,London|Bristol|Manchester|Sheffield|Nottingham,2026-09-03
pest_control,pest control,urgent_trade,27150,26,3.6987,6.4094,100418.62,London,5400,5.5045,London|Birmingham|Manchester|Glasgow|Belfast,2026-09-03
house_clearance,house clearance,planned_trade,10760,26,4.3637,4.0758,46953.65,London,1300,6.2838,London|Birmingham|Manchester|Edinburgh|Newcastle,2026-09-03
removal_company,removal company,planned_trade,29040,26,7.0862,8.8906,205783.52,Edinburgh,2900,9.1377,Edinburgh|London|Nottingham|Leeds|Leicester,2026-09-03
skip_hire,skip hire,planned_trade,49020,26,2.0506,2.5946,100521.02,Birmingham,5400,2.4222,Birmingham|Nottingham|Leicester|Sheffield|Bristol,2026-09-03
solar_panel_installers,solar panel installers,high_ticket_home,2240,25,9.3389,13.1556,20919.13,Edinburgh,260,16.9626,Edinburgh|Glasgow|Oxford|Nottingham|London,2026-09-03
