case_id,failure_pattern,observed_case,observed_evidence,evidence_class,source_ids,what_is_not_proven,design_rule
F01,Feed-only thin affiliation,Search guidance,"Google identifies copied descriptions and cookie-cutter affiliate pages as thin affiliation",observed policy,S23,"Policy text does not predict a specific site's ranking","Every indexable page needs original evidence navigation comparison or a buyer-state function"
F02,Gatekeeper foreclosure,PriceRunner versus Google,"A Swedish court found unlawful self-preferencing and awarded PriceRunner damages after a long abuse period",first-instance court finding,S73;S74,"The award is not necessarily final collected or a startup revenue analogue","Treat search as one distributor and build saved intent direct audience and other machine interfaces"
F03,Capital-heavy transaction adjacency,CarGurus CarOffer,"CarGurus wound down the transaction business after goodwill intangible software and related impairments and wind-down expenditure",regulatory filing,S78,"The filing does not prove every transaction marketplace will fail","Do not acquire inventory take title or own complex fulfilment until the capital-light market proves an advantage"
F04,Commerce operations outside the core,Houzz Shop,"Current terms allocate Shop Houzz merchant-of-record customer-service return and commerce operation to a Cart.com entity under licence",observed legal terms,S87,"The terms do not disclose whether prior in-house operation failed or the licensed economics","Keep project intelligence and professional workflow core; partner for commodity fulfilment"
F05,Strategic-owner reversal,Reverb under Etsy,"Etsy bought Reverb for 275 million dollars in 2019 and sold it in 2025 for 105 million dollars cash with 108.2 million dollars fair-value consideration and a 5.1 million dollar accounting loss",regulatory filing plus company announcements,S82;S83;S111,"Acquisition and sale values do not measure interim cash flow investment synergies or standalone quality","Do not use acquisition price as product validation; test whether the vertical reinforces the parent's customer and operating system"
F06,Search and session exposure,Future specialist media,"HY2026 reported revenue fell 8 percent while the company promoted direct ads Future+ Signal and lower dependence on website sessions",company results,S109;S110,"Group results do not isolate product review SEO or one brand","Build direct identity and distribution before traffic loss forces a portfolio pivot"
F07,Testing scope outruns demand,Which,"Memberships fell 4.1 percent at June 2025 and Which explicitly stops tests in obsolete or low-interest categories",annual report plus observed methodology,S65;S66,"A single year's membership change does not prove structural decline","Allocate test capital by decision value member demand and update burden; kill weak categories"
F08,Single-platform dependency,camelcamelcamel,"The tracker depends on Amazon content and affiliate links and states supplied content can change or be removed",observed first-party,S104,"The notice does not establish imminent platform removal","A platform-specific utility needs portable user relationships and independently retained observations"
F09,Trust boundary left with the buyer,Discogs,"Discogs states it does not pre-screen sellers and is not the seller or guarantor",observed first-party,S99,"Policy does not prove poor buyer outcomes","Make the transaction boundary explicit; do not imply protection the operator does not deliver"
F10,Nominal economics disappear in the path,Waltons affiliate programme,"Finance orders are excluded from commission despite high-ticket garden products often using finance",observed merchant terms,S08,"The share of finance orders is unknown","Model payable tracked transactions by checkout path instead of multiplying visible price by headline commission"
F11,Broad catalogue dilutes the high-ticket thesis,Machine Mart,"The retailer has high-value machinery inside a 21000-product range but reports whole-site AOV only above 100 pounds",observed merchant claim,S17,"Category-specific AOV and conversion remain unknown","Define the monetised subset and measure it separately from catalogue breadth"
F12,Community data without transaction assurance,Discogs and open catalogues,"Community identity can be precise while seller screening and guarantees remain limited",observed first-party,S98;S99,"The evidence does not show the optimal level of platform intervention","Separate catalogue truth seller trust and payment protection as three products with three cost bases"
