mechanism_id,operator,mechanism,evidence,evidence_class,source_ids,why_it_compounds,failure_condition,transfer_to_recommended_business
M01,RTINGS,Versioned standardised test benches,"Published category methods scoring curves retained products and retesting",observed first-party,S61;S62,"Each new product adds a comparable observation to an existing measurement system","Methods drift silently or measured attributes do not change the purchase","Publish a robot-mower test bench and retain benchmark units before scaling categories"
M02,Which,Multi-layer independence funding,"Membership affiliate commissions and endorsement licensing coexist with purchase and editorial policies",annual report plus observed first-party,S64;S66,"More than one aligned payer can fund costly evidence without selling rankings","Commercial licensing weakens perceived independence or membership keeps shrinking","Separate the test decision ranking and merchant commercial ledgers from day one"
M03,Consumer Reports,Institutional testing capital,"More than 30 million dollars expected yearly testing spend across 10000-plus products and services",observed first-party,S67;S68,"Laboratories expertise and longitudinal records are hard to recreate","Fixed testing scope grows faster than member and donor funding","Choose one consequential method a small operator can execute credibly"
M04,idealo,Price history plus alerts,"Twelve-month price history target alerts frequent offer updates and timestamps",observed first-party,S69;S70;S71,"A one-time comparison becomes retained purchase intent and a proprietary time series","Alerts are noisy or offer matching and availability are unreliable","Store observed price and stock events and let buyers save a project threshold"
M05,PCPartPicker,Compatibility-aware bill of materials,"Component filters automatic warnings complete part lists price history and shareable builds",observed first-party,S100;S101,"Every saved build improves the value of the component graph and community examples","Compatibility coverage is incomplete or errors are costly","Model the whole garden project and required accessories rather than rank isolated products"
M06,BrickLink,Canonical parts graph joined to creation software,"Parts sets inventories price guide wanted lists and Studio design tool use the same identities",observed first-party,S92;S93;S94,"Design creates demand for exact parts while transactions and history improve the graph","Community governance fragments identities or the manufacturer closes access","A saved plan should emit a product and installation bill of materials"
M07,Chrono24,Trust operations for expensive heterogeneous goods,"Escrow proof of ownership dealer verification authentication and buyer protection",observed first-party,S84,"Assurance expands the geographic supply a buyer will consider","Fraud service and dispute cost exceed the take rate","For used or installed equipment qualify supplier condition ownership and serviceability"
M08,Auto Trader,Supplier workflow after marketplace liquidity,"Retailer subscription technology data API and Deal Builder sit beside consumer stock search",annual report and results,S55;S56,"Dealer workflow creates recurring revenue and fresher supply while reducing churn","Software is sold before buyer demand or does not improve retailer economics","Only add installer or dealer software after repeated qualified demand exists"
M09,Machinio,Vertical search plus dealer-management software,"Used-machinery inventory discovery and dealer software serve the same supply base",observed first-party,S88;S89,"Better supplier operations improve inventory quality and buyer response","Listings become stale or fragmented and software does not become daily workflow","Land machinery should be a supplier operating system plus search not affiliate editorial"
M10,Discogs,Contributor-built canonical identity,"Collectors enter and correct exact physical releases; marketplace listings attach to those releases",observed first-party,S98;S99,"Contributors get collection and transaction utility in return for maintaining the graph","Moderation cost rises or contributors lose trust and ownership","Invite expert corrections only where contributors receive attribution tools and useful saved records"
M11,Future,Distribution and revenue portfolio,"Direct members email social creator collections advertising affiliate subscription and service products",company results,S54;S109;S110,"The same expertise reaches users and buyers through several surfaces","Portfolio complexity masks weak products or all channels depend on the same search traffic","Build email saved projects and machine-readable evidence beside search from launch"
M12,Reverb,Specialist liquidity and identity,"Category-specific new used and vintage inventory persists through a parent sale with a visible seller fee",regulatory filing plus first-party,S81;S82;S83,"Focused supply and community language stay useful across ownership cycles","Transaction trust weakens or general marketplaces reach equal category liquidity","Own the specialist decision vocabulary before contemplating checkout"
M13,Cardmarket,Canonical listing plus trustee payment,"Correct product-page identity and held payment reduce card variant and counterparty risk",observed first-party,S96;S97,"More exact listings and successful transactions reinforce liquidity","Counterfeit dispute and payment cost exceed marketplace fee","Identity and trust controls matter more than prose in used specialist markets"
M14,Houzz,Professional workflow monetisation,"Project discovery feeds a paid professional operating product while commerce operations sit with a licensee",observed first-party,S85;S86;S87,"Supplier workflow can recur after a consumer project ends","Professional software is unrelated to lead quality or supplier retention","The installed-garden opportunity may mature into quote and project workflow rather than owned retail"
M15,OutdoorGearLab,Side-by-side category testing,"Products are bought at retail and tested in the field and lab under a category method",observed first-party,S102,"Comparisons improve as the calibration set and reviewer expertise accumulate","Affiliate revenue cannot fund the method or search attribution collapses","Use a bounded seasonal field protocol and record raw observations independently of articles"
M16,PriceRunner,Comparison embedded in a larger commerce system,"Acquisition joined price comparison reviews and high-intent traffic to Klarna payments and shopping",regulatory filing plus company announcement,S72;S73,"Existing consumer distribution and checkout increase the utility of comparison data","Parent priorities subsume neutrality or discovery remains controlled by a gatekeeper","An eventual strategic buyer is more likely to value the decision graph and intent than page count"
