dimension,score,weight,weightedScore,confidence,supportingImpactIds,unknowns,interpretation
substitution-risk,2,1,2,high,"AI01;AI16;AI30","Safe self-assessment adoption and sensor performance by lane","Most physical or competent-person outcomes persist but simple administrative and self-assessable work compresses"
generated-content-supply,5,1,5,high,"AI02;AI22;AI29","Volume quality and buyer trust effects of synthetic compliance content","Generic advice and templates are abundant; verified evidence becomes more important"
discovery-disruption,4,1,4,medium,AI03,"UK compliance-query generative-search conversion cohorts","Information visits face strong compression while premises-specific purchase intent can persist"
agent-bypass-risk,3,1,3,medium,"AI04;AI24","Provider APIs agent adoption and attribution","Thin lead reselling can be bypassed; managed evidence and approval are harder to route around"
operating-leverage,4,1,4,medium,"AI05;AI06;AI08;AI20;AI21;AI23;AI25","Measured provider time margin and quality before and after AI","Material administrative leverage exists but field time review demand and customer price capture limit it"
proprietary-data-potential,4,1,4,medium,AI12,"Data rights completeness retention and predictive lift","Operating across sites can create a useful outcome graph if customers permit durable access"
physical-world-moat,5,1,5,high,"AI10;AI17;AI19;AI30","Future sensor substitution in specific examinations","Inspection sampling maintenance and remediation preserve physical work"
trust-liability-moat,5,1,5,high,"AI09;AI11;AI18;AI27;AI31","Contractual allocation insurance appetite and future assessor regulation","Competence responsibility and sign-off constrain automation and protect credible operators"
relationship-moat,4,1,4,medium,AI13,"Retention and multi-lane expansion in a real customer cohort","Recurring coordination can be durable but facilities incumbents already own many buyers"
platform-dependency,3,1,3,high,"AI07;AI14;AI28","Future channel concentration and model portability","The model is exposed unless it owns direct accounts exportable evidence and provider operations"
defensibility-2028,4,1,4,medium,"AI15;AI26","Willingness to pay data accumulation and incumbent response","Partner operations plus verified evidence can endure; standalone AI features cannot"
