format,scenario,currency,capacity,paid_attendees,ticket_or_blended_yield_per_attendee,gross_revenue,fixed_direct_costs,variable_direct_cost_per_attendee,total_variable_direct_costs,illustrative_direct_contribution,contribution_margin,break_even_attendees,break_even_fill,observed_price_anchor,evidence_class,assumption_warning,observed_at
Social darts league night,50% fill,GBP,48,24,18.00,432.00,400.00,2.50,60.00,-28.00,-6.5%,26,53.8%,Flight Club from £9 per person (S173),scenario_using_observed_anchor_and_assumed_costs,"Ticket, pub board bank, host, equipment, staffing and contingency are assumptions; acquisition is excluded; excludes VAT, central overhead, founder labour, insurance, tax and portfolio failures",2026-09-03
Social darts league night,70% fill,GBP,48,33,18.00,594.00,400.00,2.50,82.50,111.50,18.8%,26,53.8%,Flight Club from £9 per person (S173),scenario_using_observed_anchor_and_assumed_costs,"Ticket, pub board bank, host, equipment, staffing and contingency are assumptions; acquisition is excluded; excludes VAT, central overhead, founder labour, insurance, tax and portfolio failures",2026-09-03
Social darts league night,90% fill,GBP,48,43,18.00,774.00,400.00,2.50,107.50,266.50,34.4%,26,53.8%,Flight Club from £9 per person (S173),scenario_using_observed_anchor_and_assumed_costs,"Ticket, pub board bank, host, equipment, staffing and contingency are assumptions; acquisition is excluded; excludes VAT, central overhead, founder labour, insurance, tax and portfolio failures",2026-09-03
Beginner social-dance night,50% fill,GBP,60,30,17.00,510.00,560.00,1.50,45.00,-95.00,-18.6%,37,60.2%,Salsateca £15 one hour and £17 two hours (S181),scenario_using_observed_anchor_and_assumed_costs,"Venue, two facilitators, staff and contingency are assumptions; acquisition is excluded; excludes VAT, central overhead, founder labour, insurance, tax and portfolio failures",2026-09-03
Beginner social-dance night,70% fill,GBP,60,42,17.00,714.00,560.00,1.50,63.00,91.00,12.7%,37,60.2%,Salsateca £15 one hour and £17 two hours (S181),scenario_using_observed_anchor_and_assumed_costs,"Venue, two facilitators, staff and contingency are assumptions; acquisition is excluded; excludes VAT, central overhead, founder labour, insurance, tax and portfolio failures",2026-09-03
Beginner social-dance night,90% fill,GBP,60,54,17.00,918.00,560.00,1.50,81.00,277.00,30.2%,37,60.2%,Salsateca £15 one hour and £17 two hours (S181),scenario_using_observed_anchor_and_assumed_costs,"Venue, two facilitators, staff and contingency are assumptions; acquisition is excluded; excludes VAT, central overhead, founder labour, insurance, tax and portfolio failures",2026-09-03
Hosted board-game night,50% fill,GBP,40,20,15.00,300.00,350.00,1.50,30.00,-80.00,-26.7%,26,64.8%,Draughts £7.50 off-peak and £9.50 peak admission (S174),scenario_using_observed_anchor_and_assumed_costs,"Premium hosted ticket, room, host, inventory, staff and contingency are assumptions; acquisition is excluded; excludes VAT, central overhead, founder labour, insurance, tax and portfolio failures",2026-09-03
Hosted board-game night,70% fill,GBP,40,28,15.00,420.00,350.00,1.50,42.00,28.00,6.7%,26,64.8%,Draughts £7.50 off-peak and £9.50 peak admission (S174),scenario_using_observed_anchor_and_assumed_costs,"Premium hosted ticket, room, host, inventory, staff and contingency are assumptions; acquisition is excluded; excludes VAT, central overhead, founder labour, insurance, tax and portfolio failures",2026-09-03
Hosted board-game night,90% fill,GBP,40,36,15.00,540.00,350.00,1.50,54.00,136.00,25.2%,26,64.8%,Draughts £7.50 off-peak and £9.50 peak admission (S174),scenario_using_observed_anchor_and_assumed_costs,"Premium hosted ticket, room, host, inventory, staff and contingency are assumptions; acquisition is excluded; excludes VAT, central overhead, founder labour, insurance, tax and portfolio failures",2026-09-03
Portable pottery workshop,50% fill,GBP,16,8,45.00,360.00,360.00,16.00,128.00,-128.00,-35.6%,13,77.6%,"Pottery Cafe and Southwark course anchors (S127, S183)",scenario_using_observed_anchor_and_assumed_costs,"Price, venue, facilitator, materials, firing, staff and contingency are assumptions; acquisition is excluded; excludes VAT, central overhead, founder labour, insurance, tax and portfolio failures",2026-09-03
Portable pottery workshop,70% fill,GBP,16,11,45.00,495.00,360.00,16.00,176.00,-41.00,-8.3%,13,77.6%,"Pottery Cafe and Southwark course anchors (S127, S183)",scenario_using_observed_anchor_and_assumed_costs,"Price, venue, facilitator, materials, firing, staff and contingency are assumptions; acquisition is excluded; excludes VAT, central overhead, founder labour, insurance, tax and portfolio failures",2026-09-03
Portable pottery workshop,90% fill,GBP,16,14,45.00,630.00,360.00,16.00,224.00,46.00,7.3%,13,77.6%,"Pottery Cafe and Southwark course anchors (S127, S183)",scenario_using_observed_anchor_and_assumed_costs,"Price, venue, facilitator, materials, firing, staff and contingency are assumptions; acquisition is excluded; excludes VAT, central overhead, founder labour, insurance, tax and portfolio failures",2026-09-03
Managed social-sport session,50% fill,GBP,20,10,12.20,122.00,155.00,1.50,15.00,-48.00,-39.3%,15,72.4%,GO Mammoth selected league £12.20 weekly individual price (S175),scenario_using_observed_anchor_and_assumed_costs,"Facility, official or host, equipment and contingency are assumptions; acquisition is excluded; excludes VAT, central overhead, founder labour, insurance, tax and portfolio failures",2026-09-03
Managed social-sport session,70% fill,GBP,20,14,12.20,170.80,155.00,1.50,21.00,-5.20,-3.0%,15,72.4%,GO Mammoth selected league £12.20 weekly individual price (S175),scenario_using_observed_anchor_and_assumed_costs,"Facility, official or host, equipment and contingency are assumptions; acquisition is excluded; excludes VAT, central overhead, founder labour, insurance, tax and portfolio failures",2026-09-03
Managed social-sport session,90% fill,GBP,20,18,12.20,219.60,155.00,1.50,27.00,37.60,17.1%,15,72.4%,GO Mammoth selected league £12.20 weekly individual price (S175),scenario_using_observed_anchor_and_assumed_costs,"Facility, official or host, equipment and contingency are assumptions; acquisition is excluded; excludes VAT, central overhead, founder labour, insurance, tax and portfolio failures",2026-09-03
Partner-led wine tasting,50% fill,GBP,30,15,40.00,600.00,420.00,14.00,210.00,-30.00,-5.0%,17,53.8%,Wine Society current multi-city events and price bands (S182),scenario_using_observed_anchor_and_assumed_costs,"Blended ticket, wine, venue, expert, staff and contingency are assumptions; acquisition is excluded; excludes VAT, central overhead, founder labour, insurance, tax and portfolio failures",2026-09-03
Partner-led wine tasting,70% fill,GBP,30,21,40.00,840.00,420.00,14.00,294.00,126.00,15.0%,17,53.8%,Wine Society current multi-city events and price bands (S182),scenario_using_observed_anchor_and_assumed_costs,"Blended ticket, wine, venue, expert, staff and contingency are assumptions; acquisition is excluded; excludes VAT, central overhead, founder labour, insurance, tax and portfolio failures",2026-09-03
Partner-led wine tasting,90% fill,GBP,30,27,40.00,1080.00,420.00,14.00,378.00,282.00,26.1%,17,53.8%,Wine Society current multi-city events and price bands (S182),scenario_using_observed_anchor_and_assumed_costs,"Blended ticket, wine, venue, expert, staff and contingency are assumptions; acquisition is excluded; excludes VAT, central overhead, founder labour, insurance, tax and portfolio failures",2026-09-03
Partner-spa day retreat,50% fill,GBP,16,8,199.00,1592.00,690.00,105.00,840.00,62.00,3.9%,8,45.9%,"Grange £199 day retreat; Macdonald spa days £64–£85+ (S178, S179)",scenario_using_observed_anchor_and_assumed_costs,"Partner wholesale rate, facilitators, staff, contingency and reserve are assumptions; acquisition is excluded; excludes VAT, central overhead, founder labour, insurance, tax and portfolio failures",2026-09-03
