launch_cell,operator_or_venue,observed_current_offer,current_price_or_rate_gbp,supply_signal,repeat_or_b2b_signal,strategic_implication,evidence_status,source_ids,source_url,observed_at,limitation
Manchester — darts,Flight Club Manchester,"Fourteen oche areas, seven multiplayer games, food and drink service, groups of 2–36 and events for 37+; stated venue capacity up to 340",Social Darts from £10 per person,high direct substitute,Group and work-event routes,"Do not launch generic darts access; sell a beginner season, team identity and retained community through a pub or asset partner",live first-party operator page,S185,https://flightclubdarts.com/uk/manchester/,2026-09-03,"Price is a starting retail price; page does not show utilisation, repeat, wholesale access or profit"
Manchester — darts,Roxy Leisure,"Tech darts advertised at Manchester Arndale and Deansgate venues",Not publicly retained,additional direct substitute,Group booking route,"A second multi-site substitute raises the differentiation burden and makes a partner-pub league more defensible than a one-off technology-led night",live first-party operator page,S186,https://roxyleisure.co.uk/tech-darts-manchester/,2026-09-03,"Challenge protection limited the detailed page review; no price, capacity, utilisation or economics retained"
Manchester — portable events,Friends’ Meeting House Manchester,"Central Manchester rooms with published circle capacities from 25 to 50 for selected rooms and halls; weekday evening hire runs 6pm–9pm",£50 for G3/G4; £70 for G1/F11/F12/F13; £190 Upper Hall; £210 Main Hall,venue price anchor,Room hire only,"The prior £400–£560 fixed-cost scenarios are possible but must be replaced with a written all-in quote and format-specific suitability check",live first-party venue pricing,S197,https://meetinghousemanchester.co.uk/central-manchester-evening-and-saturday/,2026-09-03,"Published room rates do not include facilitator, activity equipment, refreshments, cleaning, licensing, insurance, staffing or confirmation that darts, dance, alcohol or messy crafts are permitted"
Birmingham — salsa,Havana Salsa,"Weekly Cuban salsa classes across the Birmingham area, with all-level teaching and social-event routes",£11.80 one hour; £20 two classes same night; £40.80 four-class block,high recurring incumbent,Class block and wider social programme,"Search depth validates the behaviour but not whitespace; enter only with a sharper audience, superior location or partnership advantage",live first-party operator and pricing pages,"S188|S189",https://www.havana-salsa.co.uk/regions/havanasalsa-birmingham/,2026-09-03,"Prices apply outside London and include VAT; pages do not establish Birmingham attendance, retention, capacity or profit"
Birmingham — board-game events,Chance & Counters Birmingham,"Digbeth venue with 650+ games, gaming-guru teaching, food and drink, walk-ins and group positioning",£2.50 per person per hour off-peak; £3.50 peak,high commodity-access substitute,Staff teaching and group use,"A £15 hosted ticket must deliver stranger mixing, curation and continuity that customers cannot get from inexpensive table access",live first-party operator page,S187,https://www.chanceandcounters.com/birmingham/,2026-09-03,"Admission does not include the organiser's proposed host layer; page does not disclose utilisation, repeat or contribution"
Birmingham — pottery painting,Café Craft,"Bearwood studio with 150+ pieces, glazing and firing, adult and child parties, corporate workshops and an off-site service that supplies pottery and materials",No studio or booking fee stated; item prices not retained,high studio and portable supply,Corporate and off-site fulfilment,"Broad search demand is already served and partner fulfilment exists; test an adult cohort through wholesale/off-site terms rather than buying a kiln",live first-party operator page,S190,https://cafecraft.co.uk/,2026-09-03,"No public item, wholesale, off-site, capacity or contribution price was retained"
Birmingham — pottery painting,Glaze Room,"Jewellery Quarter studio with two-hour painting, glazing and firing, BYOB after 4pm and private groups up to 30",£10 studio fee plus pottery from £18 to £50,high direct substitute,Private hire and team building,"The observed consumer price floor is £28 before extras; the proposed £45 workshop needs stronger hosting or a partner margin and cannot be treated as category whitespace",live first-party operator page,S191,https://glazeroom.co.uk/,2026-09-03,"Catalogue range is an example; price does not establish average spend, sell-through, repeat or profit"
Birmingham — pottery painting,Coated Pottery,"Kings Heath studio for mindful solo visits, groups and children, with large bookings and in-house firing",Item-dependent price not publicly retained,additional direct substitute,Large-booking route,"Three observed Birmingham studios make an owned-studio launch especially hard to justify before paid cohort evidence",live first-party operator page,S192,https://www.coatedpottery.com/,2026-09-03,"One operator page does not establish availability, capacity, utilisation, repeat or profit"
Manchester — wine tasting,Manchester Wine School,"Current city-centre calendar spanning introductory tastings, food pairing, masterclasses and WSET courses; private and corporate service across Greater Manchester",£40 introduction; £45 pairing; £50 themed tasting; £60 masterclass; £200–£995 WSET examples,high product-depth incumbent,Gift vouchers plus private corporate and qualification ladders,"Demand and price depth are real, but a new operator needs a distinct producer, audience or format advantage; generic tasting is not whitespace",live first-party operator page,S193,https://www.localwineschool.com/manchester/,2026-09-03,"Listings do not disclose paid attendance, repeat, utilisation, acquisition cost or contribution"
Birmingham — sip and paint,Brush Party,"Three-hour guided Birmingham-area venue event with supplies included, a take-home canvas, separate bar purchases and a loyalty scheme awarding the seventh standard event free",£33 for the 15 September 2026 Castle Bromwich event,active touring incumbent,Public calendar and explicit repeat incentive,"The format is operationally legible but already replicated; a new event needs a sharper community or progression mechanism, not another generic painting theme",live dated first-party event page,S194,https://brushparty.co.uk/event/farthings-castle-bromwich--birmingham-flaminglow-15-09-2026,2026-09-03,"One listed event and first-party scale claims do not establish Birmingham sell-through, repeat or profit"
Manchester — sip and paint,Paint Away Events,"Public workshops plus private, corporate and brand-activation formats across Greater Manchester and surrounding towns",Public event price not retained,regional direct substitute,Private corporate and brand work,"Portable painting has multiple monetisation routes but weak format defensibility; Manchester is not an uncontested fallback market",live first-party operator page,S195,https://www.paintawayevents.com/,2026-09-03,"Homepage coverage does not establish current city cadence, ticket price, attendance, retention or profit"
