submitted_keyword,returned_keyword,grouped_submitted_keywords,close_variants,niche,niche_phrase,lane,city,geo_criterion_id,geo_canonical_name,geo_target_type,geo_status,average_monthly_searches,competition,competition_index,average_cpc_gbp,low_top_of_page_gbp,high_top_of_page_gbp,geography_method,observed_at
emergency plumber,emergency plumber,emergency plumber,,emergency_plumber,emergency plumber,urgent_trade,London,1006886,"London, England, United Kingdom",City,Active,2400,HIGH,68,40.8365,7.3425,48.8538,generic_query_inside_local_geo_target,2026-09-03
drain unblocking,drain unblocking,drain unblocking,,drain_unblocking,drain unblocking,urgent_trade,London,1006886,"London, England, United Kingdom",City,Active,4400,HIGH,100,6.5417,4.2197,24.5779,generic_query_inside_local_geo_target,2026-09-03
emergency locksmith,emergency locksmith,emergency locksmith,,emergency_locksmith,emergency locksmith,urgent_trade,London,1006886,"London, England, United Kingdom",City,Active,1300,HIGH,67,28.8064,4.3289,30.1268,generic_query_inside_local_geo_target,2026-09-03
roof repair,roof repair,roof repair,,roof_repair,roof repair,planned_trade,London,1006886,"London, England, United Kingdom",City,Active,1300,MEDIUM,55,10.6696,8.4830,30.8025,generic_query_inside_local_geo_target,2026-09-03
tree surgeon,tree surgeon,tree surgeon,,tree_surgeon,tree surgeon,planned_trade,London,1006886,"London, England, United Kingdom",City,Active,1300,MEDIUM,58,3.0181,2.8285,6.9517,generic_query_inside_local_geo_target,2026-09-03
pest control,pest control,pest control,,pest_control,pest control,urgent_trade,London,1006886,"London, England, United Kingdom",City,Active,4400,HIGH,85,4.5772,2.5828,8.6087,generic_query_inside_local_geo_target,2026-09-03
house clearance,house clearance,house clearance,,house_clearance,house clearance,planned_trade,London,1006886,"London, England, United Kingdom",City,Active,880,MEDIUM,61,5.1594,1.2845,4.6299,generic_query_inside_local_geo_target,2026-09-03
asbestos survey,asbestos survey,asbestos survey,,asbestos_survey,asbestos survey,specialist_compliance,London,1006886,"London, England, United Kingdom",City,Active,1000,HIGH,68,24.3020,5.8970,98.6286,generic_query_inside_local_geo_target,2026-09-03
fire risk assessment,fire risk assessment,fire risk assessment,,fire_risk_assessment,fire risk assessment,specialist_compliance,London,1006886,"London, England, United Kingdom",City,Active,1600,HIGH,71,23.9143,6.4090,24.7392,generic_query_inside_local_geo_target,2026-09-03
commercial cleaning,commercial cleaning,commercial cleaning,,commercial_cleaning,commercial cleaning,b2b_recurring,London,1006886,"London, England, United Kingdom",City,Active,480,MEDIUM,50,7.1766,3.0685,12.4857,generic_query_inside_local_geo_target,2026-09-03
garage door repair,garage door repair,garage door repair,,garage_door_repair,garage door repair,planned_trade,London,1006886,"London, England, United Kingdom",City,Active,590,MEDIUM,51,4.5587,1.2077,4.3266,generic_query_inside_local_geo_target,2026-09-03
resin driveways,resin driveways,resin driveways,,resin_driveways,resin driveways,high_ticket_home,London,1006886,"London, England, United Kingdom",City,Active,320,HIGH,90,5.7661,1.0784,4.8149,generic_query_inside_local_geo_target,2026-09-03
boiler installation,boiler installation,boiler installation,,boiler_installation,boiler installation,high_ticket_home,London,1006886,"London, England, United Kingdom",City,Active,590,MEDIUM,62,16.0603,6.6723,24.4926,generic_query_inside_local_geo_target,2026-09-03
spray foam removal,spray foam removal,spray foam removal,,spray_foam_removal,spray foam removal,specialist_remediation,London,1006886,"London, England, United Kingdom",City,Active,170,HIGH,78,20.4183,5.7462,22.1317,generic_query_inside_local_geo_target,2026-09-03
loft conversion,loft conversion,loft conversion,,loft_conversion,loft conversion,high_ticket_home,London,1006886,"London, England, United Kingdom",City,Active,1900,MEDIUM,60,10.3575,2.8930,9.9459,generic_query_inside_local_geo_target,2026-09-03
bathroom fitters,bathroom fitters,bathroom fitters,,bathroom_fitters,bathroom fitters,high_ticket_home,London,1006886,"London, England, United Kingdom",City,Active,880,MEDIUM,58,7.6625,2.9475,18.9504,generic_query_inside_local_geo_target,2026-09-03
emergency plumber,emergency plumber,emergency plumber,,emergency_plumber,emergency plumber,urgent_trade,Birmingham,1006524,"Birmingham, West Midlands, England, United Kingdom",City,Active,210,HIGH,76,6.4528,4.6537,12.9305,generic_query_inside_local_geo_target,2026-09-03
