vertical,lane,included_in_scored_basket,keyword,average_monthly_searches,competition,competition_index,average_cpc_gbp,low_top_page_bid_gbp,high_top_page_bid_gbp,note
premium-garden,product,yes,robotic mower for sale,480,HIGH,100,1.059293,0.388638,1.934719,Canonical robot-mower purchase term
premium-garden,product,yes,ride on mower for sale,1900,HIGH,100,0.908608,0.229922,0.698493,Purchase term; used intent may be present
premium-garden,product,yes,awnings for sale,880,HIGH,100,1.054415,0.287583,1.894720,Product-led awning lane
premium-garden,product,yes,greenhouse for sale,9900,HIGH,100,1.004422,0.264044,1.119538,Canonical greenhouse purchase term
premium-garden,product,yes,pergola for sale,2900,HIGH,100,1.208464,0.304228,1.515617,Canonical pergola purchase term
premium-garden,product,yes,hot tubs for sale,9900,HIGH,100,0.750271,0.294093,1.284717,Canonical hot-tub purchase term
premium-garden,product,yes,swim spa prices,480,HIGH,100,0.703425,0.336035,0.820924,Price-led intent; cost returned identical metrics and was not added
premium-garden,product,yes,outdoor sauna for sale,1000,HIGH,100,1.442193,0.718996,1.871666,Canonical outdoor-sauna purchase term
premium-garden,project,no,made to measure awnings,140,HIGH,100,2.266125,0.762688,2.611610,Commercial project intent but not low-CPC wedge
premium-garden,project,no,awning quote,10,HIGH,76,13.201066,3.463851,8.083331,High-value lead intent with expensive auction
premium-garden,project,no,garden room cost,880,HIGH,100,2.011766,0.774980,2.242367,Installed-project lane
premium-garden,project,no,log cabins for sale,6600,HIGH,100,1.928949,0.596841,3.931323,Higher-CPC extension lane
premium-garden,validation,no,robot lawn mower price,170,HIGH,100,0.568920,0.120294,0.761022,Supporting price term not added to canonical family total
premium-garden,validation,no,buy greenhouse,720,HIGH,100,1.254386,0.318006,1.240920,Supporting buy term not added to canonical family total
premium-garden,validation,no,greenhouse prices,140,HIGH,100,5.942331,0.279048,14.835000,Price term with unusually high CPC
premium-garden,validation,no,garden room prices,590,HIGH,100,2.409098,0.774754,2.480144,Supporting installed-project term
premium-garden,validation,no,garden office prices,140,HIGH,100,2.524363,0.962887,3.365655,Supporting installed-project term
maker-studios,product,yes,pottery kiln for sale,720,HIGH,100,0.257642,0.059271,0.628092,Buy pottery kiln returned identical metrics and was not added
maker-studios,product,yes,pottery wheel for sale,1900,HIGH,100,0.218432,0.060230,0.307332,Canonical wheel purchase term
maker-studios,product,yes,laser cutter price,170,HIGH,100,2.771169,0.849060,1.594770,Digital-fabrication CPC outlier
maker-studios,product,yes,laser engraver for sale,40,HIGH,100,0.430697,0.093360,1.064607,Low-volume extension
maker-studios,product,yes,cnc router for sale,90,HIGH,99,1.352322,0.881030,2.342935,Digital-fabrication extension
maker-studios,product,yes,wood lathe for sale,590,HIGH,100,0.175869,0.020369,0.392690,Purchase term; used intent may be present
maker-studios,product,yes,metal lathe for sale,260,HIGH,100,0.133174,0.021986,0.766587,Purchase term; used intent may be present
maker-studios,product,yes,milling machine for sale,390,HIGH,100,0.143432,0.114588,0.930399,Purchase term; used intent may be present
maker-studios,product,yes,planer thicknesser for sale,390,HIGH,100,0.299963,0.082062,0.883378,Canonical workshop purchase term
maker-studios,product,yes,etching press for sale,110,HIGH,100,0.241938,0.023049,0.591149,Printmaking equipment
maker-studios,product,yes,weaving loom for sale,170,HIGH,100,0.178226,0.039859,0.424699,Textile studio equipment; not apparel aggregation
maker-studios,product,yes,glass kiln for sale,110,HIGH,100,0.201264,0.090485,0.847499,Specialist kiln extension
maker-studios,validation,no,ceramic kiln for sale,50,HIGH,100,0.184194,0.088952,0.932017,Overlaps pottery-kiln family
maker-studios,validation,no,buy pottery wheel,110,HIGH,100,0.245808,0.099864,0.372494,Supporting buy term
