impactId,workstreamId,actor,valueChainStep,aiDimension,mechanism,timeHorizon,impactDirection,claim,evidenceClass,supportingClaimIds,countervailingForce,leadingIndicator,commercialImplication,confidence,limitations
RAI01,rank-and-rent-ai-retrofit,consumer,information-discovery,substitution-risk,replacement,current,headwind,"AI answers can satisfy generic definitions cost ranges and checklists without a publisher visit",observed,"S06;S84;S85","Urgent and property-specific actions still require fulfilment","Outbound click and accepted-lead rate by query class","Commodity informational traffic has reduced strategic value",high,"Available studies are not UK local-service conversion benchmarks"
RAI02,rank-and-rent-ai-retrofit,publisher,content-production,generated-content-supply,supply-expansion,current,headwind,"Generated location and service copy expands the supply of low-cost competing pages",inference,"S04;S98","Scaled low-value output can violate search policy and factual maintenance remains costly","New page volume corrections and qualified actions per maintained page","Do not treat page count or generated prose as an asset",high,"No representative measure of UK supply growth is retained"
RAI03,rank-and-rent-ai-retrofit,consumer,local-discovery,discovery-disruption,interface-shift,current,headwind,"AI and local platform surfaces can reduce conventional organic visits",observed,"S06;S84;S85;S96","Direct brand urgent calls and local actions may remain","Visibility clicks calls and accepted leads by surface","Measure commercial events rather than rankings alone",high,"Reporting coverage and attribution are incomplete"
RAI04,rank-and-rent-ai-retrofit,platform,enquiry-qualification,agent-bypass-risk,interface-shift,2028,headwind,"Search or assistant platforms can collect and route qualified service requests directly",inference,"S96;S97","Independent operators may own unique providers or deeper qualification","Platform-routed booking share and independent buyer renewal","Thin lead resellers can be removed from the journey",medium,"Announcements do not establish UK adoption or economics"
RAI05,rank-and-rent-ai-retrofit,operator,enquiry-operations,operating-leverage,augmentation,current,tailwind,"AI can assist transcription classification deduplication and follow-up drafting",inference,"S98","Human review privacy controls and buyer rules remain necessary","Handling minutes escaped-error rate and accepted-lead rate","Labour can fall only if downstream quality holds",medium,"No first-party productivity cohort exists"
RAI06,rank-and-rent-ai-retrofit,operator,outcome-data,proprietary-data-potential,new-demand,2028,tailwind,"Provider response acceptance appointment quote and win outcomes can form a scarce local dataset",inference,"D28;RAI04","Buyers may not return outcomes and the dataset may remain sparse","Outcome completeness cohort depth and measured routing uplift","Invest in the event ledger rather than page volume",medium,"The proposed dataset does not yet exist at useful scale"
RAI07,rank-and-rent-ai-retrofit,provider,service-fulfilment,physical-world-moat,no-material-impact,2028,tailwind,"Inspection repair installation and attendance remain physical",inference,"S96","Platforms can own booking and physical work can have weak margins","Completion rate capacity and provider contribution","Fulfilment resists replacement but does not guarantee intermediary value",high,"Category variation is substantial"
RAI08,rank-and-rent-ai-retrofit,consumer,provider-selection,trust-liability-moat,new-demand,2028,tailwind,"Synthetic pages reviews and claims increase the value of verified identity credentials and provenance",inference,"S04;S90;S98","Platforms and established schemes may capture the trust layer","Verification use complaint rate and buyer conversion","Transparent verification can differentiate a narrow utility",medium,"Willingness to pay for verification is untested"
RAI09,rank-and-rent-ai-retrofit,buyer,lead-purchasing,relationship-moat,no-material-impact,2028,tailwind,"Contracted buyer coverage acceptance rules and feedback survive a search-interface change",inference,"D25;D26","Platforms may offer buyers greater volume and integrated tools","Buyer renewal concentration and outcome-return rate","Buyer relationships are more durable than rented rankings",medium,"No buyer interviews or contracts exist"
RAI10,rank-and-rent-ai-retrofit,operator,distribution,platform-dependency,interface-shift,2030,headwind,"Reliance on one search platform or surface creates severe acquisition concentration",inference,"S06;S96;S97","Direct brand referral email partners and multiple interfaces diversify demand","Qualified-event share by channel","Cap exposure and build non-search routes before scaling",high,"Future platform market shares are unknown"
RAI11,rank-and-rent-ai-retrofit,operator,strategy,defensibility-2028,no-material-impact,2028,mixed,"A transparent local-demand operation can remain defensible only if it owns verified supply qualification outcomes and buyer access",inference,"RAI05;RAI06;RAI07;RAI08;RAI09","Incumbents can adopt the same AI tools and may own more data","Non-public evidence share buyer renewal and direct demand","Proceed with one partner-led market cell rather than a site portfolio",medium,"Every proposed scarce asset still requires field validation"
