research_segment,submitted_identity,company_number,registered_name,company_status,sic_codes,accounts_period_end,accounts_type,latest_accounts_format,turnover_gbp,gross_profit_gbp,operating_profit_gbp,profit_before_tax_gbp,profit_after_tax_gbp,cash_gbp,net_assets_gbp,average_employees,accounts_extraction_method,account_note,identity_state,identity_source_url,identity_source_note,companies_house_profile_url,accounts_filing_url,parser_warning,evidence_class,observed_at
lead_marketplace,Vetted Limited trading as Checkatrade,04285394,VETTED LIMITED,active,82990,2024-12-31,full,pdf,105859665,,2672750,2093987,1472449,7809338,8408753,518,manual transcription from official filed PDF; key figures cross-checked against the signed accounts,"Vetted Limited trades as Checkatrade. Turnover includes website directory and printed directory revenue. The filing reports 50,824 total memberships at year end.","resolved to registry entity; service-site match is supporting evidence, not proof of current lead-buying intent",https://www.checkatrade.com/legal,Vetted Limited is identified in Checkatrade's legal terms,https://find-and-update.company-information.service.gov.uk/company/04285394,https://find-and-update.company-information.service.gov.uk/company/04285394/filing-history,The latest retrieved accounts were not available as structured XBRL/iXBRL metrics.,observed registry filing with stated extraction method,2026-09-03
lead_marketplace,Bark.com Global Limited,10614196,BARK.COM GLOBAL LIMITED,active,63120,2025-12-31,full,pdf,71603000,26357000,-858000,-961000,-365000,3784000,20388000,172,manual transcription from official filed PDF; key figures cross-checked against the signed accounts,Bark's accounting policy states that revenue includes fees paid by professionals for business leads and subscription fees. Lead revenue is recognised when professionals respond.,"resolved to registry entity; service-site match is supporting evidence, not proof of current lead-buying intent",https://www.bark.com/en/gb/terms/,Bark.com Global Limited is identified in Bark's UK terms,https://find-and-update.company-information.service.gov.uk/company/10614196,https://find-and-update.company-information.service.gov.uk/company/10614196/filing-history,The latest retrieved accounts were not available as structured XBRL/iXBRL metrics.,observed registry filing with stated extraction method,2026-09-03
lead_marketplace,MyBuilder Limited,05272398,MYBUILDER LIMITED,active,63120,2025-12-31,full,structured,25015063,,5668914,6157755,4630334,6217716,7635801,88,structured filing plus manual transcription of turnover and operating profit from the official XHTML accounts,MyBuilder's turnover policy describes UK shortlist-fee revenue.,"resolved to registry entity; service-site match is supporting evidence, not proof of current lead-buying intent",https://www.mybuilder.com/terms,MyBuilder Limited is identified in MyBuilder's terms,https://find-and-update.company-information.service.gov.uk/company/05272398,https://find-and-update.company-information.service.gov.uk/company/05272398/filing-history,Turnover was not disclosed in the structured accounts. | Employee count used the displayed integral value because the filing supplied an inconsistent negative iXBRL scale.,observed registry filing with stated extraction method,2026-09-03
lead_marketplace,Rated People Limited,05540422,RATED PEOPLE LIMITED,active,63990,2025-06-30,unaudited-abridged,structured,,,,,,690128,-6737671,40,repository structured-account parser,Turnover and profit may be absent because many small-company filings do not disclose a profit-and-loss account.,"resolved to registry entity; service-site match is supporting evidence, not proof of current lead-buying intent",,registry identity only; first-party trading identity not established,https://find-and-update.company-information.service.gov.uk/company/05540422,https://find-and-update.company-information.service.gov.uk/company/05540422/filing-history,Turnover was not disclosed in the structured accounts.,observed registry filing with stated extraction method,2026-09-03
lead_marketplace,Trustatrader.com Limited,05489753,TRUSTATRADER.COM LIMITED,active,73110,2025-06-30,total-exemption-full,structured,,,,,,2082120,-206777,34,repository structured-account parser,Turnover and profit may be absent because many small-company filings do not disclose a profit-and-loss account.,"resolved to registry entity; service-site match is supporting evidence, not proof of current lead-buying intent",,registry identity only; first-party trading identity not established,https://find-and-update.company-information.service.gov.uk/company/05489753,https://find-and-update.company-information.service.gov.uk/company/05489753/filing-history,Turnover was not disclosed in the structured accounts.,observed registry filing with stated extraction method,2026-09-03
edinburgh_commercial_cleaning,Spotless Commercial Cleaning Limited,SC163138,SPOTLESS COMMERCIAL CLEANING LIMITED,active,81210,2025-09-30,group,structured,,,,,678935,352118,3199798,1615,repository structured-account parser,Turnover and profit may be absent because many small-company filings do not disclose a profit-and-loss account.,"resolved to registry entity; service-site match is supporting evidence, not proof of current lead-buying intent",https://www.spotlessclean.co.uk/,first-party service website,https://find-and-update.company-information.service.gov.uk/company/SC163138,https://find-and-update.company-information.service.gov.uk/company/SC163138/filing-history,Turnover was not disclosed in the structured accounts.,observed registry filing with stated extraction method,2026-09-03
edinburgh_commercial_cleaning,SCS Cleaning Services Ltd,SC338610,SCS CLEANING SERVICES LTD,active,81210,2025-03-31,total-exemption-full,structured,,,,,,86784,285560,39,repository structured-account parser,Turnover and profit may be absent because many small-company filings do not disclose a profit-and-loss account.,"resolved to registry entity; service-site match is supporting evidence, not proof of current lead-buying intent",,registry identity only; first-party trading identity not established,https://find-and-update.company-information.service.gov.uk/company/SC338610,https://find-and-update.company-information.service.gov.uk/company/SC338610/filing-history,Turnover was not disclosed in the structured accounts.,observed registry filing with stated extraction method,2026-09-03
edinburgh_commercial_cleaning,Perfect Clean Edinburgh Ltd,SC451687,PERFECT CLEAN EDINBURGH LTD,active,81210|81222|81299,2025-06-30,total-exemption-full,structured,,,,,,6302,247894,137,repository structured-account parser,Turnover and profit may be absent because many small-company filings do not disclose a profit-and-loss account.,"resolved to registry entity; service-site match is supporting evidence, not proof of current lead-buying intent",https://www.perfectcleanltd.co.uk/,first-party service website,https://find-and-update.company-information.service.gov.uk/company/SC451687,https://find-and-update.company-information.service.gov.uk/company/SC451687/filing-history,Turnover was not disclosed in the structured accounts.,observed registry filing with stated extraction method,2026-09-03
edinburgh_commercial_cleaning,Edinburgh Commercial Cleaning Ltd,SC405729,EDINBURGH COMMERCIAL CLEANING LTD,active,81210,2025-08-31,total-exemption-full,structured,,,,,,13865,2188,28,repository structured-account parser,Turnover and profit may be absent because many small-company filings do not disclose a profit-and-loss account.,"resolved to registry entity; service-site match is supporting evidence, not proof of current lead-buying intent",https://www.edinburghcommercialcleaning.com/contact,first-party contact page,https://find-and-update.company-information.service.gov.uk/company/SC405729,https://find-and-update.company-information.service.gov.uk/company/SC405729/filing-history,Turnover was not disclosed in the structured accounts. | Employee count used the displayed integral value because the filing supplied an inconsistent negative iXBRL scale.,observed registry filing with stated extraction method,2026-09-03
edinburgh_commercial_cleaning,AD Cleaning Services Edinburgh Ltd,SC657860,AD CLEANING SERVICES EDINBURGH LTD,active,81210,2025-03-31,micro-entity,structured,,,,,,,1269,27,repository structured-account parser,Turnover and profit may be absent because many small-company filings do not disclose a profit-and-loss account.,"resolved to registry entity; service-site match is supporting evidence, not proof of current lead-buying intent",https://www.adcleaningservice.co.uk/,first-party service website,https://find-and-update.company-information.service.gov.uk/company/SC657860,https://find-and-update.company-information.service.gov.uk/company/SC657860/filing-history,Turnover was not disclosed in the structured accounts.,observed registry filing with stated extraction method,2026-09-03
