screen_type,location,filter,filter_label,returned_matches,interpretation,source_url,observed_at
active company + registered-office location + SIC,Edinburgh,81210,General cleaning of buildings,187,"broad registered-company discovery bound; may include irrelevant, inactive-trading or multi-location firms and is not a buyer count",https://api.company-information.service.gov.uk/advanced-search/companies?company_status=active&size=20&location=Edinburgh&sic_codes=81210,2026-09-03
active company + registered-office location + SIC,Edinburgh,43220,Plumbing heat and air-conditioning installation,261,"broad registered-company discovery bound; may include irrelevant, inactive-trading or multi-location firms and is not a buyer count",https://api.company-information.service.gov.uk/advanced-search/companies?company_status=active&size=20&location=Edinburgh&sic_codes=43220,2026-09-03
active company + registered-office location + SIC,Manchester,84250,Fire service activities,37,"broad registered-company discovery bound; may include irrelevant, inactive-trading or multi-location firms and is not a buyer count",https://api.company-information.service.gov.uk/advanced-search/companies?company_status=active&size=20&location=Manchester&sic_codes=84250,2026-09-03
active company + registered-office location + SIC,Manchester,71200,Technical testing and analysis,147,"broad registered-company discovery bound; may include irrelevant, inactive-trading or multi-location firms and is not a buyer count",https://api.company-information.service.gov.uk/advanced-search/companies?company_status=active&size=20&location=Manchester&sic_codes=71200,2026-09-03
active company + registered-office location + SIC,Bristol,37000,Sewerage,20,"broad registered-company discovery bound; may include irrelevant, inactive-trading or multi-location firms and is not a buyer count",https://api.company-information.service.gov.uk/advanced-search/companies?company_status=active&size=20&location=Bristol&sic_codes=37000,2026-09-03
active company + registered-office location + SIC,Bristol,43220,Plumbing heat and air-conditioning installation,636,"broad registered-company discovery bound; may include irrelevant, inactive-trading or multi-location firms and is not a buyer count",https://api.company-information.service.gov.uk/advanced-search/companies?company_status=active&size=20&location=Bristol&sic_codes=43220,2026-09-03
active company + registered-office location + company-name token,Edinburgh,CLEAN,Company name includes CLEAN,47,narrow name-based discovery result; omits firms trading under other names and does not prove service coverage or lead-buying intent,https://api.company-information.service.gov.uk/advanced-search/companies?company_status=active&size=20&location=Edinburgh&company_name_includes=CLEAN,2026-09-03
active company + registered-office location + company-name token,Edinburgh,BOILER,Company name includes BOILER,3,narrow name-based discovery result; omits firms trading under other names and does not prove service coverage or lead-buying intent,https://api.company-information.service.gov.uk/advanced-search/companies?company_status=active&size=20&location=Edinburgh&company_name_includes=BOILER,2026-09-03
active company + registered-office location + company-name token,Edinburgh,HEATING,Company name includes HEATING,103,narrow name-based discovery result; omits firms trading under other names and does not prove service coverage or lead-buying intent,https://api.company-information.service.gov.uk/advanced-search/companies?company_status=active&size=20&location=Edinburgh&company_name_includes=HEATING,2026-09-03
active company + registered-office location + company-name token,Manchester,FIRE,Company name includes FIRE,183,narrow name-based discovery result; omits firms trading under other names and does not prove service coverage or lead-buying intent,https://api.company-information.service.gov.uk/advanced-search/companies?company_status=active&size=20&location=Manchester&company_name_includes=FIRE,2026-09-03
active company + registered-office location + company-name token,Manchester,ASBESTOS,Company name includes ASBESTOS,6,narrow name-based discovery result; omits firms trading under other names and does not prove service coverage or lead-buying intent,https://api.company-information.service.gov.uk/advanced-search/companies?company_status=active&size=20&location=Manchester&company_name_includes=ASBESTOS,2026-09-03
active company + registered-office location + company-name token,Bristol,DRAIN,Company name includes DRAIN,7,narrow name-based discovery result; omits firms trading under other names and does not prove service coverage or lead-buying intent,https://api.company-information.service.gov.uk/advanced-search/companies?company_status=active&size=20&location=Bristol&company_name_includes=DRAIN,2026-09-03
active company + registered-office location + company-name token,Bristol,DRAINAGE,Company name includes DRAINAGE,10,narrow name-based discovery result; omits firms trading under other names and does not prove service coverage or lead-buying intent,https://api.company-information.service.gov.uk/advanced-search/companies?company_status=active&size=20&location=Bristol&company_name_includes=DRAINAGE,2026-09-03
