rank,city,family,format,explicit_keyword,explicit_average_monthly_searches,explicit_average_cpc_gbp,explicit_competition_index,local_geo_keyword,local_geo_average_monthly_searches,local_geo_average_cpc_gbp,local_geo_competition_index,comparative_liquidity_index_100,index_method,evidence_note,observed_at
1,London,Performance and dance,Karaoke,karaoke London,8100,0.8011,62,karaoke near me,22200,0.2368,56,99,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
2,London,Racket and team sport,Padel,padel London,8100,0.4394,15,padel near me,12100,0.2758,27,96,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
3,London,Craft and making,Pottery painting,pottery painting London,9900,0.6394,99,pottery painting near me,4400,0.5730,34,92,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
4,London,Craft and making,Pottery classes,pottery classes London,8100,1.2098,100,pottery classes near me,1600,0.7953,100,86,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
5,London,Competitive experiences,Darts,darts London,2900,1.0607,42,darts near me,3600,0.3051,43,84,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
6,London,Tabletop and games,Board-game cafes,board game cafe London,3600,0.4711,25,board game cafe near me,2400,0.2151,35,83,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
7,Manchester,Performance and dance,Karaoke,karaoke Manchester,4400,0.5881,33,karaoke near me,1900,0.1786,19,83,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
8,London,Food and drink,Cooking classes,cooking classes London,5400,1.0709,100,cooking classes near me,720,0.7315,100,80,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
9,London,Craft and making,Sip and paint,sip and paint London,6600,0.9347,100,sip and paint near me,590,0.6580,96,80,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
10,London,Food and drink,Wine tasting,wine tasting London,5400,0.9041,100,wine tasting near me,720,0.7771,100,80,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
11,Birmingham,Craft and making,Pottery painting,pottery painting Birmingham,4400,0.1579,28,pottery painting near me,880,0.0916,18,79,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
12,Manchester,Racket and team sport,Padel,padel Manchester,4400,0.4957,4,padel near me,880,0.2445,6,79,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
13,Birmingham,Performance and dance,Karaoke,karaoke Birmingham,2900,0.6023,19,karaoke near me,1000,0.4124,20,78,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
14,Bristol,Racket and team sport,Padel,padel Bristol,3600,0.3956,3,padel near me,880,0.2357,8,78,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
15,Birmingham,Racket and team sport,Padel,padel Birmingham,2900,0.2673,5,padel near me,880,0.2520,8,77,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
16,Edinburgh,Performance and dance,Karaoke,karaoke Edinburgh,2900,0.5772,20,karaoke near me,880,0.1702,18,77,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
17,Glasgow,Performance and dance,Karaoke,karaoke Glasgow,2900,0.4560,2,karaoke near me,880,0.1077,7,77,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
