returned_keyword,close_variants,matched_submitted_keywords,matched_formats,average_monthly_searches,competition,competition_index,average_cpc_gbp,low_top_of_page_gbp,high_top_of_page_gbp,monthly_search_volumes,geography,geo_criterion,language,language_criterion,network,observed_at,interpretation
bowling near me,,bowling near me,Competitive experiences: Bowling,110000,LOW,27,0.4499,0.2597,1.0473,2025-august:165000|2025-september:110000|2025-october:135000|2025-november:110000|2025-december:110000|2026-january:135000|2026-february:135000|2026-march:110000|2026-april:110000|2026-may:90500|2026-june:74000|2026-july:74000,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
sauna near me,,sauna near me,Fitness and mind-body: Sauna sessions,90500,MEDIUM,34,0.5703,0.4850,1.6436,2025-august:60500|2025-september:74000|2025-october:90500|2025-november:90500|2025-december:90500|2026-january:110000|2026-february:90500|2026-march:90500|2026-april:90500|2026-may:90500|2026-june:74000|2026-july:60500,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
pilates near me,,pilates near me,Fitness and mind-body: Pilates classes,74000,MEDIUM,48,1.1227,0.5417,1.6331,2025-august:74000|2025-september:74000|2025-october:74000|2025-november:60500|2025-december:49500|2026-january:90500|2026-february:74000|2026-march:74000|2026-april:60500|2026-may:60500|2026-june:60500|2026-july:49500,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
escape rooms near me,escape room near me,escape rooms near me|escape room near me,Tabletop and games: Escape rooms,60500,MEDIUM,47,0.9487,0.3279,0.9938,2025-august:90500|2025-september:60500|2025-october:74000|2025-november:60500|2025-december:49500|2026-january:60500|2026-february:60500|2026-march:60500|2026-april:49500|2026-may:49500|2026-june:40500|2026-july:49500,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
go karting near me,go karts near me,go karting near me|go karts near me,Competitive experiences: Go-karting,60500,MEDIUM,37,0.6462,0.2662,0.9936,2025-august:110000|2025-september:60500|2025-october:60500|2025-november:49500|2025-december:49500|2026-january:60500|2026-february:60500|2026-march:60500|2026-april:60500|2026-may:60500|2026-june:49500|2026-july:60500,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
spa day near me,spa days near me,spa day near me|spa days near me,"Wellness, spa and retreats: Spa days",60500,HIGH,100,0.5964,0.2262,0.7426,2025-august:60500|2025-september:60500|2025-october:60500|2025-november:60500|2025-december:60500|2026-january:74000|2026-february:74000|2026-march:74000|2026-april:49500|2026-may:49500|2026-june:49500|2026-july:49500,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
karaoke near me,,karaoke near me,Performance and dance: Karaoke,49500,LOW,32,0.2583,0.2635,0.7867,2025-august:49500|2025-september:40500|2025-october:49500|2025-november:49500|2025-december:60500|2026-january:49500|2026-february:40500|2026-march:49500|2026-april:49500|2026-may:49500|2026-june:49500|2026-july:49500,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
mini golf near me,,mini golf near me,Competitive experiences: Crazy golf,49500,LOW,26,0.3346,0.2945,1.0454,2025-august:110000|2025-september:49500|2025-october:49500|2025-november:33100|2025-december:33100|2026-january:40500|2026-february:49500|2026-march:49500|2026-april:60500|2026-may:60500|2026-june:49500|2026-july:74000,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
padel near me,,padel near me,Racket and team sport: Padel,49500,LOW,15,0.3852,0.3500,1.2348,2025-august:49500|2025-september:40500|2025-october:40500|2025-november:33100|2025-december:27100|2026-january:49500|2026-february:40500|2026-march:49500|2026-april:60500|2026-may:49500|2026-june:49500|2026-july:49500,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
pottery painting near me,,pottery painting near me,Craft and making: Pottery painting,40500,LOW,16,0.3083,0.3501,1.2378,2025-august:60500|2025-september:40500|2025-october:49500|2025-november:40500|2025-december:27100|2026-january:40500|2026-february:49500|2026-march:49500|2026-april:33100|2026-may:27100|2026-june:27100|2026-july:40500,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
yoga near me,,yoga near me,Fitness and mind-body: Yoga classes,40500,MEDIUM,36,1.2819,0.7117,3.2178,2025-august:40500|2025-september:49500|2025-october:40500|2025-november:40500|2025-december:33100|2026-january:49500|2026-february:40500|2026-march:40500|2026-april:33100|2026-may:33100|2026-june:33100|2026-july:33100,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
