impactId,workstreamId,actor,valueChainStep,aiDimension,mechanism,timeHorizon,impactDirection,claim,evidenceClass,supportingClaimIds,countervailingForce,leadingIndicator,commercialImplication,confidence,limitations
AI01,commercial-premises-compliance-ai,dutyholder,obligation-discovery,substitution-risk,compression,current,mixed,"AI can compress initial obligation research but cannot determine every lease duty asset condition or premises fact",inference,"C006;C008;C013;C015;C016;C017;C019;C020;C021;C024;C041;C042;C043","Versioned rules structured questions and professional escalation can bound the role","Share of obligation cases escalated and wrong-jurisdiction rate","Sell guided evidence collection and escalation rather than an automated legal answer",high,"No task-specific evaluation set exists"
AI02,commercial-premises-compliance-ai,publisher,content-production,generated-content-supply,supply-expansion,current,headwind,"Cheap generated explainers checklists and location pages remove scarcity from generic compliance content",inference,"C035;C037;C038;C045","Original enforcement data calculators provider verification and operational evidence remain scarce","Index growth and assisted enquiries for pages with versus without original inputs","Do not fund a compliance content factory as the core asset",high,"The quantity and quality distribution of new pages is unmeasured"
AI03,commercial-premises-compliance-ai,publisher,search-discovery,discovery-disruption,interface-shift,current,headwind,"Answer interfaces can satisfy generic compliance questions before a visitor reaches a publisher",inference,C046,"High-intent quote needs current provider capacity and premises-specific qualification","Generative-search impressions visits accepted leads and assisted conversion by page type","Treat content as a measured acquisition surface rather than a durable product",medium,"Click evidence is US-wide and not UK compliance-query data"
AI04,commercial-premises-compliance-ai,intermediary,provider-selection,agent-bypass-risk,interface-shift,2028,headwind,"A purchasing agent can route a well-specified job directly to a public register or known provider and bypass a thin lead seller",inference,"C014;C016;C019;C020;C021;C052","Live scope capacity insurance conflict and outcome data are not generally contained in one public register","Share of bookings initiated by agents and provider-feed coverage","Own verified operational context and completion evidence or expect lead margins to compress",medium,"No live agent-mediated provider cohort exists"
AI05,commercial-premises-compliance-ai,assessor,report-production,operating-leverage,augmentation,current,tailwind,"AI can map accepted notes and photos into structured report drafts",inference,"C035;C039;C040","Competent review and no-source-no-claim controls remain mandatory","Reviewer minutes unsupported sentences and critical-action errors","Provider productivity can improve without automating professional judgement",high,"Vendor claims are not independent outcome evidence"
AI06,commercial-premises-compliance-ai,assessment-provider,capacity,operating-leverage,compression,current,tailwind,"When reporting is half of an eight-hour job a 40 percent report-time reduction creates a 25 percent theoretical capacity uplift",derived,C054,"Travel field time demand and review can remain bottlenecks","Completed assessments per assessor day with stable defect and complaint rates","Savings exist but are smaller than the headline report-writing reduction",high,"Scenario inputs are assumed and not a provider time study"
AI07,commercial-premises-compliance-ai,software-incumbent,workflow-automation,platform-dependency,augmentation,current,headwind,"PlanRadar SafetyCulture and MaintainX already bundle document search form generation inspection records or anomaly detection",observed,"C035;C036;C037;C038","A vertical service can differentiate through responsibility provider operations and evidence quality","Feature parity win-loss and customer switching reasons","Generic AI workflow features cannot support premium standalone pricing",high,"Vendor capability statements do not prove customer adoption"
AI08,commercial-premises-compliance-ai,compliance-manager,document-ingestion,operating-leverage,compression,current,tailwind,"AI can extract dates assets findings and actions from heterogeneous reports when every field retains a source span",inference,"C041;C042;C043;C044","OCR errors and confabulation require confidence thresholds and human review","Critical-field precision and time per ingested report","Evidence ingestion is a credible wedge if it beats manual entry without losing lineage",high,"No authorised report corpus has been evaluated"
AI09,commercial-premises-compliance-ai,provider-operations-team,credential-verification,trust-liability-moat,augmentation,current,mixed,"AI can resolve names and surface likely credential matches but deterministic register checks and human approval must control routing",inference,"C014;C016;C052","Public registers scope restrictions expiries and insurance evidence support verification","Critical credential error and routing reversal rates","Credential orchestration is valuable but a false match creates concentrated liability",high,"Register access structure and refresh terms vary"
AI10,commercial-premises-compliance-ai,competent-assessor,physical-inspection,physical-world-moat,no-material-impact,current,tailwind,"AI does not remove the need to observe premises equipment systems and material condition in the physical world",inference,"C014;C016;C019;C020;C021;C024","Remote sensing and better evidence capture may reduce repeat visits in bounded cases","Field hours per completed assessment and remote-only exception rate","Physical delivery keeps qualified providers inside the value chain",high,"Future sensors may change individual checks rather than the whole duty"
