transaction_id,asset,event,event_date,consideration_or_cost,evidence_class,source_ids,strategic_rationale_or_result,interpretation_boundary
C01,PriceRunner,Klarna acquired 100 percent,2022-04-01,SEK 4.617bn total consideration,regulatory filing,S72,"Add rich product discovery comparison reviews and high-intent merchant traffic to Klarna","Historic consideration is not current value or standalone profit"
C02,PriceRunner,First-instance antitrust damages award,2026-07-01,"approximately SEK 14.3bn equivalent including separate currency awards plus interest; Klarna described 1.97bn dollars",court finding plus interested-party translation,S73;S74,"Compensation for lost revenue from unlawful search self-preferencing","Award may be appealed and collection is not confirmed"
C03,Reverb,Etsy acquisition announced,2019-07-22,USD 275m cash consideration,company announcement,S111,"Extend Etsy marketplace expertise into musical instruments","Entry value alone does not establish subsequent return"
C04,Reverb,Etsy sale completed,2025-06-02,"USD 105m cash; USD 108.2m fair-value consideration",regulatory filing,S82;S83,"Focus Etsy on core marketplace opportunities while Reverb continues standalone","Cannot subtract sale from purchase to claim investor loss without interim cash flows investment and benefits"
C05,Machinio,Liquidity Services acquisition,2018-07-10,"approximately USD 19.9m consideration including cash equity and earn-out valuation",annual report plus company history,S89,"Expand business-surplus marketplace into global equipment listings and asset data","Historic acquisition scale is not current valuation"
C06,CarOffer,CarGurus acquired remaining minority interest,2023-12-01,USD 75m purchase price for remaining interest,regulatory filing,S78,"Complete ownership of digital wholesale transaction capability","Total invested capital across stages is not represented by this final purchase"
C07,CarOffer,CarGurus wind-down and impairments,2024-01-01 to 2025-12-31,"multiple disclosed impairments including USD 115.2m goodwill in 2024 and USD 19.6m goodwill in 2025 plus USD 13.3m 2025 wind-down expenditure",regulatory filing,S78,"Transaction model judged less effective amid volatile pricing and dealer needs","Accounting charges are not identical to cash loss or total lifetime return"
C08,Houzz Shop,Commerce operation allocated to Cart.com entity under licence,current terms effective 2025-08-05,Undisclosed,observed legal terms,S87,"Cart entity acts as merchant of record and handles customer service and returns","Terms establish current responsibility not why the arrangement changed or its value"
C09,Auto Trader,Recurring retailer commercial base,FY ended 2026-03-31,"2995 pounds average monthly revenue per retailer across 13942 average forecourts",annual report and results,S55;S56,"Marketplace access data and workflow products monetise established dealer demand","Recurring revenue is not an acquisition price and cannot be copied before liquidity"
C10,Consumer Reports,Annual evidence production,current first-party page,"more than USD 30m expected annual testing and rating spend",observed first-party,S67,"Fund independent evidence across more than 10000 products and services","US nonprofit spending is a capability benchmark not a startup budget"
