claim_id,claim,evidence_class,source_ids,confidence,limitation_or_next_test
CL01,Google Ads returned 910 explicit city-service observations and 70 national-intent observations for the retained screen,observed,S01|D01|D02,high,Average searches are rounded history and close variants may be grouped
CL02,London has the largest 35-phrase sampled city basket at 40970 searches and a 16.7652 GBP weighted CPC,derived,D03,high,This is not total local-service demand and does not imply it is the best launch market
CL03,Commercial cleaning Edinburgh returned 2900 average monthly searches at 14.3222 GBP average CPC but the twelve-month series contains an April 2026 spike of 22200 and the local-geo base phrase returned only 40 with no reported average CPC,observed,D09|D10|D11|D12,high,The explicit phrase is not reliable enough to support a first build without query-quality verification
CL04,Fire risk assessment Manchester returned 260 searches at 27.1084 GBP average CPC,observed,D01,high,CPC is not lead value or organic difficulty
CL05,Lead generation companies are ineligible for their own Google Business Profiles,observed,S02,high,A genuine eligible service business may own and manage its own profile
CL06,A service-area business can have only one profile for its whole service area and should hide an address where customers are not served,observed,S03,high,Google guidance can change and category-specific enforcement varies
CL07,City pages that mainly funnel users and many unoriginal pages created for ranking can violate Google's doorway or scaled-content policies,observed,S04,high,Policy language requires case-specific application
CL08,Google AI Mode began rolling out in the UK on 28 July 2025,observed,S06,high,Availability and product behaviour continue to evolve
CL09,US browsing data found traditional-result clicks of 8 percent when an AI summary appeared versus 15 percent when it did not,observed,S08,medium,US all-query observational data is not a UK local-services causal estimate
CL10,A local-search study found AI Overviews on 15 percent of direct local-intent queries versus 92 percent informational and 97 percent hybrid queries,observed,S10,medium,The 540-query study covered six industries in three US cities
CL11,Google made generative-AI visibility reports available to all Search Console properties by 31 August 2026,observed,S07,high,The report measures visibility rather than downstream lead quality
CL12,The most detailed public UK success case found is self-reported and hides the niche domain and tenant,observed,S12,high,Absence of public audit is not proof the result is false
CL13,A public UK boiler network failure combined slow ranking progress with no replies from prospective tenants,observed,S16,medium,One anecdote cannot establish a population success rate
CL14,Bark advertises up to 80 GBP for a qualifying referred project,observed,S19,high,Up to is not an average and approval response and category rules apply
CL15,A tenant price should be set only after accepted-lead volume and value are observed for at least 90 days,inference,D06,medium,The time window is an operating recommendation rather than a market fact
CL16,The preferred end-state model is a base fee plus accepted-lead or appointment fee,inference,D05|D06,medium,Commercial validation with actual buyers is still missing
CL17,An intermediary site must make its commercial intent and lead-generation role clear,observed,S24,high,CAP guidance is not legal advice and exact presentation must be reviewed
CL18,Lead collection and sharing requires transparent privacy information and a lawful basis,observed,S25|S26,high,Consent requirements depend on purpose channel and whether later contact is direct marketing
CL19,House-clearance and skip-hire partners should be checked against the relevant waste-carrier register,observed,S29|S30,high,Registers and rules differ by UK nation
CL20,No audited representative UK rank-and-rent benchmark was found,research-gap,S12|S13|S14|S15|S16,medium,Private operator data or original interviews could change the conclusion
CL21,The earlier RESOURCE_EXHAUSTED response was a transient historical-metrics rate-limit event rather than evidence that the account had no searches left,observed,S40|S41|D09,high,Account access and service quotas can change and future calls must remain rate-limited
CL22,The seven priority local-geo baskets returned 1600 average monthly keyword-basket searches across 37 returned rows,derived,D11|D12,high,Rows and close variants overlap so the total is a workload description rather than market size
CL23,Manchester asbestos and fire-risk clusters show meaningful CPC in both explicit-city and local-geo methods,derived,D12,high,CPC indicates paid auction pressure but not buyer margin conversion or organic difficulty
CL24,Three selected marketplace operators with disclosed figures reported a combined 202477728 GBP of turnover across different account periods,derived,S45|S46|S47|D13|D14,high,This is neither current sector revenue nor a complete market estimate
CL25,Vetted reported 105859665 GBP turnover and 518 average employees for the year ended 31 December 2024,observed,S45|D13,high,Company-filed accounts were manually transcribed and do not prove Checkatrade's future performance
CL26,Bark.com Global reported 71603000 GBP turnover and an 858000 GBP operating loss for the year ended 31 December 2025,observed,S46|D13,high,Company-filed accounts were manually transcribed and period performance does not set lead values
CL27,MyBuilder reported 25015063 GBP turnover and 5668914 GBP operating profit for the year ended 31 December 2025,observed,S47|D13,high,Company-filed accounts do not reveal city-niche unit economics
CL28,Companies House supplier discovery and filing evidence establishes plausible provider supply but not service quality coverage or willingness to buy leads,inference,S43|S44|S49|D13|D14|D15,high,Buyer interviews and first-party commercial verification remain required
CL29,London leads the comparable 16-service local-geo basket while Bristol has the highest weighted CPC among the substantial non-London baskets,derived,D09|D17,high,The selected 16 services are not the complete local-services economy and do not make Bristol the universal best city
