model_id,model,unit_purchased,best_buyer,best_vertical,economic_advantage,operational_requirement,principal_risk,stage,evidence_class
M01,qualified_call,connected_call,single_van_urgent_trade,drainage_and_emergency_repairs,"Closest to urgent intent and easy to audit",recording_disclosure_duration_and_exclusion_rules,"Missed calls duplicates and dispute cost",validate,inference
M02,exclusive_accepted_lead,accepted_contact,planned_trade,boilers_surveys_and_roofing,"Buyer avoids a public marketplace race",validation_consent_and_single-buyer_delivery,"High price exposes every quality defect",validate,inference
M03,shared_accepted_lead,accepted_contact,price_sensitive_trade,commodity_repairs,"Higher publisher yield from one acquisition",explicit_sharing_consent_and_buyer_cap,"Consumer harm buyer fatigue and low close rates",avoid_or_restrict,inference
M04,attended_appointment,attended_survey,home_improvement_sales_team,high_ticket_installation,"Monetises qualification and attendance work",calendar_confirmation_reminders_and_replacement_policy,"No-shows and buyer sales quality become publisher disputes",validate,inference
M05,completed_quote,submitted_quote,regional_specialist,commercial_and_planned_work,"Objective downstream milestone",CRM_or_manual_buyer_confirmation,"Slow feedback and gaming",scale,inference
M06,won_job_fee,confirmed_sale,capable_partner,high_ticket_installation,"Strong outcome alignment",revenue_audit_attribution_window_and_contract,"Buyer under-reporting and long cash cycle",mature,inference
M07,revenue_share,collected_job_revenue,strategic_partner,high_margin_services,"Upside tracks actual customer value",payment_data_refunds_and_audit_rights,"Operational dependency and accounting complexity",mature,inference
M08,gross_profit_share,verified_gross_profit,owned_or_deep_partner,installation_and_remediation,"Aligns to contribution rather than headline revenue",job_cost_data_and_shared_definition,"Intrusive data request and inconsistent costing",advanced,inference
M09,fixed_territory_rent,monthly_access,stable_local_buyer,proven_local_cell,"Predictable billing and simple collection",ninety_day_cohort_history_and_service_levels,"Underpricing upside or tenant churn after variance",mature,inference
M10,base_plus_usage,monthly_base_plus_event,regional_buyer,multi-service,"Covers fixed publishing cost while preserving alignment",metered_events_and_invoice_reconciliation,"More complex sale",mature,inference
M11,minimum_commitment,monthly_event_floor,multi_branch_buyer,high-volume_categories,"Finances capacity and protects downside",forecasting_caps_and_make-good_rules,"Buyer pays for unused capacity",scale,inference
M12,prepaid_credit_pack,credits_spent_per_event,small_trade,mixed_low-volume_services,"Cash before delivery and buyer budget control",credit_ledger_expiry_and_refund_policy,"Credit opacity repeats marketplace distrust",validate,inference
M13,dynamic_auction,lead_unlock,large_buyer_pool,variable_job_value,"Prices scarcity and buyer demand",liquidity_bid_rules_and_fraud_control,"Race-to-contact and poor consumer experience",platform,inference
M14,category_subscription,monthly_category_access,trade_with_repeat_capacity,medium-volume_service,"Simple recurring product",fair-use_and_geography_limits,"Adverse selection and overuse",scale,inference
M15,tiered_membership,profile_and_lead_allowance,verified_trade,broad_trades,"Monetises identity trust and access",screening_reviews_and_member_success,"Directory value collapses without consumer demand",platform,inference
M16,sponsored_profile,ranking_or_placement,established_provider,considered_services,"High-margin media inventory",clear_ad_labelling_and_relevance,"Trust loss and regulatory risk",platform,inference
M17,verified_profile_saas,identity_and_profile,regulated_or_credentialed_provider,fire_asbestos_and_building,"Recurring fee tied to compliance utility",credential_expiry_and_audit_trail,"Verification liability",scale,inference
M18,review_and_reputation_saas,review_workflow,local_business,multi-vertical,"Retention independent of lead volume",review_provenance_and_platform_integrations,"Fake-review and moderation exposure",scale,inference
M19,call_tracking_resale,number_and_attribution,buyer_or_agency,urgent_services,"Embedded measurement increases switching cost",KYC_recording_consent_and_usage_billing,"Telecom costs and compliance",scale,inference
M20,lead_routing_saas,delivery_workflow,agency_or_network,multi-territory,"Software margin and data advantage",API_rules_retry_logs_and_buyer_contracts,"Operational failure drops revenue-critical leads",advanced,inference
M21,quote_and_invoice_saas,workflow_seat,small_trade,planned_work,"Moves product into daily operations",excellent_product_and_support,"Crowded software market",advanced,inference
M22,consumer_membership,annual_household_access,repeat_homeowner,broad_home_services,"Direct revenue reduces seller dependence",credible_benefits_and_support,"Low repeat frequency",platform,inference
M23,customer_connection_fee,consumer_transaction,task_marketplace,small_tasks,"Charges demand side at moment of match",liquid_supply_and_clear_total_price,"Drip-pricing and abandonment",platform,inference
M24,transaction_take_rate,completed_payment,tasker_or_installer,bookable_services,"Captures more value and observes outcomes",payments_disputes_refunds_and_worker_status_controls,"Capital and support intensity",platform,inference
M25,deposit_or_booking_fee,confirmed_slot,urgent_or_scheduled_provider,boilers_and_repairs,"Reduces no-shows and proves intent",payments_reschedule_and_refund_rules,"Consumer resistance and liability",advanced,inference
M26,warranty_or_protection_fee,covered_job,verified_provider,high_trust_home_improvement,"Trust product can lift conversion",insurance_or_contractual_backing_and_claims,"Claims tail and regulatory perimeter",advanced,inference
M27,affiliate_project_bounty,accepted_project,large_marketplace,broad_categories,"Immediate monetisation without buyer sales",programme_compliance_and_acceptance_tracking,"Platform dependence and opaque rejection",validate,inference
M28,affiliate_product_or_finance,completed_referral,consumer_audience,boilers_energy_and_home,"Monetises adjacent decisions",permissions_disclosure_and_relevance,"Financial-promotion and trust risk",restrict,inference
M29,procurement_intelligence_pack,unlocked_contract_pack,B2B_contractor,commercial_construction,"Public data becomes actionable research",source_lineage_taxonomy_and_freshness,"Opportunity is public and may be late",validate,inference
M30,tender_alert_subscription,alert_feed,commercial_supplier,facilities_and_construction,"Recurring information product",complete_sources_filters_and_low_noise,"Commodity data and alert fatigue",scale,inference
M31,exclusive_area_agency,managed_pipeline,regional_trade,home_improvement,"Higher contract value and strong alignment",ads_content_CRM_and_capacity_management,"Service intensity limits margin",validate,inference
M32,managed_SEO_retainer,organic_visibility,trade_business,considered_services,"Buyer owns the demand asset",delivery_proof_and_no_conflicting_assets,"Competes with asset ownership thesis",adjacent,inference
M33,white_label_wholesale,lead_or_call,marketing_agency,multi-vertical,"Agency supplies distribution and volume",source_transparency_client_boundaries_and_margin_room,"Disintermediation",scale,inference
M34,franchise_platform_fee,territory_and_system,franchise_network,repeatable_trade,"Combines brand software and allocation",franchise_economics_manual_and_territory_governance,"Premature complexity",advanced,inference
M35,data_benchmark_subscription,market_dashboard,regional_operator,pricing_and_capacity,"First-party cohort data becomes a product",anonymisation_sample_quality_and_regular_updates,"Thin samples create false precision",advanced,inference
M36,conversion_API,qualified_event_feed,platform_or_enterprise,large_categories,"Machine-to-machine distribution reduces unit sales cost",schema_uptime_consent_and_reconciliation,"Commodity pricing and dependency",advanced,inference
