impactId,workstreamId,actor,valueChainStep,aiDimension,mechanism,timeHorizon,impactDirection,claim,evidenceClass,supportingClaimIds,countervailingForce,leadingIndicator,commercialImplication,confidence,limitations
PAI01,product-aggregator-ai-retrofit,buyer,discovery,discovery-disruption,interface-shift,current,headwind,"Conversational shopping can compress research and comparison into one interface",observed,"S59","Specialist purchases still require validation and fulfilment","Share of qualified actions initiated by AI referrals","Generic comparison visits and affiliate clicks are exposed",high,"Platform availability does not establish UK adoption or conversion"
PAI02,product-aggregator-ai-retrofit,merchant,catalogue-distribution,agent-bypass-risk,interface-shift,current,headwind,"Merchants can provide product feeds directly to agent platforms",observed,"S58;S59;S60","Independent evidence may still influence the decision","Merchant feed coverage and agent-originated checkout share","Feed-only intermediaries can be absent from the measurable path",high,"Commercial compensation and UK coverage remain unsettled"
PAI03,product-aggregator-ai-retrofit,publisher,content-production,generated-content-supply,supply-expansion,current,headwind,"Cheap generated descriptions and guides expand the supply of commodity product content",inference,"S57;S23","Search policies penalise scaled low-value output and buyers may prefer trusted evidence","Index growth versus assisted actions for generic pages","Generic editorial loses scarcity and may cost more to maintain than it earns",high,"The size of the supply increase is not measured here"
PAI04,product-aggregator-ai-retrofit,merchant,product-data,trust-liability-moat,new-demand,current,mixed,"Generated product text and images create provenance and labelling work",observed,"S57","Machine-readable labels do not prove factual accuracy","Merchant Center rejections and product-data correction rate","Provenance and review controls become operating requirements",high,"Merchant Center rules do not cover every channel"
PAI05,product-aggregator-ai-retrofit,operator,feed-operations,operating-leverage,augmentation,current,tailwind,"AI can propose normalisation mappings and detect catalogue discrepancies",inference,"S57;S60","Every mapping still needs source-aware validation","Minutes per verified product update and escaped-error rate","Labour can fall if error rates do not rise",medium,"No first-party productivity cohort exists"
PAI06,product-aggregator-ai-retrofit,operator,decision-product,proprietary-data-potential,new-demand,2028,tailwind,"Original tests compatibility rules and outcome evidence become more valuable than generated summaries",inference,"S23;S57;S59","Incumbents can fund similar evidence and some attributes remain public","Repeat use corrections citations and paid use of original fields","Invest upstream in evidence that agents can consume but cannot invent",medium,"Demand and willingness to pay for the data are unproven"
PAI07,product-aggregator-ai-retrofit,installer,fulfilment,physical-world-moat,no-material-impact,2028,tailwind,"Surveys installation servicing and local capacity remain physical",inference,"S59","Agents can improve routing and may connect buyers directly","Accepted installed-project leads and completion rate","Quote-led lanes remain more durable than pure link referral",high,"Physical delivery can still be low-margin and operationally costly"
PAI08,product-aggregator-ai-retrofit,buyer,recommendation,trust-liability-moat,new-demand,2028,tailwind,"Synthetic reviews tests and installation images increase the value of disclosed provenance",inference,"S57","Strong merchant brands and platform guarantees may capture the trust layer","Buyer use of methodology and provenance fields","Verified evidence can differentiate if it changes action",medium,"No buyer study for this vertical has been conducted"
PAI09,product-aggregator-ai-retrofit,merchant,commercial-relationship,relationship-moat,no-material-impact,2028,tailwind,"Feed rights attribution terms and exclusive offers still require merchant relationships",inference,"S60;S41","Large platforms may secure better direct integrations","Feed continuity exclusive inventory and non-last-click agreements","Commercial access matters more as public content commoditises",medium,"No merchant interviews or negotiated terms exist"
PAI10,product-aggregator-ai-retrofit,operator,distribution,platform-dependency,interface-shift,2030,headwind,"Reliance on search rankings affiliate cookies or one agent leaves the business exposed",inference,"S41;S59","Direct brand saved projects email and multi-interface distribution reduce concentration","Revenue share by platform and direct-return cohort","Diversify before any single interface controls the buyer",high,"Future platform shares are unknown"
PAI11,product-aggregator-ai-retrofit,operator,strategy,defensibility-2028,no-material-impact,2028,tailwind,"A narrow decision system can remain useful if it owns evidence compatibility and service outcomes",inference,"PAI05;PAI06;PAI07;PAI09","Horizontal platforms and retailers can copy visible features","Share of recommendations using non-public or originally measured inputs","Proceed only as an evidence and project company",medium,"The moat depends on successful accumulation rather than current possession"
PAI12,product-aggregator-ai-retrofit,operator,content-production,substitution-risk,replacement,2028,headwind,"A generic buying-guide and comparison-page operation can be reproduced without the proposed publisher",inference,"S57;S59","Brand trust and original testing can preserve some direct use","Organic visits and assisted revenue to pages without original inputs","Do not finance commodity page production as the core asset",high,"The timing and category variation are uncertain"
