city,format,intent,submitted_keyword,returned_keyword,close_variants,grouped_submitted_keywords,grouped_by_google,average_monthly_searches,competition,competition_index,average_cpc_gbp,low_top_of_page_gbp,high_top_of_page_gbp,monthly_search_volumes,geography_method,interpretation,observed_at
Manchester,Darts,discovery,darts near me,darts near me,,darts near me,no,320,MEDIUM,33,0.2506,0.2636,0.6071,2025-august:260|2025-september:210|2025-october:260|2025-november:320|2025-december:480|2026-january:720|2026-february:480|2026-march:390|2026-april:390|2026-may:260|2026-june:170|2026-july:260,generic_query_inside_local_geo_target,One submitted phrase mapped to this returned observation,2026-09-03
Manchester,Darts,event_booking,darts events near me,darts events near me,,darts events near me,no,10,LOW,0,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:0|2026-april:10|2026-may:0|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,One submitted phrase mapped to this returned observation,2026-09-03
Manchester,Darts,repeat_programme,darts league near me,darts league near me,,darts league near me,no,10,LOW,14,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:20|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,One submitted phrase mapped to this returned observation,2026-09-03
Manchester,Darts,beginner_or_adult,darts club near me,darts club near me,,darts club near me,no,10,LOW,2,0.0000,0.0000,0.0000,2025-august:10|2025-september:0|2025-october:10|2025-november:10|2025-december:20|2026-january:30|2026-february:20|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,One submitted phrase mapped to this returned observation,2026-09-03
Manchester,Darts,group_or_corporate,darts team building,darts team building,,darts team building,no,10,UNSPECIFIED,0,0.0000,0.0000,0.0000,2025-august:0|2025-september:0|2025-october:0|2025-november:0|2025-december:0|2026-january:0|2026-february:10|2026-march:0|2026-april:0|2026-may:0|2026-june:0|2026-july:0,generic_query_inside_local_geo_target,One submitted phrase mapped to this returned observation,2026-09-03
Manchester,Line dancing,discovery,line dancing near me,line dancing near me,,line dancing near me,no,70,LOW,6,0.0000,0.0000,0.0000,2025-august:90|2025-september:140|2025-october:70|2025-november:50|2025-december:50|2026-january:90|2026-february:70|2026-march:70|2026-april:50|2026-may:90|2026-june:90|2026-july:70,generic_query_inside_local_geo_target,One submitted phrase mapped to this returned observation,2026-09-03
Manchester,Line dancing,event_booking,line dancing events near me,line dancing events near me,,line dancing events near me,no,10,UNSPECIFIED,0,0.0000,0.0000,0.0000,2025-august:0|2025-september:10|2025-october:0|2025-november:0|2025-december:10|2026-january:0|2026-february:10|2026-march:0|2026-april:0|2026-may:10|2026-june:10|2026-july:0,generic_query_inside_local_geo_target,One submitted phrase mapped to this returned observation,2026-09-03
Manchester,Line dancing,repeat_programme,line dancing classes near me,line dancing classes near me,,line dancing classes near me,no,70,LOW,6,0.0000,0.0000,0.0000,2025-august:90|2025-september:140|2025-october:70|2025-november:50|2025-december:50|2026-january:90|2026-february:70|2026-march:70|2026-april:50|2026-may:90|2026-june:90|2026-july:70,generic_query_inside_local_geo_target,One submitted phrase mapped to this returned observation,2026-09-03
Manchester,Line dancing,beginner_or_adult,beginner line dancing near me,beginner line dancing near me,,beginner line dancing near me,no,0,UNSPECIFIED,0,0.0000,0.0000,0.0000,2025-august:0|2025-september:0|2025-october:0|2025-november:0|2025-december:0|2026-january:0|2026-february:0|2026-march:0|2026-april:0|2026-may:0|2026-june:0|2026-july:0,generic_query_inside_local_geo_target,One submitted phrase mapped to this returned observation,2026-09-03
Manchester,Line dancing,group_or_corporate,line dancing workshop,line dancing workshop,,line dancing workshop,no,10,UNSPECIFIED,0,0.0000,0.0000,0.0000,2025-august:0|2025-september:0|2025-october:0|2025-november:10|2025-december:0|2026-january:0|2026-february:0|2026-march:0|2026-april:10|2026-may:0|2026-june:0|2026-july:0,generic_query_inside_local_geo_target,One submitted phrase mapped to this returned observation,2026-09-03
Manchester,Salsa,discovery,salsa dancing near me,salsa dancing near me,,salsa dancing near me,no,10,LOW,9,0.0000,0.0000,0.0000,2025-august:10|2025-september:20|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,One submitted phrase mapped to this returned observation,2026-09-03
Manchester,Salsa,event_booking,salsa events near me,salsa events near me,,salsa events near me,no,10,UNSPECIFIED,0,0.0000,0.0000,0.0000,2025-august:10|2025-september:0|2025-october:0|2025-november:0|2025-december:0|2026-january:0|2026-february:0|2026-march:10|2026-april:0|2026-may:10|2026-june:10|2026-july:0,generic_query_inside_local_geo_target,One submitted phrase mapped to this returned observation,2026-09-03
