city,family,format,submitted_keyword,grouped_submitted_keywords,returned_keyword,close_variants,average_monthly_searches,competition,competition_index,average_cpc_gbp,low_top_of_page_gbp,high_top_of_page_gbp,monthly_search_volumes,geography_method,observed_at
London,Competitive experiences,Darts,darts London,darts London,darts london,darts London,2900,MEDIUM,42,1.0607,0.3715,1.1839,2025-august:2400|2025-september:2900|2025-october:3600|2025-november:3600|2025-december:4400|2026-january:4400|2026-february:2900|2026-march:2400|2026-april:1900|2026-may:1900|2026-june:1300|2026-july:1300,explicit_city_query_under_uk_target,2026-09-03
London,Performance and dance,Line dancing,line dancing London,line dancing London,line dancing london,line dancing London,1300,MEDIUM,43,1.3618,0.2880,1.4757,2025-august:1300|2025-september:1600|2025-october:1600|2025-november:1300|2025-december:1000|2026-january:1600|2026-february:1300|2026-march:1600|2026-april:1300|2026-may:1300|2026-june:1000|2026-july:1000,explicit_city_query_under_uk_target,2026-09-03
London,Performance and dance,Salsa classes,salsa classes London,salsa classes London,salsa classes london,salsa classes London,1600,HIGH,76,0.8614,0.2759,0.8382,2025-august:1600|2025-september:1600|2025-october:1600|2025-november:1300|2025-december:1300|2026-january:1900|2026-february:1900|2026-march:1600|2026-april:1300|2026-may:1300|2026-june:1300|2026-july:1300,explicit_city_query_under_uk_target,2026-09-03
London,Tabletop and games,Board-game cafes,board game cafe London,board game cafe London,board game cafe london,board game cafe London,3600,LOW,25,0.4711,0.2084,0.5987,2025-august:3600|2025-september:3600|2025-october:4400|2025-november:4400|2025-december:2900|2026-january:5400|2026-february:4400|2026-march:3600|2026-april:2400|2026-may:2400|2026-june:2400|2026-july:1900,explicit_city_query_under_uk_target,2026-09-03
London,Craft and making,Pottery painting,pottery painting London,pottery painting London,pottery painting london,pottery painting London,9900,HIGH,99,0.6394,0.3090,0.6747,2025-august:9900|2025-september:8100|2025-october:9900|2025-november:9900|2025-december:8100|2026-january:12100|2026-february:12100|2026-march:9900|2026-april:8100|2026-may:6600|2026-june:6600|2026-july:8100,explicit_city_query_under_uk_target,2026-09-03
London,Craft and making,Pottery classes,pottery classes London,pottery classes London,pottery classes london,pottery classes London,8100,HIGH,100,1.2098,0.4250,1.2086,2025-august:6600|2025-september:8100|2025-october:8100|2025-november:8100|2025-december:8100|2026-january:9900|2026-february:9900|2026-march:8100|2026-april:6600|2026-may:5400|2026-june:5400|2026-july:5400,explicit_city_query_under_uk_target,2026-09-03
London,Tabletop and games,Dungeons & Dragons,dungeons and dragons London,dungeons and dragons London,dungeons and dragons london,dungeons and dragons London,1000,LOW,7,0.8999,0.2178,0.9685,2025-august:1300|2025-september:1000|2025-october:1300|2025-november:1300|2025-december:1000|2026-january:1300|2026-february:880|2026-march:880|2026-april:880|2026-may:720|2026-june:720|2026-july:720,explicit_city_query_under_uk_target,2026-09-03
London,Craft and making,Sewing classes,sewing classes London,sewing classes London,sewing classes london,sewing classes London,1600,HIGH,100,0.9611,0.3192,1.1746,2025-august:1900|2025-september:1900|2025-october:1900|2025-november:1600|2025-december:1600|2026-january:2400|2026-february:1600|2026-march:1900|2026-april:1600|2026-may:1600|2026-june:1600|2026-july:1600,explicit_city_query_under_uk_target,2026-09-03
London,Food and drink,Wine tasting,wine tasting London,wine tasting London,wine tasting london,wine tasting London,5400,HIGH,100,0.9041,0.3510,1.1240,2025-august:5400|2025-september:5400|2025-october:6600|2025-november:6600|2025-december:6600|2026-january:5400|2026-february:5400|2026-march:5400|2026-april:4400|2026-may:4400|2026-june:4400|2026-july:4400,explicit_city_query_under_uk_target,2026-09-03
London,Performance and dance,Acting classes,acting classes London,acting classes London,acting classes london,acting classes London,2900,HIGH,71,3.1965,0.9330,2.5029,2025-august:2900|2025-september:4400|2025-october:2900|2025-november:2900|2025-december:2400|2026-january:4400|2026-february:2400|2026-march:2900|2026-april:2400|2026-may:1900|2026-june:1900|2026-july:1900,explicit_city_query_under_uk_target,2026-09-03
