lane,jurisdiction,dutyholderOrTrigger,requiredOutcome,externalPaidProvision,competenceOrAccreditation,cadenceOrTrigger,aiBoundary,sourceIds,evidenceClass,limitations
fire-risk-assessment,England,"Responsible person for most non-domestic premises","Suitable and sufficient recorded assessment; precautions; regular review","Conditional: simple low-risk premises may be self-assessed; competent help is needed where expertise or time is absent","Competence matched to premises; government prefers registered or third-party-certified assessors for external appointments","Regular review and material-change triggers; no universal annual purchase stated","AI may structure notes and draft actions but cannot observe all premises conditions or inherit the responsible person's duty","S02;S03;S43",observed,"Premises risk and responsible-person allocation require case-specific analysis"
fire-risk-assessment,Wales,"Responsible person under the Fire Safety Order","Assessment precautions records and regular review","Conditional: competent self-assessment is possible; third-party certification is recommended when appointing externally","Competence and third-party certification recommended","Regular review and change triggers","Jurisdiction-aware assistance only; final adequacy and responsibility remain human",S04,observed,"Welsh guidance must be applied rather than assuming England wording"
fire-risk-assessment,Scotland,"Employer or other dutyholder with control of non-domestic premises","Assess fire risk and implement appropriate measures","Conditional: external suitably qualified help where internal capability is insufficient","Scottish guidance recommends registered or third-party-certified assessors","Review when no longer valid and under applicable guidance","AI cannot replace premises-specific assessment; generic assessment is explicitly insufficient",S05,observed,"Fire Scotland Act and regulations differ from England and Wales"
fire-risk-assessment,Northern-Ireland,"Employer owner or occupier responsible for non-domestic premises","Suitably competent person completes and reviews assessment","Conditional: small uncomplicated businesses can use guidance; complex premises need specialist help","Suitably competent person matched to complexity","Regular review and significant-change triggers","AI can assist documentation but cannot create competence or conduct a complete physical assessment",S06,observed,"Northern Ireland order and regulations differ from Great Britain"
asbestos-duty-to-manage,Great-Britain,"Owner landlord tenant or managing agent with maintenance or repair responsibility for non-domestic premises","Determine presence and condition; assess and manage risk; maintain register and plan where applicable","Often but not universally: dutyholder can use existing reliable information; intrusive knowledge and sampling need competent providers","HSE strongly recommends UKAS-accredited survey organisations; sample analysis must be accredited","Initial determination; building-work and condition-change triggers; ongoing management and monitoring","AI may index registers and plans; it cannot inspect concealed material take samples or perform accredited analysis","S08;S09",observed,"The lease and planned work change the duty and survey type"
portable-electrical-equipment,Great-Britain,"Employer or controller of work equipment","Maintain electrical equipment to prevent danger","Not structurally required for every annual PAT cycle","Competence proportionate to inspection or test","Risk-based rather than a universal annual test","AI can schedule risk-based checks and detect missing records; it must not invent a statutory annual requirement",S10,observed,"Fixed installations and high-risk environments need separate treatment"
gas-safety,Great-Britain,"Employer landlord or controller depending on fitting and premises","Safe installation maintenance and work by qualified people","Required for covered gas work: unregistered AI or general staff cannot perform it","Gas Safe registration and correct qualification for the work","Maintenance and checks depend on context; residential landlord annual rules do not map wholesale to non-residential premises","AI can extract asset records schedule work and prefill jobs; physical gas work remains registered work",S11,observed,"Industrial plant and landlord arrangements can invoke different rules"
legionella-control,United-Kingdom,"Employer or person in control of premises and water systems","Assess risk; appoint competent responsible person; control monitor record and review where risk exists","Conditional: competent internal personnel may act; contractors do not remove dutyholder responsibility","Sufficient authority skills knowledge and system experience; external scheme may help supplier selection","Periodic and change-based; no universal certificate or fixed annual cycle for ordinary landlord systems","AI may flag temperature anomalies and missing checks but cannot infer unobserved pipework or certify system control","S12;S13;S44",observed,"Complex cooling healthcare and spa systems have materially different risk"
lifting-equipment,Great-Britain,"Business owning operating or controlling lifting equipment used at work","Thorough examination and written reporting by a competent person in covered cases","Usually creates external or independent competent-person spend although an adequately independent in-house person can qualify","Practical and theoretical knowledge experience independence and impartiality","Normally six months for equipment lifting people and accessories; twelve months for other lifting equipment or an examination scheme","AI may schedule reconcile defects and draft notifications; it cannot perform the physical examination or independently judge defect severity",S14,observed,"Not all transport equipment is LOLER lifting equipment; exceptional events add examinations"
pressure-systems,Great-Britain,"Owner or user of qualifying pressure equipment","Written scheme before use and examinations under that scheme","Strong external-spend lane where in-house independence and competence are unavailable","Competent person with authority expertise and independence","Scheme-defined and before operation plus required examinations","AI may retrieve the scheme compare readings and track due work; competent person retains scheme and examination responsibility",S15,observed,"Only qualifying systems and relevant fluids are covered"
non-domestic-epc-and-mees,England-and-Wales,"Seller landlord or developer when EPC trigger applies; covered private non-domestic landlord for MEES","Valid EPC from accredited assessor; covered rented property generally at least EPC E or valid exemption","Accredited assessor is required for EPC; improvement work depends on rating coverage cost effectiveness and exemptions","Accredited non-domestic energy assessor directs and verifies evidence collection","EPC and transaction triggers; current MEES E; proposed larger-building EPC B from 2031 is not yet law","AI may extract plans and model options but remote lodgement without assessor-directed verified data is unacceptable","S16;S17;S18;S42",observed,"Scotland and Northern Ireland have separate regimes; 2031 proposal depends on legislation"
