operator,archetype,home_market,geographic_shape,consumer_job,primary_payer,observed_revenue_layers,observed_price_or_scale,current_evidence,evidence_class,source_ids,commercial_read,known_unknown
Dinners With Friends,hosted friendship dining,UK regional,Devon-led local network,Meet people over hosted platonic dinners,attendee,seat credits; food paid to venue,"15 credits typical reservation; groups commonly 10-12",live product and events,observed first-party,S02;S03;S05,Human host is the trust layer and dinner is the container,repeat rate and profit
Timeleft,managed social calendar,France/global,200-plus claimed cities,Outsource a recurring social life,member; brand,subscription; events; brand activation,"3m-plus claimed members; 200-plus cities",live product and terms,observed first-party claim,S10;S12;S15,City liquidity and continuous inventory make subscription useful,UK price city contribution and retention
222,algorithmic social network,US multi-city,ten cities at funding announcement,Curated IRL encounters and activities,member; venue,subscription; venue economics,"$10.1m Series A reported",active investor profile,attributed private-company claim,S69;S70,Venture model depends on fast city replication and data network,cohort economics and current revenue
Thursday,event-first dating,UK/global,claimed 180-plus cities,Meet singles in person on a fixed night,attendee; investor,tickets; premium formats; trips,"selected London tickets £18-£25",live events and fundraising page,observed plus promotional,S31;S32;S71,Clear romantic intent creates strong acquisition and difficult composition risk,attendance profit and projected revenue
Bored of Dating Apps,event-first dating,UK multi-city,multi-city event programme,Escape dating apps at singles events,attendee,tickets; partnerships,price varies,live event inventory,observed first-party,S34,Brand turns app fatigue into an event proposition,repeat and unit economics
Original Dating,speed dating,UK multi-city,London-led city inventory,Meet multiple singles efficiently,attendee,tickets,price varies by listing,live inventory,observed first-party,S35,Established legible format competes on inventory and execution,attendance mix and profit
Tinder Events,dating incumbent IRL,global platform,selected markets and venue events,Move from profile discovery to a live encounter,user; partner,tickets; subscription adjacency; venue partnership,free and ticketed events,live help and event product,observed first-party,S22;S23;S24,Existing identity and demand graph lowers the event cold start,event adoption and economics
Bumble BFF,friendship incumbent,global platform,market-specific rollout,Discover groups and friendship activity,user,subscription adjacency; groups; events,BFF revenue not material in 2025,live product and annual report,regulatory plus first-party,S26;S27;S29,Groups can turn friend matching into persistent inventory,UK adoption and monetisation
Eventbrite,event marketplace,global,millions of events,Discover and transact for third-party events,organiser; attendee,ticket fee; organiser tools,"UK service fee 6.95% + £0.59; optional organiser fee",live pricing and filing,regulatory plus first-party,S36;S37,Infrastructure benchmark and distribution channel rather than managed outcome,social-event segment economics
Meetup,community platform,global,local user-created groups,Find and organise recurring communities,organiser; member,organiser subscription; dues; event fees,"Standard from $29.99 monthly",live pricing,observed first-party,S40,Organisers create supply but quality and continuity fragment,group-level activity and economics
Locals,creator community platform,global,creator-owned communities,Monetise community membership and gatherings,creator; member,SaaS; subscription take rate; events,"Pro $69.99 monthly plus 3% transaction fee",live pricing,observed first-party,S41;S42,Useful owned-community tooling with creator risk,vertical adoption
Lectures on Tap,intellectual nightlife,US multi-city,nine live and three announced cities,Have an interesting night and meet curious people,attendee; member,tickets; access membership; future media,"$49.99 monthly; 50 members per city; tickets excluded",live product and press,observed plus founder-reported,S75;S76;S77;S78,Content carries acquisition while status and access monetise superfans,attendance margin retention and member fill
Seed Talks,expert talks and learning,UK multi-city,extensive city touring plus online,Learn from experts in relaxed venues,attendee; professional,tickets; VIP; online; recordings; courses; CPD; gift cards,"tickets usually from £15; 1,000-plus talks claimed",live product and pricing,observed first-party,S81;S82;S83;S84;S85;S86,One talk becomes a reusable IP and audience asset,revenue split margins and rights cost
Pint of View,intellectual nightlife,India/international,distributed chapters in 12 Indian cities plus London and Amsterdam,Accessible expert talks in bars,attendee; chapter,tickets; nominal brand licence,"founder reports about Rs1,000 ticket and Rs1.2-1.5 crore Bengaluru revenue",founder interview,attributed private-company claim,S88,Distributed chapters trade control for low-capital reach,verified revenue and current chapter contracts
Pint of Science,volunteer science festival,UK/global,annual festival in 600-plus claimed cities,Meet scientists in local venues,attendee; sponsor,tickets; sponsorship; grants or support,"2026 UK nearly 450 events in 45 cities",live nonprofit sites,observed first-party,S89;S90,Proves format reach and a volunteer alternative to commercial cadence,full funding mix and willingness to pay year-round
Reading Rhythms,reading parties,US/global,30-plus chapters,Read quietly then connect,attendee; member; brand,tickets; memberships; sponsor; digital media; content licence; host share,"Passport $9/$19/$29 monthly; 800-plus events claimed",live product and pricing,observed first-party claims,S91;S92;S93,Low-content-cost ritual scales through local leads and becomes media inventory,member utilisation host share and chapter contribution
Knightcap Chess Club,social chess events,Canada/global,six claimed cities,Play chess in a stylish social room,attendee; brand; property,tickets; collaborations; sponsorship,"180-plus events claimed",live operator site,observed first-party claim,S94,Known game removes small-talk pressure and photographs well,pricing retention and partner economics
5x15,live ideas and media,UK/international,London-led branches and online,Encounter several ideas and speakers in one night,attendee; partner,tickets; podcast; bespoke corporate; partnerships,"1,200 speakers since 2008 claimed",live operator site,observed first-party claim,S95;S96,Multi-speaker format diversifies talent risk and feeds media,segment revenue and audience conversion
Intelligence Squared,premium ideas and debate,UK/global,London events tours and digital audience,Access elite speakers debates and archive,member; attendee; patron; partner,tickets; membership; patronage; lifetime; tours; podcasts; partnerships,"member £99.99 yearly; patron £399 yearly or £4,500 lifetime",live pricing and careers,observed first-party,S97;S98,Deep archive and prestige support high-value membership,event margin and member counts
The Moth,storytelling nonprofit,US/global,shows media and workshop network,Experience and learn personal storytelling,attendee; donor; institution,tickets; donations; memberships; media; corporate workshops,50-plus instructors claimed,live nonprofit product,observed first-party,S99,Format IP travels across stage podcast school and company,workshop rates and revenue mix
Sofar Sounds,intimate music network,global,distributed hosts and artists,Discover music in unusual local venues,attendee; artist,tickets; artist services; VIP; direct-to-fan tools,"minimum $100 artist payment; $30m-plus paid since 2020 claimed",live product,observed first-party claim,S100;S101;S102,Supply network expands beyond tickets into artist commerce,company take rate and city contribution
Daybreaker,daytime dance community,US/global,multi-city event chapters,Join sober morning dance and wellness rituals,attendee; brand,tickets; sponsorship; vendors; corporate; city partnerships,price varies,live operator site,observed first-party,S103,Distinct ritual and visual energy are sponsor-friendly,active city economics and repeat
The Offline Club,phone-free event network,Europe/global,licensed city chapters including London and New York,Spend intentional time offline with other people,attendee; city leader; employer,tickets; retreats; sponsorship; partnerships; merchandise; business events; memberships; city licence,city leaders retain a majority percentage of local earnings,live product and city-leader terms,observed first-party,S138;S139,Distinct constraint plus licensing turns a movement into a local operator system,central fee ticket economics leader retention and member count
Logging Off Club,phone-free social community,UK/international,London Cambridge Sydney and event partners,Meet offline without devices,attendee; brand; venue,event tickets; partnership routes not publicly priced,current event calendar and multi-city list,live product,observed first-party,S140,Phone-free participation is both a format and a cultural position,prices economics ownership and active chapter depth
Ocio,activity membership aggregator,UK/London,16 London neighbourhoods,Have curated after-work plans without searching,member,credit subscription; referral; partner inventory,"£42 for 38 credits; £67 for 60; £92 for 83",live launch product,observed first-party,S104,Credits can bundle varied supply without claiming one social outcome,paid conversion partner payouts breakage and retention
Liiiv,event discovery and commerce,Europe/single-city,one current city with more cities planned,Find personalised events places and experiences,user; organiser,organiser PRO subscription; ticket commission; paid promotion; external referral,free consumer app; 10k-plus Android downloads,live app site and B2B terms,observed first-party,S107;S108;S109;S110,Local discovery graph monetises organisers before charging consumers,public price list active users GMV and take rate
Fever,experience marketplace and originals,global,500-plus claimed cities across 30-plus countries,Discover and book entertainment and experiences,consumer; organiser; employer; brand,tickets; originals; private events; group booking; employee pass; gift cards; advertising; sponsorship,200k-plus experiences claimed,live business products,observed first-party claim,S119;S120,Own media plus original formats raises margin and distribution power,segment economics and take rates
ClassPass,credit activity marketplace,global,thousands of cities,Use varied fitness wellness and appointments,member; employer,credit subscription; partner spread; corporate,confidential partner floor and dynamic credits,live partner documentation,observed first-party,S117;S118,Monetises perishable capacity while protecting direct inventory,member margin by cohort and UK payout rates
Urban Sports Club,corporate sport network,Europe,multi-country venue network,Access many sports with one employee-linked membership,employer; employee,employer service fee and contribution; member payment,"€28 monthly company fee in Germany plus per-member contribution",live corporate pricing,observed first-party,S115,Employer subsidy reduces consumer CAC and funds broad network,venue payout and churn
Wellhub,corporate wellbeing network,global,employer-funded partner network,Access fitness wellness and apps as a benefit,employer; employee,employer contract; membership; partner network,15k-plus company users claimed in report,terms and company report,observed first-party claim,S116,B2B2C distribution makes wellness inventory a benefit,UK contract economics and current partner restrictions
Playtomic,racket-sport marketplace and club SaaS,global,"6,700-plus claimed clubs",Find courts matches and players,club; player,club SaaS; booking payments; memberships; courses; leagues,Standard through Master plans with price on enquiry,live pricing and help,observed first-party,S111;S112,Vertical software plus marketplace solves both utilisation and opponents,plan ARPU take rate and player retention
SweatPals,fitness-community operating system,US,city discovery network,Join and run fitness communities,host; attendee,service fee; processing; discovery commission; memberships; packs,"Starter 7% service plus processing; 20% discovery",live pricing,observed first-party,S113,Turns independent hosts into recurring community businesses,actual host distribution and net platform margin
GoodRec,managed pickup sports,US/Canada,hosted city inventory,Join a game without organising a team,attendee,per-game tickets; leagues; tournaments,1m players and 100k-plus games claimed,live product,observed first-party claim,S114,Host and facility orchestration solve the missing-player problem,price city contribution and player activity
