source_id,source_name,source_type,url,observed_at,status,supports,limitations
S01,Google Ads Generate Historical Metrics,official-documentation,https://developers.google.com/google-ads/api/docs/keyword-planning/generate-historical-metrics,2026-09-03,live-primary,Meaning and method of historical keyword metrics,Does not publish this account-specific result set
S02,Dinners With Friends homepage,operator-site,https://dinnerswithfriends.co.uk/,2026-09-03,live-primary,Current proposition locations event examples and homepage scale claims,Operator-authored claims conflict with other live pages
S03,Dinners With Friends how it works,operator-help,https://dinnerswithfriends.co.uk/how-it-works,2026-09-03,live-primary,Credit price group size booking and cancellation mechanics,Credit accounting and realised usage are undisclosed
S04,Dinners With Friends about,operator-site,https://dinnerswithfriends.co.uk/about,2026-09-03,live-primary,Founder story first-event date and participation claims,Claims conflict with homepage and event page
S05,Dinners With Friends host page,operator-site,https://dinnerswithfriends.co.uk/host,2026-09-03,live-primary,Host duties arrival time free ticket and meal contribution,Host status training attrition and full cost are unknown
S06,Dinners With Friends press page,operator-site,https://dinnerswithfriends.co.uk/press,2026-09-03,live-primary,Venue proposition and 2024 founding wording,Promotional source and not proof of venue incrementality
S07,Dinners With Friends terms,operator-terms,https://dinnerswithfriends.co.uk/terms-and-conditions,2026-09-03,live-primary,Credit cancellation cooling-off conduct and liability wording,Legal operator and company number are not clearly disclosed
S08,Dinners With Friends privacy notice,operator-privacy,https://dinnerswithfriends.co.uk/privacy,2026-09-03,live-primary,Published personal-data practices and Eventbrite reference,Effective January 2025 and appears older than current credit product
S09,Dinners With Friends example event,operator-listing,https://dinnerswithfriends.co.uk/events/voco-zeal-exeter-sep-2026,2026-09-03,live-primary,Current date capacity credits food split and event-page scale claim,One listing cannot establish realised attendance
S10,Timeleft homepage,operator-site,https://timeleft.com/,2026-09-03,live-primary,Current scale claims city list formats and positioning,First-party claims are not audited operating metrics
S11,Timeleft about,operator-site,https://timeleft.com/about/,2026-09-03,live-primary,Friendship positioning repeat and reconnect features,Does not disclose cohort retention or profitability
S12,Timeleft subscription plans,operator-help,https://help.timeleft.com/hc/en-150/articles/27963865308060-What-Subscription-Plans-Are-Available,2026-09-03,live-primary,One three and six month unlimited access structure,UK price is visible only during signup
S13,Timeleft terms,operator-terms,https://timeleft.com/terms-conditions/,2026-09-03,live-primary,Legal identity renewal no-show and non-guarantee terms,Contract wording does not prove operational performance
S14,Timeleft restaurant partner overview,operator-partner-help,https://timeleft-partners.zendesk.com/hc/en-150/articles/24266796330012-What-is-Timeleft,2026-09-03,live-primary,Restaurant proposition group size and operating split,Partner-marketing source and no incremental-cover data
S15,Timeleft brand partnerships,operator-site,https://timeleft.com/brand-partnerships/,2026-09-03,live-primary,Brand activation product and current reach claims,Claim definitions and measurement periods are not disclosed
S16,Timeleft safety guidelines,operator-safety,https://timeleft.com/safety-guidelines/,2026-09-03,live-primary,Venue reporting scam and personal-safety guidance,Published policy does not establish incident frequency or response quality
S17,Timeleft community guidelines,operator-policy,https://timeleft.com/community-guidelines/,2026-09-03,live-primary,Adult eligibility identity attendance conduct review and appeal,Published rules do not establish enforcement consistency
S18,Timeleft privacy policy,operator-privacy,https://timeleft.com/privacy-policy/,2026-09-03,live-primary,Profile matching and personal-data fields,Last updated December 2024 and older than current product policies
S19,Timeleft Google Play UK,app-store,https://play.google.com/store/apps/details?gl=UK&hl=en-GB&id=com.timeleft.app,2026-09-03,live-primary,Download band review count rating and update date,Store figures do not prove active or paying members
S20,Forbes France Timeleft founder interview,press-interview,https://www.forbes.fr/technologie/maxime-barbier-fondateur-de-timeleft-chez-nous-les-rencontres-ne-se-font-jamais-en-ligne/,2026-09-03,historical-secondary,Historical 2024 company scale and founder strategy,Outdated self-reported scale and not a current benchmark
S21,Match Group 2025 Form 10-K,regulatory-filing,https://www.sec.gov/Archives/edgar/data/891103/000089110326000025/mtch-20251231.htm,2026-09-03,live-primary,2025 total revenue direct revenue and payer movements,Global company evidence and not a UK segment view
S22,Tinder Events help,operator-help,https://www.help.tinder.com/hc/en-us/articles/43605586376461-Events,2026-09-03,live-primary,Current IRL Events feature and market availability boundary,Does not disclose event economics or attendance
S23,Tinder Events site,operator-site,https://events.tinder.com/en/events/,2026-09-03,live-primary,Venue ticket interest RSVP and post-event connection product,Operator-authored and no cohort performance data
S24,Tinder Sparks 2026,operator-press,https://uk.tinderpressroom.com/Tinder-Debuts-Inaugural-Product-Keynote-Tinder-Sparks-2026-Start-Something-New,2026-09-03,live-primary,Events pilot and product-strategy announcement,Promotional source and not evidence of user outcome
S25,Ofcom Online Nation 2025,regulator-report,https://www.ofcom.org.uk/siteassets/resources/documents/research-and-data/online-research/online-nation/2025/online-nations-report-2025.pdf,2026-09-03,historical-primary,May 2025 UK adult Tinder Hinge Bumble and Grindr audience estimates,Measurement is historical and visits do not equal paying users
S26,Bumble FY2025 results,company-results,https://ir.bumble.com/news/news-details/2026/Bumble-Inc--Announces-Fourth-Quarter-and-Full-Year-2025-Results/,2026-09-03,live-primary,2025 payer decline ARPPU movement and BFF revenue status,Global company evidence and not a UK segment view
S27,Bumble 2025 annual report,annual-report,https://s202.q4cdn.com/372973788/files/doc_downloads/2026/04/Bumble-Inc-Annual-Report-2025.pdf,2026-09-03,live-primary,BFF group organiser event and calendar strategy,Product plan does not prove adoption or monetisation
S28,Bumble BFF availability,operator-help,https://support.bumble.com/hc/en-us/articles/30781191036317-Changes-to-Bumble-For-Friends-and-Bumble-BFF-Mode,2026-09-03,live-primary,Geographic rollout distinction between new BFF and prior mode,Availability can change after observation
S29,Bumble BFF groups,operator-help,https://support.bumblebff.com/hc/en-us/articles/30291683710109-Discovering-and-joining-Groups,2026-09-03,live-primary,Group discovery and membership mechanics,Does not disclose group activity or retention
S30,Hinge One More Hour,operator-report,https://files.hinge.co/a2390d888244eb611a93c1ca6dee7f71cfd5a268.pdf/HWDT-v2-Book-Design-R2-20240624.pdf,2026-09-03,historical-primary,Recurring gathering fund and in-person community strategy,Operator-funded programme and not a startup economics benchmark
S31,Thursday homepage,operator-site,https://www.getthursday.com/,2026-09-03,live-primary,IRL dating positioning and city-count claim,Operator-authored scale is not audited
S32,Thursday London event,operator-listing,https://www.thursday.com/events/london/thursday-30-matchmaking-clapham-copy-4,2026-09-03,live-primary,Current event format audience and ticket price example,One listing is not an average price or attendance result
S33,Thursday event safety,operator-safety,https://www.getthursday.com/issue-at-an-event,2026-09-03,live-primary,Legal operator incident route and absence of background or identity checks,Policy does not establish incident frequency
S34,Bored of Dating Apps events,operator-listing,https://www.boredofdatingapps.com/event/,2026-09-03,live-primary,Current multi-city event inventory,Archive and listings do not establish paid attendance
S35,Original Dating London,operator-listing,https://www.originaldating.com/london/?d=4,2026-09-03,live-primary,Current London speed-dating inventory and operator claims,Promotional claims are not independently audited
S36,Eventbrite 2025 Form 10-K,regulatory-filing,https://www.sec.gov/Archives/edgar/data/1475115/000147511526000005/eb-20251231.htm,2026-09-03,live-primary,2025 event ticket and gross-ticket-sales scale plus acquisition status,Platform-wide scale is not the social-event segment
S37,Eventbrite UK organiser fees,platform-pricing,https://www.eventbrite.co.uk/help/en-ca/articles/755615/how-much-does-it-cost-for-organizers-to-use-eventbrite/,2026-09-03,live-primary,Current UK ticket and optional organiser fee structure,Actual allocation and taxes can vary by setup
S38,Eventbrite 2024 Dating Report,platform-report,https://www.eventbrite.com/blog/wp-content/uploads/2024/06/Eventbrite-2024-Dating-Report_Final.pdf,2026-09-03,historical-primary,Platform-reported singles-event growth and survey context,Operator-selected platform data with mixed geography
S39,Eventbrite Modern Meet Cute Index,platform-report,https://www.eventbrite.com/blog/press/newsroom/the-modern-meet-cute-index/,2026-09-03,live-primary,First-half 2026 platform trend in meet-cute language,Platform data does not represent the whole market
S40,Meetup organiser pricing,platform-pricing,https://help.meetup.com/hc/en-us/articles/28677808413197-Organizer-subscription-prices-overview,2026-09-03,live-primary,Current Standard and Pro starting prices plus group limits,Prices are denominated in USD and can vary
S41,Locals pricing,platform-pricing,https://locals.org/pricing,2026-09-03,live-primary,Current subscription and transaction-fee model,Platform claims and USD pricing are not UK category benchmarks
S42,Locals terms,platform-terms,https://locals.org/terms-of-use/read,2026-09-03,live-primary,Creator responsibility for events refunds and compliance,Terms do not establish creator outcomes
