cluster,city,submitted_keyword,grouped_submitted_keywords,returned_keyword,close_variants,average_monthly_searches,competition,competition_index,average_cpc_gbp,low_top_of_page_gbp,high_top_of_page_gbp,monthly_search_volumes,geography_method,observed_at
trade_directories,United Kingdom,checkatrade,checkatrade,checkatrade,,135000,HIGH,71,1.8668,0.9315,3.0889,2025-august:135000|2025-september:135000|2025-october:135000|2025-november:135000|2025-december:110000|2026-january:135000|2026-february:135000|2026-march:135000|2026-april:135000|2026-may:135000|2026-june:135000|2026-july:110000,platform_brand_query_under_uk_target,2026-09-03
trade_directories,United Kingdom,trustatrader,trustatrader,trustatrader,,8100,MEDIUM,63,2.0289,0.8332,2.8364,2025-august:9900|2025-september:9900|2025-october:9900|2025-november:8100|2025-december:6600|2026-january:9900|2026-february:9900|2026-march:9900|2026-april:8100|2026-may:8100|2026-june:8100|2026-july:8100,platform_brand_query_under_uk_target,2026-09-03
trade_directories,United Kingdom,rated people,rated people,rated people,,9900,HIGH,68,4.7341,2.2800,8.5474,2025-august:9900|2025-september:9900|2025-october:12100|2025-november:9900|2025-december:6600|2026-january:9900|2026-february:9900|2026-march:9900|2026-april:8100|2026-may:8100|2026-june:8100|2026-july:8100,platform_brand_query_under_uk_target,2026-09-03
trade_directories,United Kingdom,mybuilder,mybuilder,mybuilder,,22200,MEDIUM,65,1.3383,0.7155,4.1110,2025-august:18100|2025-september:22200|2025-october:18100|2025-november:18100|2025-december:14800|2026-january:22200|2026-february:22200|2026-march:22200|2026-april:22200|2026-may:22200|2026-june:22200|2026-july:18100,platform_brand_query_under_uk_target,2026-09-03
trade_directories,United Kingdom,bookabuilder,bookabuilder,bookabuilder,,1000,MEDIUM,65,2.9521,1.0090,8.5123,2025-august:1300|2025-september:1300|2025-october:1300|2025-november:1300|2025-december:880|2026-january:1300|2026-february:1000|2026-march:1000|2026-april:1000|2026-may:1000|2026-june:1000|2026-july:880,platform_brand_query_under_uk_target,2026-09-03
trade_directories,United Kingdom,hamuch,hamuch,hamuch,,480,LOW,20,3.2663,1.2382,3.1330,2025-august:590|2025-september:720|2025-october:590|2025-november:480|2025-december:390|2026-january:590|2026-february:390|2026-march:480|2026-april:480|2026-may:390|2026-june:480|2026-july:480,platform_brand_query_under_uk_target,2026-09-03
trade_directories,United Kingdom,which trusted traders,which trusted traders,which trusted traders,,8100,LOW,5,0.7784,0.6933,2.5002,2025-august:8100|2025-september:8100|2025-october:8100|2025-november:8100|2025-december:5400|2026-january:8100|2026-february:8100|2026-march:8100|2026-april:8100|2026-may:6600|2026-june:6600|2026-july:6600,platform_brand_query_under_uk_target,2026-09-03
trade_directories,United Kingdom,federation of master builders,federation of master builders,federation of master builders,,5400,LOW,20,0.5542,0.3061,2.3987,2025-august:5400|2025-september:5400|2025-october:6600|2025-november:5400|2025-december:4400|2026-january:5400|2026-february:5400|2026-march:5400|2026-april:5400|2026-may:6600|2026-june:5400|2026-july:4400,platform_brand_query_under_uk_target,2026-09-03
broad_marketplaces,United Kingdom,bark.com,bark.com,bark com,bark.com,2900,MEDIUM,52,1.5425,0.6146,5.3090,2025-august:2900|2025-september:2900|2025-october:2900|2025-november:2900|2025-december:1900|2026-january:3600|2026-february:2900|2026-march:2900|2026-april:2900|2026-may:2900|2026-june:2400|2026-july:2400,platform_brand_query_under_uk_target,2026-09-03
broad_marketplaces,United Kingdom,bark professionals,bark professionals,bark professionals,,140,MEDIUM,60,1.2232,0.6161,10.2914,2025-august:140|2025-september:140|2025-october:110|2025-november:110|2025-december:110|2026-january:170|2026-february:170|2026-march:170|2026-april:110|2026-may:110|2026-june:110|2026-july:110,platform_brand_query_under_uk_target,2026-09-03
