participant,role_in_the_chain,work_performed,value_or_revenue,minimum_evidence_needed,evidence_class,source_ids,limitations
Consumer or premises decision-maker,"Creates the request and grants access","Defines the problem property timing budget access and contact permissions","Diagnosis comparison confidence and completed work","A specific serviceable brief and permission for the disclosed handoff",observed,S99|S100|S101,"Guidance and survey evidence do not prove behaviour in every category"
Publisher or local-demand operator,"Creates and captures demand","Builds the proposition acquires traffic explains intermediary status captures consent and measures the source","Call lead appointment territory affiliate or transaction revenue","Truthful identity source attribution consent record and consumer value",observed,S24|S25|S102|S105,"The work varies materially between a small publisher and a scaled network"
SEO content and engineering team,"Builds the discovery interface","Researches the service creates useful pages maintains technical search quality and builds conversion journeys","Organic acquisition and reusable owned media","Original evidence accountable authorship technical reliability and no doorway or scaled-content abuse",observed,S04|S05|S98|S104,"Search visibility is variable and is not a completed lead or job"
Paid acquisition team,"Buys demand while organic evidence develops","Runs search or social campaigns controls geography and sends demand into tracked journeys","Fast test traffic and controllable volume","Channel cost lead source consent landing-page truth and cohort economics",observed,S01|S106,"Provider claims about campaign volume and performance remain unaudited"
Call or qualification team,"Turns an enquiry into a usable opportunity","Checks contact details ownership service fit timing and willingness to speak then books or transfers","Higher acceptance and appointment value","Script outcome call status consent and exact rejection rules",observed,S102|S108,"Human qualification adds labour cost and selected providers publish few audited cohorts"
Buyer or account manager,"Defines the commercial contract","Agrees service area capacity acceptance replacement price caps reporting and escalation","Predictable demand within operational constraints","Named economic buyer written lead definition and feedback obligation",inference,D25|S105|S106,"Buyer interviews and real contracts remain missing"
Service provider or field professional,"Scopes quotes and fulfils the job","Maintains credentials answers promptly visits or diagnoses prices the work completes it and reports outcome","Job gross contribution repeat business and referrals","Current registration insurance service radius diary capacity and job outcome",observed,S27|S28|S31|S100|S103,"Registration and willingness to receive leads do not prove workmanship or commercial fit"
Search maps or AI platform,"Mediates discovery and may sell leads directly","Ranks summarises maps verifies profiles sells ads and routes eligible local-service enquiries","Advertising revenue engagement and platform control","Current platform policy visibility and source-level attribution",observed,S02|S06|S50|S83|S84,"Availability ranking and interface behaviour change by query location and time"
Directory marketplace or comparison service,"Aggregates both sides","Vets profiles collects reviews matches requests unlocks contacts or controls booking and payment","Membership credits shortlist fees lead fees or take rate","Transparent vetting review matching pricing and dispute rules",observed,S20|S51|S53|S63|S99,"Public pricing does not reveal category-level liquidity or typical buyer return"
Trust accreditation or register operator,"Reduces information asymmetry","Checks or publishes identity competence scheme status insurance or complaint standards","Membership assurance or public-safety value","Verifiable scope status expiry and checking method",observed,S30|S58|S59|S68|S99,"A credential may be necessary without guaranteeing service quality"
Tracking routing and CRM provider,"Makes delivery and accountability possible","Attributes calls and forms applies buyer rules logs delivery manages credits and reconciles outcomes","Software subscription and operational control","Event ledger buyer rule audit trail retention controls and delivery alerts",observed,S79|S80|S81|S105,"Tooling records the process but does not create demand or provider capacity"
Regulator and consumer-protection system,"Sets and enforces market boundaries","Defines advertising privacy review consumer-rights and category-specific requirements","Trust redress and lawful market operation","Current authoritative guidance and category-specific legal review",observed,S24|S25|S88|S89|S99|S100,"Guidance is not legal advice and application depends on the facts"
