rank,family,format,archetype,primary_keyword,returned_keyword,close_variant_group,primary_average_monthly_searches,support_keyword_observations,competition,competition_index,average_cpc_gbp,peak_month,peak_searches,low_month,low_searches,peak_to_low_ratio,demand_score_20,commercial_intent_rating_5,repeatability_rating_5,social_design_rating_5,operating_ease_rating_5,revenue_depth_rating_5,eventization_headroom_rating_5,launch_potential_score_100,decision,recommended_entry_model,intent_caveat,evidence_class,evidence_coverage,largest_unknown,observed_at
1,Competitive experiences,Darts,tabletop,darts near me,darts near me,darts near me,12100,darts club near me:880,LOW,33,0.2922,2026-january,22200,2026-june,6600,3.36,20,5,5,5,4,5,4,95,priority_pilot,"recurring hosted night, ladder or league in a hospitality venue","Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
2,Performance and dance,Line dancing,social_dance,line dancing near me,line dancing near me,line dancing near me,9900,line dancing classes near me:9900,LOW,3,3.0434,2025-september,14800,2025-december,6600,2.24,18,5,5,5,4,4,4,91,priority_pilot,recurring beginner-friendly dance night in a partner venue,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
3,Performance and dance,Salsa classes,social_dance,salsa classes near me,salsa classes near me,salsa classes near me,2900,salsa dancing near me:880,LOW,19,0.7731,2025-august,3600,2026-april,2400,1.50,16,5,5,5,4,4,4,89,priority_pilot,recurring beginner-friendly dance night in a partner venue,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
4,Tabletop and games,Board-game cafes,tabletop,board game cafe near me,board game cafe near me,board game cafe near me,6600,board game cafe:12100,LOW,17,0.1821,2026-january,9900,2026-april,5400,1.83,18,5,4,5,3,5,4,88,priority_pilot,"recurring hosted night, ladder or league in a hospitality venue","Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
5,Performance and dance,Ballroom dancing,social_dance,ballroom dancing near me,ballroom dancing near me,ballroom dancing near me,1000,ballroom dance classes near me:2400,LOW,11,0.7535,2025-october,2400,2026-june,480,5.00,14,5,5,5,4,4,4,87,priority_pilot,recurring beginner-friendly dance night in a partner venue,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
6,Craft and making,Pottery painting,studio_craft,pottery painting near me,pottery painting near me,pottery painting near me,40500,pottery painting:33100,LOW,16,0.3083,2025-august,60500,2025-december,27100,2.23,20,5,4,4,2,5,4,85,strong_test,portable workshop or studio-capacity partnership before a lease,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
7,Craft and making,Pottery classes,studio_craft,pottery classes near me,pottery classes near me,pottery classes near me,14800,pottery workshop near me:1300,HIGH,90,0.6430,2026-january,22200,2026-may,9900,2.24,20,5,4,4,2,5,4,85,strong_test,portable workshop or studio-capacity partnership before a lease,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
8,Performance and dance,Bachata classes,social_dance,bachata classes near me,bachata classes near me,bachata classes near me,720,bachata near me:320,LOW,23,0.5651,2025-august,880,2026-june,480,1.83,12,5,5,5,4,4,4,85,strong_test,recurring beginner-friendly dance night in a partner venue,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
9,Performance and dance,Swing dancing,social_dance,swing dance classes near me,swing dance classes near me,swing dance classes near me,590,swing dancing near me:210,LOW,6,1.5848,2025-august,720,2026-july,390,1.85,12,5,5,5,4,4,4,85,strong_test,recurring beginner-friendly dance night in a partner venue,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
10,Performance and dance,Karaoke,participatory_performance,karaoke near me,karaoke near me,karaoke near me,49500,karaoke events near me:20,LOW,32,0.2583,2025-december,60500,2025-september,40500,1.49,20,4,3,5,4,4,4,84,strong_test,short course or recurring hosted night,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
