cluster,city,submitted_keyword,grouped_submitted_keywords,returned_keyword,close_variants,average_monthly_searches,competition,competition_index,average_cpc_gbp,low_top_of_page_gbp,high_top_of_page_gbp,monthly_search_volumes,geography_method,observed_at
edinburgh_commercial_cleaning,Edinburgh,commercial cleaning,commercial cleaning|commercial cleaners,commercial cleaning,commercial cleaners,40,LOW,30,0.0000,0.6761,34.6612,2025-august:50|2025-september:50|2025-october:40|2025-november:50|2025-december:90|2026-january:50|2026-february:40|2026-march:40|2026-april:20|2026-may:20|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
edinburgh_commercial_cleaning,Edinburgh,office cleaning,office cleaning|office cleaners,office cleaning,office cleaners,30,LOW,0,0.0000,0.0000,0.0000,2025-august:40|2025-september:40|2025-october:30|2025-november:40|2025-december:50|2026-january:30|2026-february:30|2026-march:20|2026-april:20|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
edinburgh_commercial_cleaning,Edinburgh,contract cleaning,contract cleaning,contract cleaning,,10,UNSPECIFIED,0,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:0|2025-december:0|2026-january:10|2026-february:0|2026-march:0|2026-april:0|2026-may:10|2026-june:0|2026-july:0,generic_query_inside_local_geo_target,2026-09-03
edinburgh_commercial_cleaning,Edinburgh,commercial cleaning company,commercial cleaning company,commercial cleaning company,,10,UNSPECIFIED,0,0.0000,0.0000,0.0000,2025-august:10|2025-september:0|2025-october:10|2025-november:0|2025-december:0|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:0,generic_query_inside_local_geo_target,2026-09-03
edinburgh_boiler_installation,Edinburgh,boiler installation,boiler installation|boiler installer,boiler installation,boiler installer,50,HIGH,69,9.5281,2.7854,32.0547,2025-august:70|2025-september:50|2025-october:70|2025-november:50|2025-december:40|2026-january:50|2026-february:30|2026-march:90|2026-april:20|2026-may:30|2026-june:20|2026-july:20,generic_query_inside_local_geo_target,2026-09-03
edinburgh_boiler_installation,Edinburgh,new boiler,new boiler,new boiler,,70,MEDIUM,65,13.8354,2.7876,24.4386,2025-august:140|2025-september:70|2025-october:110|2025-november:110|2025-december:50|2026-january:110|2026-february:70|2026-march:90|2026-april:50|2026-may:30|2026-june:20|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
edinburgh_boiler_installation,Edinburgh,boiler replacement,boiler replacement,boiler replacement,,70,MEDIUM,58,26.1520,6.0485,31.7120,2025-august:140|2025-september:90|2025-october:90|2025-november:140|2025-december:50|2026-january:50|2026-february:40|2026-march:50|2026-april:30|2026-may:30|2026-june:10|2026-july:30,generic_query_inside_local_geo_target,2026-09-03
edinburgh_boiler_installation,Edinburgh,combi boiler installation,combi boiler installation,combi boiler installation,,20,HIGH,77,15.0498,0.0000,0.0000,2025-august:40|2025-september:20|2025-october:30|2025-november:50|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
edinburgh_boiler_installation,Edinburgh,boiler quote,boiler quote,boiler quote,,10,HIGH,69,13.8949,7.4242,15.7186,2025-august:20|2025-september:10|2025-october:10|2025-november:20|2025-december:10|2026-january:20|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:10,generic_query_inside_local_geo_target,2026-09-03
manchester_fire_risk_assessment,Manchester,fire risk assessment,fire risk assessment,fire risk assessment,,140,HIGH,74,14.4296,4.7935,19.4299,2025-august:140|2025-september:320|2025-october:110|2025-november:170|2025-december:140|2026-january:170|2026-february:170|2026-march:110|2026-april:110|2026-may:110|2026-june:140|2026-july:110,generic_query_inside_local_geo_target,2026-09-03
