segment,example_buyer,work_profile,acquisition_pain,purchasing_unit,quality_definition,commercial_model_fit,sales_cycle,retention_driver,disqualifier,evidence_class
single_van_urgent_trade,"Independent drain engineer or emergency plumber","High urgency small-to-mid ticket variable capacity","Needs calls only when available and cannot tolerate travel waste",qualified_call,"In-area live caller with serviceable job and immediate timing",prepaid_call_pack_or_capped_pay_per_call,days,"Answer rate conversion and controllable radius","Missed-call rate or dispute admin exceeds gross margin",inference
small_planned_trade,"Two-to-five-person boiler or garage-door firm","Quotable installation and repair work","Needs scheduled survey pipeline without marketplace races",accepted_lead_or_qualified_appointment,"Contactable decision-maker correct property need timing and postcode",accepted_lead_then_base_plus_performance,weeks,"Quote attendance and won gross contribution","Buyer lacks CRM follow-up or cannot report outcomes",inference
regional_compliance_specialist,"Asbestos surveyor or fire-risk assessor","Credential-sensitive B2B and consumer jobs","Needs qualified property and duty-holder context rather than raw enquiries",qualified_appointment_or_exclusive_lead,"Correct building geography decision-maker scope and required timescale",exclusive_accepted_lead_or_revenue_share,weeks_to_months,"Compliance quality repeat portfolios and evidence trail","Publisher makes professional or safety claims it cannot substantiate",inference
home_improvement_sales_team,"Roofing window solar insulation or heat-pump installer","High ticket survey-led sale with field closers","Needs enough booked appointments to utilise sales capacity",booked_and_attended_appointment,"Budget-qualified owner decision-makers present address verified",appointment_fee_or_base_plus_sale_bonus,weeks,"Attendance close rate cancellation replacement and cohort payback","Install capacity finance permissions or aftercare are weak",inference
multi_branch_service_business,"Regional HVAC drainage cleaning or facilities group","Several territories central call handling","Needs controllable volume route rules and branch attribution",exclusive_lead_or_qualified_call,"Serviceable postcode service type SLA and branch capacity",minimum_commitment_plus_tiered_volume,months,"Consistent taxonomy API delivery and branch-level ROI","Cannot reconcile duplicates outcomes or customer complaints",inference
commercial_facilities_supplier,"Commercial cleaning fire safety pest control or maintenance firm","Recurring contracts and slower procurement","Needs named sites decision-makers tenders and renewal timing",sales_qualified_opportunity,"Property portfolio scope incumbent expiry budget authority",research_subscription_or_appointment_plus_success_fee,months,"Contract value pipeline progression and renewal intelligence","Calls are mostly domestic one-off or low-authority enquiries",inference
franchise_or_network,"National brand with local franchisees","Central brand local fulfilment uneven capacity","Needs national acquisition with protected territories and fair allocation",qualified_lead_with_territory_rules,"Complete consent data postcode category and franchise assignment",platform_fee_plus_local_usage,months,"Franchise adoption fairness coverage and central reporting","Territory conflict or lead re-selling is undisclosed",inference
broker_or_marketplace,"Directory comparison or lead marketplace","Needs project supply on the consumer side","Pays only when a project meets programme definitions",affiliate_project_or_api_lead,"Eligible category genuine consumer reachable and policy-compliant",affiliate_bounty_or_wholesale_lead,days_to_weeks,"Acceptance rate programme stability and marginal acquisition cost","Publisher sends duplicate incentivised or misleading forms",observed_and_inference
trade_marketing_agency,"Agency managing several contractors","Aggregates buying power but protects client ownership","Needs white-label attributable enquiries in client territories",source_attributed_lead_or_call,"Correct client routing consent source and outcome data",wholesale_or_revenue_share,months,"Data access fulfilment consistency and margin room","Attribution is obscured or client can bypass without agreed terms",inference
owned_operator,"Lead-site owner becomes or acquires service provider","Captures full job contribution and operational risk","Needs controlled demand to keep employed or subcontract capacity utilised",booked_job_or_completed_job,"Profitable serviceable work with safe delivery and low complaint risk",owned_margin,months_to_years,"Gross margin repeat work route density and customer reputation","Regulated capability operational quality or working capital is absent",inference
