cluster,city,submitted_keyword,grouped_submitted_keywords,returned_keyword,close_variants,average_monthly_searches,competition,competition_index,average_cpc_gbp,low_top_of_page_gbp,high_top_of_page_gbp,monthly_search_volumes,geography_method,observed_at
edinburgh_commercial_cleaning,Edinburgh,commercial cleaning Edinburgh,commercial cleaning Edinburgh|commercial cleaners Edinburgh,commercial cleaning edinburgh,commercial cleaning Edinburgh|commercial cleaners Edinburgh,2900,MEDIUM,35,14.3222,2.9935,20.0880,2025-august:210|2025-september:1000|2025-october:720|2025-november:720|2025-december:480|2026-january:480|2026-february:320|2026-march:390|2026-april:22200|2026-may:4400|2026-june:260|2026-july:210,explicit_city_query_under_uk_target,2026-09-03
edinburgh_commercial_cleaning,Edinburgh,office cleaning Edinburgh,office cleaning Edinburgh|office cleaners Edinburgh,office cleaning edinburgh,office cleaning Edinburgh|office cleaners Edinburgh,2900,MEDIUM,35,14.3222,2.9935,20.0880,2025-august:210|2025-september:1000|2025-october:720|2025-november:720|2025-december:480|2026-january:480|2026-february:320|2026-march:390|2026-april:22200|2026-may:4400|2026-june:260|2026-july:210,explicit_city_query_under_uk_target,2026-09-03
edinburgh_commercial_cleaning,Edinburgh,contract cleaning Edinburgh,contract cleaning Edinburgh,contract cleaning edinburgh,contract cleaning Edinburgh,90,LOW,30,2.5529,2.9814,11.9823,2025-august:50|2025-september:480|2025-october:70|2025-november:90|2025-december:50|2026-january:140|2026-february:50|2026-march:50|2026-april:30|2026-may:40|2026-june:30|2026-july:20,explicit_city_query_under_uk_target,2026-09-03
edinburgh_commercial_cleaning,Edinburgh,commercial cleaning company Edinburgh,commercial cleaning company Edinburgh,commercial cleaning company edinburgh,commercial cleaning company Edinburgh,320,LOW,17,0.0000,5.3362,16.3819,2025-august:40|2025-september:1600|2025-october:1600|2025-november:50|2025-december:30|2026-january:50|2026-february:70|2026-march:110|2026-april:10|2026-may:70|2026-june:50|2026-july:170,explicit_city_query_under_uk_target,2026-09-03
manchester_fire_risk_assessment,Manchester,fire risk assessment Manchester,fire risk assessment Manchester,fire risk assessment manchester,fire risk assessment Manchester,260,MEDIUM,60,27.1084,4.1523,19.3003,2025-august:210|2025-september:480|2025-october:320|2025-november:320|2025-december:210|2026-january:390|2026-february:320|2026-march:260|2026-april:210|2026-may:170|2026-june:170|2026-july:210,explicit_city_query_under_uk_target,2026-09-03
manchester_fire_risk_assessment,Manchester,fire risk assessor Manchester,fire risk assessor Manchester,fire risk assessor manchester,fire risk assessor Manchester,260,MEDIUM,60,27.1084,4.1523,19.3003,2025-august:210|2025-september:480|2025-october:320|2025-november:320|2025-december:210|2026-january:390|2026-february:320|2026-march:260|2026-april:210|2026-may:170|2026-june:170|2026-july:210,explicit_city_query_under_uk_target,2026-09-03
manchester_fire_risk_assessment,Manchester,fire safety risk assessment Manchester,fire safety risk assessment Manchester,fire safety risk assessment manchester,fire safety risk assessment Manchester,20,LOW,5,10.8584,0.0000,0.0000,2025-august:20|2025-september:10|2025-october:30|2025-november:10|2025-december:10|2026-january:10|2026-february:20|2026-march:70|2026-april:10|2026-may:20|2026-june:10|2026-july:20,explicit_city_query_under_uk_target,2026-09-03
manchester_asbestos_survey,Manchester,asbestos survey Manchester,asbestos survey Manchester|asbestos surveyor Manchester,asbestos survey manchester,asbestos survey Manchester|asbestos surveyor Manchester,170,MEDIUM,59,24.6552,7.3248,58.2068,2025-august:260|2025-september:320|2025-october:210|2025-november:110|2025-december:90|2026-january:170|2026-february:140|2026-march:320|2026-april:170|2026-may:140|2026-june:90|2026-july:70,explicit_city_query_under_uk_target,2026-09-03
manchester_asbestos_survey,Manchester,asbestos survey cost Manchester,asbestos survey cost Manchester,asbestos survey cost manchester,asbestos survey cost Manchester,10,UNSPECIFIED,0,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:10|2026-january:10|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:0,explicit_city_query_under_uk_target,2026-09-03
manchester_asbestos_survey,Manchester,asbestos testing Manchester,asbestos testing Manchester,asbestos testing manchester,asbestos testing Manchester,90,MEDIUM,57,16.2658,2.9688,45.5238,2025-august:70|2025-september:110|2025-october:110|2025-november:90|2025-december:70|2026-january:90|2026-february:90|2026-march:110|2026-april:110|2026-may:90|2026-june:70|2026-july:90,explicit_city_query_under_uk_target,2026-09-03
