operator,layer,primary_user,customer_acquisition_product,revenue_model,public_price_signal,verification_or_quality_signal,strategic_read,evidence_class,source_id
Google Local Services Ads,search_platform,consumer_and_local_provider,"Verified provider units above or within local results",pay_per_lead,"No universal public UK lead tariff","Google Business Profile plus category-specific registration insurance and licence screening","The search platform is itself a lead marketplace and sets the quality threshold independent sites must exceed",observed,S50
Checkatrade,verified_directory,homeowner_and_trade,"Profiles reviews opportunity board booking and paid visibility","free_plus_subscription_plus_pay_per_lead","Free; Approved 30 GBP monthly; Growth from 59 GBP monthly","Twelve checks; verified reviews; application and ongoing performance controls","Large hybrid incumbent with several monetisation surfaces rather than a simple directory",observed,S51|S52
Bark,broad_marketplace,consumer_and_professional,"Posted projects matched to professionals",credit_per_contact_plus_subscription,"Standard credit listed at 1.80 GBP; credits per contact vary","Seller chooses whether to unlock; platform states no commission","A liquid horizontal lead exchange whose filed revenue shows scale but not automatic profitability",observed,S20|S21|S46
MyBuilder,trades_marketplace,homeowner_and_trade,"Jobs profiles reviews and contact unlock",shortlist_fee,"Fee varies with job and location","Contact details shared when homeowner shortlists","A high-margin disclosed operator in its latest filing and a direct benchmark for job-intent monetisation",observed,S47|S53
Rated People,trades_marketplace,homeowner_and_trade,"Posted jobs matched with trades",dynamic_lead_fee_or_monthly_unlimited,"Dynamic by job location stage and demand; unlimited plan depends on trade and area","Lead disputes and plan rules","Shows that the same marketplace can sell scarcity by lead or through bounded subscription access",observed,S54|S55
TrustATrader,verified_directory,homeowner_and_trade,"Area-limited membership profile reviews and enquiries",annual_membership,"Annual fee not published on observed page","Membership limited by trade and area; verification and review system","Sells local scarcity and trust without commission",observed,S56
Yell,directory_and_marketing_suite,local_business,"Directory listing websites SEO paid media reputation and lead guarantee",subscription_and_managed_services,"Quote-led","Managed products and stated lead guarantee terms","The mature directory has shifted toward software and managed acquisition as platform revenue declined",observed,S57|S64
Federation of Master Builders,trade_body_and_directory,builder_and_homeowner,"Accreditation profile job matching and consumer directory",monthly_or_annual_membership,"62.69 GBP plus VAT monthly; first-year inspection fee 14.85 GBP plus VAT monthly","Inspection references insurance and ongoing standards","Trust credential and acquisition are bundled; the member base gives it distribution independent of pure SEO",observed,S58|S65
Which Trusted Traders,endorsement_directory,consumer_and_trade,"Assessment endorsement directory and reviews",rolling_subscription,"Quote-led","Assessment documentation insurance checks and ongoing monitoring","Premium trust brand with limited filed scheme-level economics",observed,S59
Houzz Pro,directory_and_vertical_software,homeowner_and_design_professional,"Free directory paid promotion CRM quoting and project operations",software_subscription_plus_ads,"Software 139 GBP monthly; advertising from 119 GBP monthly","Professional profile and software workflow","A model for expanding from discovery into the contractor system of record",observed,S60
