rank,format,family,primary_keyword,national_average_monthly_searches,national_average_cpc_gbp,best_city,best_city_explicit_average_monthly_searches,best_city_local_geo_average_monthly_searches,best_city_liquidity_index_100,top_three_city_cells,best_non_london_city,best_non_london_explicit_average_monthly_searches,best_non_london_local_geo_average_monthly_searches,best_non_london_liquidity_index_100,top_three_non_london_city_cells,cities_with_reportable_signal_15,national_demand_points_15,city_liquidity_points_20,city_breadth_points_10,commercial_intent_points_10,repeatability_points_10,social_design_points_10,asset_light_control_points_10,price_evidence_points_5,eventization_headroom_points_10,deep_opportunity_score_100,decision,decision_gate,recommended_test,current_price_anchor,evidence_coverage,largest_unknown,score_method,observed_at
1,Darts,Competitive experiences,darts near me,12100,0.2922,London,2900,3600,84,London:84 (explicit 2900; local 3600) | Manchester:72 (explicit 2900; local 320) | Glasgow:68 (explicit 2400; local 170),Manchester,2900,320,72,Manchester:72 (explicit 2900; local 320) | Glasgow:68 (explicit 2400; local 170) | Birmingham:67 (explicit 1600; local 210),15,15,16.8,10,10,10,10,8,5,8,93,priority_paid_pilot,No manual ceiling beyond the weighted score,Six-week beginner ladder in a partner pub,Flight Club Social Darts from £9 per person (S173),national demand; 15-city demand; current adjacent price evidence,"adult solo-friendly conversion, fill, second paid booking and direct contribution in the proposed city-format cell",15 national demand + 20 best-city liquidity + 10 city breadth + 10 commercial intent + 10 repeatability + 10 social design + 10 asset-light control + 5 price evidence + 10 eventization headroom,2026-09-03
2,Board-game cafes,Tabletop and games,board game cafe near me,6600,0.1821,London,3600,2400,83,London:83 (explicit 3600; local 2400) | Birmingham:63 (explicit 880; local 170) | Bristol:63 (explicit 880; local 170),Birmingham,880,170,63,Birmingham:63 (explicit 880; local 170) | Bristol:63 (explicit 880; local 170) | Manchester:61 (explicit 720; local 170),15,13.5,16.6,10,10,8,10,8,5,8,89,priority_paid_pilot,No manual ceiling beyond the weighted score,Hosted game rotation in existing hospitality space,Draughts £7.50 off-peak or £9.50 peak admission (S174),national demand; 15-city demand; current adjacent price evidence,"adult solo-friendly conversion, fill, second paid booking and direct contribution in the proposed city-format cell",15 national demand + 20 best-city liquidity + 10 city breadth + 10 commercial intent + 10 repeatability + 10 social design + 10 asset-light control + 5 price evidence + 10 eventization headroom,2026-09-03
3,Salsa classes,Performance and dance,salsa classes near me,2900,0.7731,London,1600,590,72,London:72 (explicit 1600; local 590) | Birmingham:53 (explicit 320; local 70) | Manchester:51 (explicit 480; local 30),Birmingham,320,70,53,Birmingham:53 (explicit 320; local 70) | Manchester:51 (explicit 480; local 30) | Bristol:49 (explicit 320; local 30),15,12,14.4,10,10,10,10,10,5,8,89,priority_paid_pilot,No manual ceiling beyond the weighted score,"Beginner class, rotating practice and six-session pack",Salsateca £15 one hour; £17 two hours; packs and subscriptions (S181),national demand; 15-city demand; current adjacent price evidence,"adult solo-friendly conversion, fill, second paid booking and direct contribution in the proposed city-format cell",15 national demand + 20 best-city liquidity + 10 city breadth + 10 commercial intent + 10 repeatability + 10 social design + 10 asset-light control + 5 price evidence + 10 eventization headroom,2026-09-03
4,Line dancing,Performance and dance,line dancing near me,9900,3.0434,London,1300,590,71,London:71 (explicit 1300; local 590) | Birmingham:56 (explicit 260; local 170) | Glasgow:56 (explicit 320; local 140),Birmingham,260,170,56,Birmingham:56 (explicit 260; local 170) | Glasgow:56 (explicit 320; local 140) | Bristol:53 (explicit 260; local 90),15,13.5,14.2,10,10,10,10,10,2,8,88,priority_paid_pilot,No manual ceiling beyond the weighted score,Beginner lesson followed by a recurring social,No directly comparable current line-dancing price retained,national demand; 15-city demand; incomplete price evidence,"adult solo-friendly conversion, fill, second paid booking and direct contribution in the proposed city-format cell",15 national demand + 20 best-city liquidity + 10 city breadth + 10 commercial intent + 10 repeatability + 10 social design + 10 asset-light control + 5 price evidence + 10 eventization headroom,2026-09-03
5,Karaoke,Performance and dance,karaoke near me,49500,0.2583,London,8100,22200,99,London:99 (explicit 8100; local 22200) | Manchester:83 (explicit 4400; local 1900) | Birmingham:78 (explicit 2900; local 1000),Manchester,4400,1900,83,Manchester:83 (explicit 4400; local 1900) | Birmingham:78 (explicit 2900; local 1000) | Edinburgh:77 (explicit 2900; local 880),15,15,19.8,10,8,6,10,8,2,8,87,focused_validation,"Ceiling: focused_validation; applied for facility, free-substitute, fulfilment or evidence risk","Hosted team format with rotation, not passive booth hire",No managed social-series price retained; room hire is a strong substitute,national demand; 15-city demand; incomplete price evidence,"adult solo-friendly conversion, fill, second paid booking and direct contribution in the proposed city-format cell",15 national demand + 20 best-city liquidity + 10 city breadth + 10 commercial intent + 10 repeatability + 10 social design + 10 asset-light control + 5 price evidence + 10 eventization headroom,2026-09-03
6,Pottery painting,Craft and making,pottery painting near me,40500,0.3083,London,9900,4400,92,London:92 (explicit 9900; local 4400) | Birmingham:79 (explicit 4400; local 880) | Manchester:76 (explicit 4400; local 480),Birmingham,4400,880,79,Birmingham:79 (explicit 4400; local 880) | Manchester:76 (explicit 4400; local 480) | Bristol:73 (explicit 2900; local 390),15,15,18.4,10,10,8,8,6,4,8,87,priority_paid_pilot,No manual ceiling beyond the weighted score,Portable taster or studio-capacity partnership,"Pottery Cafe current studio, party and private-room pricing (S127)",national demand; 15-city demand; current adjacent price evidence,"adult solo-friendly conversion, fill, second paid booking and direct contribution in the proposed city-format cell",15 national demand + 20 best-city liquidity + 10 city breadth + 10 commercial intent + 10 repeatability + 10 social design + 10 asset-light control + 5 price evidence + 10 eventization headroom,2026-09-03
7,Pottery classes,Craft and making,pottery classes near me,14800,0.6430,London,8100,1600,86,London:86 (explicit 8100; local 1600) | Manchester:66 (explicit 2400; local 110) | Birmingham:64 (explicit 880; local 210),Manchester,2400,110,66,Manchester:66 (explicit 2400; local 110) | Birmingham:64 (explicit 880; local 210) | Bristol:63 (explicit 1000; local 170),15,15,17.2,10,10,8,8,4,5,8,85,partner_only_or_narrow_test,"Ceiling: partner_only_or_narrow_test; applied for facility, free-substitute, fulfilment or evidence risk",One taster feeding a prepaid bounded course,Southwark ten-week adult courses £220–£264 plus £5 registration (S183),national demand; 15-city demand; current adjacent price evidence,"adult solo-friendly conversion, fill, second paid booking and direct contribution in the proposed city-format cell",15 national demand + 20 best-city liquidity + 10 city breadth + 10 commercial intent + 10 repeatability + 10 social design + 10 asset-light control + 5 price evidence + 10 eventization headroom,2026-09-03
8,Wine tasting,Food and drink,wine tasting near me,5400,0.8210,London,5400,720,80,London:80 (explicit 5400; local 720) | Manchester:59 (explicit 1600; local 40) | Birmingham:58 (explicit 880; local 70),Manchester,1600,40,59,Manchester:59 (explicit 1600; local 40) | Birmingham:58 (explicit 880; local 70) | Bristol:56 (explicit 880; local 50),15,13.5,16,10,10,6,8,10,5,6,85,priority_paid_pilot,No manual ceiling beyond the weighted score,Producer-led tasting series in a partner venue,Wine Society current multi-city tasting calendar and price bands (S182),national demand; 15-city demand; current adjacent price evidence,"adult solo-friendly conversion, fill, second paid booking and direct contribution in the proposed city-format cell",15 national demand + 20 best-city liquidity + 10 city breadth + 10 commercial intent + 10 repeatability + 10 social design + 10 asset-light control + 5 price evidence + 10 eventization headroom,2026-09-03
9,Padel,Racket and team sport,padel near me,49500,0.3852,London,8100,12100,96,London:96 (explicit 8100; local 12100) | Manchester:79 (explicit 4400; local 880) | Bristol:78 (explicit 3600; local 880),Manchester,4400,880,79,Manchester:79 (explicit 4400; local 880) | Bristol:78 (explicit 3600; local 880) | Birmingham:77 (explicit 2900; local 880),15,15,19.2,10,10,8,8,4,3,6,83,partner_only_or_narrow_test,"Ceiling: partner_only_or_narrow_test; applied for facility, free-substitute, fulfilment or evidence risk",Managed beginner mixer through an existing court operator,Facility-led category; no directly comparable managed-series price retained,national demand; 15-city demand; incomplete price evidence,"adult solo-friendly conversion, fill, second paid booking and direct contribution in the proposed city-format cell",15 national demand + 20 best-city liquidity + 10 city breadth + 10 commercial intent + 10 repeatability + 10 social design + 10 asset-light control + 5 price evidence + 10 eventization headroom,2026-09-03
10,Running clubs,Outdoor and endurance,running clubs near me,4400,1.3924,London,1300,590,71,London:71 (explicit 1300; local 590) | Manchester:54 (explicit 720; local 40) | Birmingham:50 (explicit 210; local 70),Manchester,720,40,54,Manchester:54 (explicit 720; local 40) | Birmingham:50 (explicit 210; local 70) | Glasgow:50 (explicit 260; local 50),15,12,14.2,10,6,10,10,10,1,8,81,focused_validation,"Ceiling: focused_validation; applied for facility, free-substitute, fulfilment or evidence risk",Bounded coached cohort rather than an undifferentiated run club,No paid-club price retained; free substitutes are material,national demand; 15-city demand; incomplete price evidence,"adult solo-friendly conversion, fill, second paid booking and direct contribution in the proposed city-format cell",15 national demand + 20 best-city liquidity + 10 city breadth + 10 commercial intent + 10 repeatability + 10 social design + 10 asset-light control + 5 price evidence + 10 eventization headroom,2026-09-03
