sourceId,sourceName,sourceType,sourceUrl,publisher,publishedOrUpdatedAt,observedAt,sourceStatus,supportedClaims,limitations
S01,Non-domestic rating stock March 2026,official-statistics,https://www.gov.uk/government/statistics/non-domestic-rating-stock-of-properties-march-2026/non-domestic-rating-stock-of-properties-statistical-commentary,HM Revenue and Customs,2026-05-14,2026-09-03,live-primary,"England and Wales had 2.14 million rateable properties at 31 March 2026; sector counts and rateable values","Hereditaments are rating units rather than unique buildings businesses or buyers; excludes Scotland and Northern Ireland"
S02,Fire safety for small businesses operating from commercial premises,government-guidance,https://www.gov.uk/government/collections/fire-safety-for-small-businesses-operating-from-commercial-premises,UK Government,2026-01-06,2026-09-03,live-primary,"England commercial-premises duties and availability of competent external assessors","Guidance applies to England and is not legal advice"
S03,Workplace fire risk assessments,government-guidance,https://www.gov.uk/workplace-fire-safety-your-responsibilities/fire-risk-assessments,UK Government,,2026-09-03,live-primary,"Responsible person must assess and regularly review; competent help where expertise or time is absent","Summary guidance; premises-specific interpretation may require professional advice"
S04,Fire safety guidance for businesses and workplaces,government-guidance,https://www.gov.wales/fire-safety-guidance-businesses-and-workplaces,Welsh Government,2023-09-11,2026-09-03,live-primary,"Wales fire-safety guidance and separate jurisdictional source","Does not replace specialist advice"
S05,Non-domestic fire safety Scotland,government-guidance,https://www.gov.scot/policies/fire-and-rescue/non-domestic-fire-safety/,Scottish Government,,2026-09-03,live-primary,"Scotland uses the Fire Scotland Act 2005 and 2006 regulations; dutyholder guidance","Overview rather than premises-specific advice"
S06,Fire risk assessments for businesses Northern Ireland,fire-authority-guidance,https://www.nifrs.org/home/staying-safe/business-fire-safety/fire-risk-assessments/,Northern Ireland Fire and Rescue Service,,2026-09-03,live-primary,"Northern Ireland fire-risk assessment duties and competent-person requirement","Fire-authority guidance; not professional advice"
S07,Fire prevention and protection statistics England year ending March 2026,official-statistics,https://www.gov.uk/government/statistics/fire-prevention-and-protection-england-year-ending-march-2026/fire-prevention-and-protection-statistics-england-april-2025-to-march-2026,UK Government,2026-09-02,2026-09-03,live-primary,"50195 audits; 29909 satisfactory; 20286 unsatisfactory; 3355 formal notifications; audit hours","England only; enforcement is risk targeted and not a random compliance sample"
S08,Asbestos dutyholder check,HSE-guidance,https://www.hse.gov.uk/asbestos/duty/check.htm,Health and Safety Executive,,2026-09-03,live-primary,"Duty to manage covers non-domestic premises and may sit with owner landlord tenant or managing agent according to responsibility","Great Britain guidance; contracts and circumstances allocate duties"
S09,Arrange an asbestos survey,HSE-guidance,https://www.hse.gov.uk/asbestos/duty/arrange-asbestos-survey.htm,Health and Safety Executive,,2026-09-03,live-primary,"Competence criteria; HSE strongly recommends UKAS-accredited surveying organisations; analysis must be accredited","A survey is not automatically required in every circumstance and accreditation recommendation differs from a universal legal mandate"
S10,Maintaining portable electric equipment in low-risk environments,HSE-guidance,https://www.hse.gov.uk/pubns/indg236.htm,Health and Safety Executive,2013,2026-09-03,live-primary,"Law requires safe maintenance but does not mandate annual PAT testing for all office equipment","Low-risk environments; other equipment and environments need risk-based treatment"
S11,Gas safety for employers,HSE-guidance,https://www.hse.gov.uk/gas/employers.htm,Health and Safety Executive,,2026-09-03,live-primary,"Gas work in shops restaurants schools and hospitals must be done by a suitably qualified Gas Safe registered engineer","Exact duties vary with plant premises and landlord or employer role"
S12,Managing legionella risk,HSE-guidance,https://www.hse.gov.uk/legionnaires/what-you-must-do/manage-the-risk.htm,Health and Safety Executive,,2026-09-03,live-primary,"Employer or controller appoints a competent responsible person; contractor use does not transfer responsibility","Risk and control scheme depend on the water system"
S13,Legionella and landlord responsibilities,HSE-guidance,https://www.hse.gov.uk/legionnaires/legionella-landlords-responsibilities.htm,Health and Safety Executive,2024-09-30,2026-09-03,live-primary,"No statutory legionella test certificate or fixed annual or biennial review cycle for ordinary landlord contexts","Primarily landlord guidance; complex commercial systems require the wider HSE guidance"
S14,Thorough examinations of lifting equipment,HSE-guidance,https://www.hse.gov.uk/work-equipment-machinery/thorough-examinations-lifting-equipment.htm,Health and Safety Executive,,2026-09-03,live-primary,"Competent-person examinations; normally six months for people-lifting equipment and accessories and twelve months for other lifting equipment","An examination scheme can specify different intervals; maintenance remains separate"
S15,Pressure Systems Safety Regulations 2000,HSE-guidance,https://www.hse.gov.uk/pressure-systems/pssr.htm,Health and Safety Executive,,2026-09-03,live-primary,"Qualifying equipment needs a written scheme and examination by a competent person before operation","Only qualifying pressure systems and relevant fluids are in scope"
S16,Energy Performance Certificates for business premises,government-guidance,https://www.gov.uk/energy-performance-certificate-commercial-property,UK Government,,2026-09-03,live-primary,"An accredited non-domestic energy assessor is required to produce an EPC","Exemptions and triggers depend on building and transaction circumstances"
S17,Non-domestic private rented property MEES landlord guidance,government-guidance,https://www.gov.uk/guidance/non-domestic-private-rented-property-minimum-energy-efficiency-standard-landlord-guidance,Department for Energy Security and Net Zero,2026-05-05,2026-09-03,live-primary,"Current England and Wales minimum EPC E for covered private rented non-domestic property and exemptions","Legal interpretation remains for courts; not all properties or tenancies are covered"
S18,Non-domestic MEES interim response 2026,government-policy,https://www.gov.uk/government/consultations/non-domestic-private-rented-sector-minimum-energy-efficiency-standards-epc-b-implementation/outcome/minimum-energy-efficiency-standards-mees-in-the-non-domestic-private-rented-sector-interim-response,Department for Energy Security and Net Zero,2026-06-18,2026-09-03,live-primary,"Proposed EPC B from 2031 for rented buildings over 1000 square metres; EPC C milestone dropped","Policy intention depends on secondary legislation and is not current law"
S19,Fire risk assessors profession consultation,government-consultation,https://www.gov.uk/government/consultations/fire-risk-assessors-profession/fire-risk-assessors-profession,UK Government,2026-04-09,2026-09-03,live-primary,"Proposal for competence requirements and a central register of fire risk assessors","Consultation proposals are not enacted requirements"
S20,Introduction to AI assurance,government-guidance,https://www.gov.uk/government/publications/introduction-to-ai-assurance/introduction-to-ai-assurance,Department for Science Innovation and Technology,2024-02-12,2026-09-03,live-primary,"Risk assessment impact assessment compliance audit performance testing governance and escalation as assurance mechanisms","Cross-sector introductory guidance rather than a sector standard"
S21,Data and AI Ethics Framework,government-guidance,https://www.gov.uk/government/publications/data-ethics-framework/data-and-ai-ethics-framework,UK Government,2026-01-08,2026-09-03,live-primary,"Risky or high-impact AI outputs should have named human oversight and LLM outputs should be verified","Government framework; private-sector legal duties require separate analysis"
S22,NIST Generative AI Profile,technical-standard,https://tsapps.nist.gov/publication/get_pdf.cfm?pub_id=958388,National Institute of Standards and Technology,2024-07-26,2026-09-03,live-primary,"Generative systems can confabulate; governance and measurement actions for generative-AI risk","US voluntary framework; not UK law"
S23,Guidelines for secure AI system development,cybersecurity-guidance,https://www.ncsc.gov.uk/collection/guidelines-secure-ai-system-development,National Cyber Security Centre,2023-11-26,2026-09-03,live-primary,"Threat modelling supply-chain controls documentation secure deployment and operation","Security guidance does not establish professional competence or output correctness"
S24,AI Cyber Security Code of Practice,government-guidance,https://www.gov.uk/government/publications/ai-cyber-security-code-of-practice,Department for Science Innovation and Technology,2025-01-31,2026-09-03,live-primary,"Baseline cyber controls for AI developers and deployers","Voluntary code; may not cover every sector-specific risk"
S25,AI Management Essentials tool,government-consultation,https://www.gov.uk/government/consultations/ai-management-essentials-tool/ai-management-essentials-tool-accessible,Department for Science Innovation and Technology,2026-02-06,2026-09-03,live-primary,"AI inventory documentation impact and risk assessments and data records","Consultation tool rather than binding regulation"
S26,Google guidance on generative AI content,platform-guidance,https://developers.google.com/search/docs/fundamentals/using-gen-ai-content?hl=en,Google,,2026-09-03,live-primary,"AI can support research and structure; scaled low-value generation can violate spam policy; accuracy quality and context remain important","Platform guidance and not evidence of ranking or traffic outcomes"
S27,Pew study of clicks with Google AI summaries,independent-research,https://www.pewresearch.org/short-reads/2025/07/22/google-users-are-less-likely-to-click-on-links-when-an-ai-summary-appears-in-the-results/,Pew Research Center,2025-07-22,2026-09-03,live-secondary,"In a March 2025 US browsing panel traditional-result clicks were 8 percent with summaries versus 15 percent without","US sample of 900 adults; not UK compliance-query conversion evidence"
S28,Google generative AI performance reporting,platform-announcement,https://developers.google.com/search/blog/2026/06/gen-ai-performance-reports,Google,2026-06-17,2026-09-03,live-primary,"Dedicated Search Console generative-AI reporting dimensions became available in 2026","Platform announcement; does not establish conversion or attribution quality"
S29,PlanRadar AI,software-product,https://www.planradar.ai/,PlanRadar,2026-08-19,2026-09-03,live-primary,"AI-generated forms voice-to-ticket project search summaries recommendations and agents","Vendor-authored capability claims; field reliability and customer outcomes not independently verified"
S30,Recognise work done by PlanRadar AI agents,software-documentation,https://helpcenter-prd.planradar.com/en/recognise-work-done-by-ai-agents/,PlanRadar,2026-08-21,2026-09-03,live-primary,"Agent actions are labelled; agents create but do not change or delete records; activity is attributable to an owner","Product controls may change and do not prove suitability for safety-critical decisions"
S31,PlanRadar AI privacy and security,software-documentation,https://help.planradar.com/hc/en-gb/articles/34830736708765-Privacy-Security-for-AI-Features,PlanRadar,2026-03-23,2026-09-03,live-primary,"AI processing scope hosting region and customer-data statements","Vendor-authored security description; contractual verification remains necessary"
S32,PlanRadar pricing UK,software-pricing,https://www.planradar.com/gb/pricing/,PlanRadar,,2026-09-03,live-primary,"Public monthly list prices of GBP23 Basic GBP80 Starter and GBP119 Pro per user; AI Assistant on Pro","Displayed pricing may vary by billing cycle tax contract region and add-ons"
S33,SafetyCulture pricing,software-pricing,https://safetyculture.com/pricing/,SafetyCulture,,2026-09-03,live-primary,"Free and USD24 Premium full-seat pricing; AI template builder and evidence history","USD pricing and vendor product claims; not UK compliance certification"
S34,Artificial intelligence in MaintainX,software-documentation,https://help.getmaintainx.com/ai-basics,MaintainX,,2026-09-03,live-primary,"Document retrieval procedure generation anomaly detection and time estimates with human review","Vendor documentation; outcome claims are not independently verified"
S35,FireCheckr AI fire-risk software,software-product,https://firecheckr.co.uk/,FireCheckr,,2026-09-03,live-primary,"AI report drafting peer validation customer portal and 62 percent report-writing time claim","Vendor-authored unverified performance and customer claims"
S36,Assura Safety fire-risk software,software-product,https://assurasafety.com/,Assura Safety,,2026-09-03,live-primary,"AI-drafted action plans; public price from GBP125 plus VAT per user per month; explicit human responsibility","Vendor-authored claims; new entrant status and customer outcomes not verified"
S37,Rank-and-rent UK historical keyword evidence,retained-research,https://github.com/dougwithseismic/research-library/blob/main/publications/rank-and-rent-uk-2026/evidence/google-ads-national-intent-screen.csv,Research Library,2026-09-03,2026-09-03,live-primary,"UK fire-risk and asbestos commercial-query volume and CPC from read-only Google Ads historical metrics","Historical keyword metrics are not leads revenue organic difficulty or market size"
S38,Rank-and-rent provider filing evidence,retained-research,https://github.com/dougwithseismic/research-library/blob/main/publications/rank-and-rent-uk-2026/evidence/companies-house-organisations.csv,Research Library,2026-09-03,2026-09-03,live-primary,"Selected Manchester fire-provider legal entities and filed employee counts","Purposive sample; filings do not prove trading quality coverage margins or buyer intent"
