metric,testSet,measurement,releaseThreshold,monitoringCadence,owner,decisionChanged
wrong-jurisdiction-rate,"200 obligation questions balanced across England Wales Scotland and Northern Ireland","High-consequence answers using wrong legal regime divided by evaluated answers","0 critical; below 1 percent non-critical",every-rule-release,technical-authority,"Block obligation assistant release"
unsupported-critical-field-rate,"500 fields from historical reports with raw-document gold labels","Critical extracted fields without matching source span divided by critical fields","0 critical",weekly-during-pilot,product-owner,"Disable auto-prefill for affected document class"
critical-control-coverage,"Approved templates for each launched lane and premises class","Mandatory controls represented and correctly conditioned","100 percent",every-template-release,technical-authority,"Reject template version"
unsupported-observation-rate,"300 site-note and photo packets with blinded assessor labels","Draft observations not present in accepted source material","0 safety-critical; below 0.5 percent other",weekly-during-pilot,quality-lead,"Disable free-text generation from site evidence"
critical-action-error-rate,"150 confirmed defects with expert remedial-action panel","Actions that are unsafe unlawful or materially under-prioritised","0",monthly,technical-authority,"Revert to deterministic action library"
credential-match-error-rate,"200 provider entities including name collisions expiries and scope restrictions","Incorrectly approved provider records","0",daily-register-refresh-and-monthly-audit,provider-operations-lead,"Suspend automated shortlisting"
critical-anomaly-recall,"Historical sensor and checklist cases with agreed critical anomalies","Critical anomalies detected divided by all critical anomalies","At least 95 percent with every miss reviewed",monthly,responsible-person,"Keep alerts advisory or retire model"
reviewer-time-change,"At least 100 comparable reports split by premises class and assessor","Median active review and writing minutes versus manual baseline","At least 20 percent reduction without worse safety metrics",quarterly,operations-lead,"Do not pay or scale for nominal AI feature"
review-edit-distance,"Same report cohort","Material human edits per 100 generated sentences by severity","Downward trend after stable templates; no threshold used alone",monthly,quality-lead,"Identify brittle lane template or model drift"
false-closure-rate,"All AI-assisted closure events plus monthly sample of manual closures","Closures lacking valid completion evidence","0 confirmed",continuous,responsible-person,"Disable closure assembly and investigate"
data-leakage-events,"Red-team prompts and production incident log","Unauthorised disclosure of tenant employee asset or security-sensitive data","0",pre-release-and-continuous,security-owner,"Shut off affected connector or model route"
model-or-rule-drift,"Frozen benchmark rerun after model source or rule change","Change in safety metrics and answer distribution","No threshold regression; signed exception required",every-change,technical-authority,"Hold deployment and retain prior version"
